index,mutual information,features,pearson,ranks,mutual information score,pearson score,total score
0,0.0,PLEC_Exp_Index,-0.0501017737037631,17,0,10,10
1,0.034051871792599,PL,-0.2597201263814973,23,14,1,15
2,0.0,Sqrt_TS_History_3,0.1118308239824687,29,1,18,19
3,0.0027497382492702,PLEC,0.0455473141190654,6,4,17,21
4,0.0,Sqrt_TS_History_4,0.1224942525734214,41,2,20,22
5,0.0123295698466421,Flux_Band_4,0.0434465281148914,3,7,16,23
6,0.012392104809324,nuFnu_Band_4,0.0293180979331691,1,8,15,23
7,0.0210002135703724,Sqrt_TS_Band_4,0.015407652177046,40,10,14,24
8,0.0270584186561491,ASSOC_PROB_BAY,-0.0022631432683934,10,12,12,24
9,0.0107047864180878,Sqrt_TS_History_5,0.1203028828369717,33,6,19,25
11,0.0001922306800949,Sqrt_TS_History_6,0.131005139904678,28,3,25,28
10,0.0065403805235901,Sqrt_TS_History_2,0.1305655237934563,35,5,23,28
12,0.0574038474802489,Flux_Band_7,-0.1010316260873781,71,25,7,32
13,0.0232509587125278,Sqrt_TS_History_7,0.1254428250364568,31,11,21,32
14,0.081324446258935,Sqrt_TS_Band_5,-0.1860053272433617,37,32,2,34
15,0.0163515464496672,Signif_Avg,0.148969892877382,12,9,29,38
16,0.0664166386741869,HR_67,-0.0750972660439808,53,30,9,39
17,0.0332524678242114,Sqrt_TS_History_1,0.1449032999002409,34,13,27,40
18,0.0430205811784734,Flux1000,0.1258015312613443,8,18,22,40
19,0.0837415465808366,nuFnu_Band_7,-0.1044497953986939,39,34,6,40
20,0.0903347577912638,nuFnu_Band_5,-0.1048556291567075,63,37,5,42
21,0.0843200319507353,Flux_Band_5,-0.0970801901647717,72,35,8,43
22,0.0405252920469989,ASSOC_PROB_LR,0.1505155872128735,21,16,30,46
23,0.0349391666224914,nuFnu_Band_3,0.1534188769317255,25,15,32,47
24,0.0562573080795343,Sqrt_TS_History_0,0.1377067061389301,87,24,26,50
25,0.0930780539491287,HR_01,0.0007424828695803,30,39,13,52
26,0.0455651160355983,Flux_Band_3,0.1614838044974974,47,20,34,54
27,0.059581203507576,Energy_Flux100,0.1452897706882698,80,27,28,55
28,0.1246633638590164,nuFnu_Band_6,-0.156552698637459,74,54,3,57
29,0.0467600992234633,Sqrt_TS_Band_3,0.2002214981229056,43,22,37,59
30,0.0608022602631728,HR_02,0.1532641484832904,32,29,31,60
31,0.1372712582271127,Flux_Band_6,-0.1559202954087399,66,60,4,64
33,0.0451353416471096,HR_03,0.239626737788239,0,19,50,69
32,0.0508793188883487,PLEC_ExpfactorS,0.2335796637220839,7,23,46,69
34,0.040656942663644,LP,0.2529645462814613,2,17,54,71
35,0.1101536080853433,Flux_History_2,0.1308382352257306,36,51,24,75
36,0.0461759021106533,PLEC_SigCurv,0.2864853382489957,22,21,56,77
37,0.0945555168994498,Flux_History_7,0.191020406502634,67,42,36,78
38,0.0790995019131357,Flux_Band_0,0.2366269703759045,19,31,47,78
39,0.060277751336466,LP_beta,0.2402605342639475,5,28,51,79
40,0.0828015768516365,nuFnu_Band_0,0.2366529364406926,65,33,48,81
41,0.3275326864654357,Pivot_Energy,-0.5495715556627668,82,81,0,81
42,0.0941480106783076,Flux_History_3,0.2253046350723848,44,40,41,81
43,0.0962402500780403,Flux_History_5,0.2024610222535783,42,44,38,82
44,0.1003472599553558,Flux_History_6,0.2060625282502189,26,45,39,84
45,0.2804258964184907,LP_EPeak,-0.0492449331591853,11,74,11,85
46,0.089685433770881,HR_57,0.2381739170406425,50,36,49,85
47,0.0953724652658494,Flux_History_4,0.2322723863902056,70,43,45,88
48,0.0575863407234662,LP_SigCurv,0.3258351827682189,16,26,62,88
49,0.1073265536436913,nuFnu_Band_2,0.2206350684870194,79,49,40,89
50,0.1258662368533274,Flux_History_1,0.1554422454902284,46,57,33,90
51,0.1094849460640126,Flux_History_0,0.2285487816128764,38,50,43,93
52,0.1364968105257731,Variability_Index,0.168794493850156,15,59,35,94
53,0.0908622914001933,HR_47,0.3072570758849117,48,38,57,95
54,0.122796557638086,HR_12,0.2319206417480258,68,53,44,97
55,0.125571885416863,Flux_Band_2,0.2257336302171464,78,56,42,98
56,0.0943011848654624,HR_07,0.4124996305455822,45,41,68,109
57,0.1255507691145392,Npred,0.2582976916144614,4,55,55,110
58,0.1043676591053548,HR_04,0.3319860984377483,73,47,63,110
59,0.1059291542386875,HR_37,0.3691900367847371,61,48,65,113
60,0.1203875318434188,Sqrt_TS_Band_2,0.3228633081658954,20,52,61,113
61,0.1514741674376438,nuFnu_Band_1,0.2487372277260265,62,62,52,114
62,0.101578365467901,HR_27,0.4160070362274426,57,46,69,115
63,0.1658768358118529,Flux_Band_1,0.2502790376016016,24,63,53,116
64,0.1295376413832472,HR_56,0.4078044558705304,49,58,66,124
65,0.2186554853571607,LP_Flux_Density,0.3192677337961358,9,68,60,128
66,0.2293627092740517,PL_Flux_Density,0.3168359331953312,75,71,58,129
67,0.2304975985620228,PLEC_Flux_Density,0.3192659312531944,86,72,59,131
68,0.191336947347555,HR_13,0.3393061824299746,27,67,64,131
69,0.1763297633374916,HR_05,0.4117561135245864,77,64,67,131
70,0.1414686880629463,HR_17,0.4503599028000378,84,61,71,132
71,0.186804286525132,HR_06,0.5186549810337557,64,65,73,138
72,0.2285512776377174,HR_46,0.4750571111786408,54,70,72,142
73,0.1898862045040021,Frac_Variability,0.5457879503456284,18,66,76,142
74,0.3161759210002606,HR_14,0.4431303638021697,51,76,70,146
75,0.2232600363179262,HR_45,0.5666661814308198,52,69,79,148
76,0.2854029658114483,HR_36,0.5271453851326274,60,75,75,150
77,0.2795757776197245,HR_23,0.5733549043321187,83,73,80,153
78,0.3169986585593674,HR_26,0.5638799275303805,56,77,77,154
79,0.3236915192629874,HR_16,0.5642935537383045,85,78,78,156
80,0.3499890480078305,HR_15,0.5250422492182941,58,84,74,158
81,0.3266658865446075,HR_34,0.6579650241869014,59,80,81,161
82,0.3256659828876695,PLEC_IndexS,0.7005056743966647,69,79,83,162
83,0.3360142109860442,LP_Index,0.7008667919784914,14,82,84,166
84,0.3756380839552284,HR_24,0.6953147955820796,55,86,82,168
85,0.3421271522683067,HR_35,0.7184773404371259,76,83,85,168
86,0.3639530445004708,PL_Index,0.7352554310719392,13,85,86,171
87,0.3812645237755241,HR_25,0.7378152973319004,81,87,87,174
