,CLASS1,HR_25,PL_Index,HR_35,HR_24,LP_Index,PLEC_IndexS,HR_34,HR_15,HR_16,HR_26
4,1,0.0282783468778283,2.0816336,0.0188253839877285,0.0159968080752423,2.0524702,2.0288398,0.006539799670145,0.0385464981802087,0.0442956040232873,0.0340317435851615
10,1,0.0121973941121989,1.8179636,0.009861125505868,0.0077435723052986,1.5992589,1.5368207,0.0054071204910312,0.0058411785341291,0.0186600749807524,0.0250137764215158
25,1,0.0283245531188098,2.1607301,0.0190923126382786,0.0185198934980351,2.0422213,1.9787837,0.0092842459741383,0.0232564284901173,0.1027214865664194,0.1077368265772399
27,1,0.0188227595451481,2.0532787,0.0210346247881861,0.0029474737704344,1.7820854,1.611796,0.0051601814487622,0.0169817940528351,0.0278425507973218,0.029682582999946
29,2,0.0397454046515794,2.4049885,0.0280477505119311,0.0223745862964559,2.322214,2.3014212,0.0106666723249726,0.0500626567749481,0.0599672418920579,0.0496602058630179
33,2,0.0623914751532434,2.638379,0.0467561067477842,0.0294281274808776,2.600829,2.5318785,0.013753361112926,0.0724975189135811,0.1321757506504852,0.1221877440694937
36,1,0.0230505801919535,2.1267276,0.0199374544490211,0.0122153455937874,1.8784531,1.7936716,0.0091011347504165,-0.0073705419936601,0.0764248466550423,0.1065930221382374
43,1,0.0245300893632195,2.0390635,0.016431209416122,0.0149446895275618,1.8980258,1.890785,0.0068433725607465,0.0293071007469703,0.0423594585703538,0.0375866216801081
51,1,0.029683692032272,2.2194188,0.01757896609936,0.0208817838460008,2.1980414,2.1768053,0.0087729569480391,0.0354811447920614,0.0433795861162628,0.0375854833561389
53,1,0.0254622432419218,2.018631,0.0173453742833363,0.0157661665828008,1.9197568,1.9120609,0.007646690201639,0.031808216239952,0.0403830274567306,0.0340406412875729
55,3,0.0304457960098665,2.261954,0.0208138320249826,0.0222123526288927,2.2376356,2.2100453,0.0125769735908166,0.0370048338965736,0.0475972457328325,0.0410436377796491
56,1,0.0249544807488764,2.124825,0.0136300785946963,0.0197122189984201,2.0990863,2.0567749,0.0083858363469962,0.0297252993832648,0.0999183211183915,0.0951893706753387
63,2,0.0397599960505508,2.4492016,0.0273658043383669,0.0272037425103934,2.313965,2.2917302,0.0148010463126983,0.04740591178783,0.1025803871009725,0.0949946796976453
66,2,0.0377349540759258,2.3666093,0.0265346197532081,0.0219532988305228,2.2577264,2.2288818,0.0107443830898298,0.0473792435591677,0.1174911944653848,0.1079521732774362
71,1,0.0245266308021243,2.0667396,0.0179446013705735,0.0163016438135141,1.9156355,1.8998278,0.0097177593738772,0.0215746183588486,0.0367143673195635,0.0396636415834617
80,1,0.0083143073778407,1.7710534,0.0028820169798976,0.000922932466841,1.5650905,1.5516772,-0.0045095107122204,-0.0249178163192259,-0.016634092463898,0.0166003223431627
85,1,0.0284137115737139,2.137794,0.0207421956346172,0.0161053019704575,2.0977697,2.0624647,0.0084303042551246,0.0433283103414171,0.0510324351735526,0.0361269833032653
86,2,0.0503406110785347,2.737509,0.0352527287213804,0.0391180612241817,2.6349397,2.5670016,0.0240175562186135,0.0613355502521094,0.1164590940501428,0.1055656923726585
91,2,0.0382811356216875,2.5111988,0.0250757809010884,0.0280232877978365,2.51887,2.4616477,0.0148107307770569,0.0493426748382629,0.1237097827074944,0.1127819350738795
92,1,0.0314528000476866,2.2390501,0.0212336777189115,0.0166902578006398,2.2159178,2.199611,0.0064654094576195,0.044971697407639,0.049233709479895,0.0357194707816938
93,1,0.0139736909228903,1.7408901,0.0117555196114059,0.0044530657416785,1.5384591,1.5356196,0.0022345520715474,0.0245162613884094,0.0244730523141317,0.0139304643242616
97,1,0.0241516555180905,2.0810044,0.0140281738949986,0.0174371820626267,2.0618,2.0183692,0.0073115605154276,0.0319520998115533,0.0456017600647809,0.0378087510382383
98,2,0.0501907488606663,2.60885,0.0350015037035905,0.026209313925954,2.6373684,2.5553524,0.010997723973196,0.059238829319565,0.1619992060054147,0.1531492960882675
103,1,0.0298768749460878,2.1219785,0.0210821593283753,0.0178152660524711,2.008503,2.0089424,0.0090164210093314,0.0341480100583172,0.0412597765185155,0.0369908047929233
106,1,0.0243166807208273,2.0184522,0.0158872281876792,0.0160750499629742,1.9698973,1.9600024,0.0076433757732025,0.0313993021004276,0.0381384116457195,0.0310587743672431
109,1,0.0229637954446826,1.9541789,0.0184089424164553,0.0101938275969183,1.7882982,1.7725621,0.0056373100983075,0.0324573400577175,0.038685135799263,0.0291952401686735
110,1,0.0288527984992732,2.1359894,0.0193871523501876,0.0186630726236681,2.0476224,2.0471647,0.0091937537381152,0.0363621163244258,0.0507443577043232,0.0432436487498785
115,2,0.043136848045891,2.445408,0.0313070275166469,0.0250431557203076,2.3824449,2.3301554,0.0132012538136844,0.0529266546146946,0.0642223169982972,0.0544444171283188
134,2,0.0344426567457934,2.2192743,0.0239094759923014,0.0213238734743761,2.095452,2.0918393,0.0107844357048052,0.0418782196894056,0.0555361240603235,0.0481097158255924
137,1,0.0361014231836849,2.3062565,0.0259589540968764,0.0176382625188252,2.2782454,2.2155838,0.0074876202067228,0.0486257217135495,0.0569250479765899,0.0444104428467448
142,2,0.0432788088021962,2.4212196,0.0310154838779969,0.0245162968944926,2.3677027,2.3540215,0.0122401735922643,0.0535990694347916,0.058447345977351,0.0481321901823961
144,2,0.0436262007009708,2.4055793,0.03103956010747,0.023470323407359,2.3032675,2.2720616,0.0108698310916533,0.0529645653962815,0.1366185876310924,0.1274215354891898
153,1,0.0410364972044158,2.3752236,0.0316978905678643,0.0228540579371318,2.2916791,2.3045826,0.0135061744064468,0.047659794563437,0.0449023837550759,0.0382775133368268
156,1,0.0171190951388549,1.750551,0.0113339448098318,0.0106169701901536,1.5959458,1.5953693,0.0048309939495771,0.0175362145472431,0.0257316446743731,0.0253146717956421
162,1,0.0179959592846351,1.844213,0.0133588882871046,0.0098979771529752,1.6675843,1.6690842,0.0052600325886904,0.0252844248055826,0.0329484217415263,0.0256628038910086
166,1,0.0175151937280304,1.7666059,0.0104277779494247,0.011373893420757,1.6634133,1.6608804,0.0042855284538421,0.0237772730362527,0.0315403082707114,0.0252806151500177
172,1,0.0328963161672792,2.4457152,0.0215104481732087,0.0239951005821965,2.4179149,2.376665,0.0126046161609017,0.0448544987962698,0.1303771112690446,0.1185864158211355
173,1,0.0231856876129323,1.9738592,0.0147836636071171,0.0140550888725049,1.8997883,1.8653026,0.0056508514670224,0.0289978658921086,0.0371360366645243,0.0313267141694717
177,1,0.0169534624335271,1.784351,0.0149468379838474,0.0073236243893411,1.7582852,1.7707676,0.0053165694816797,0.0295842439196905,0.0428196224429859,0.0301988438401541
183,1,0.0297109091913504,2.273834,0.0203972850539479,0.0240182631702102,2.1650224,2.0799668,0.0147022822020034,0.0407816082373419,0.1012995924882269,0.090316872650966
191,1,0.0283095566951644,2.0401893,0.0075312470332911,0.0201746837709168,1.9845927,1.9415615,-0.0006083119576826,-0.0348417899815828,-0.0218219969118627,0.0413240134895258
192,2,0.0304360895776095,2.2201,0.0220017775270647,0.0183187402183216,2.173818,2.1539717,0.009880303951162,0.0448140999805688,0.0517006207769678,0.0373307602710838
197,1,0.0165259461087286,1.9283468,0.0133997583425028,0.0066354511999482,1.6512653,1.5812622,0.0035086438041092,0.0306118849761439,0.0450198239658159,0.030946390028379
198,2,0.0239305080576068,1.9500101,0.0159970849362484,0.0143349031535183,1.8453526,1.8349024,0.0063991698323082,0.029655230917083,0.0384024046016167,0.0326808059757891
203,1,0.01889547176166,1.8176591,0.0128369210967623,0.0107390759338454,1.6793745,1.6767545,0.0046793598804549,0.0245992279750604,0.0300392017095818,0.0243369648216461
204,1,0.0218397971036452,1.9494241,0.0139281685907296,0.0151281457100817,1.9225199,1.8894985,0.0072149736499144,0.0298020269551005,0.0384606806909571,0.0305026120692999
209,1,0.0285366000162927,2.1619983,0.0190377158644343,0.0159584471907134,2.0362885,1.991799,0.0064553788452833,0.0326891924762661,0.0425417757970888,0.0383920946510471
213,1,0.021150912967322,1.981125,0.013133283193994,0.0162667289352449,1.9774612,1.9500223,0.0082479473996589,0.0321417021410862,0.0427167824893637,0.0317334251021566
218,1,0.0312353789740469,2.2760062,0.0174756437493475,0.0226258843498135,2.2581089,2.1964972,0.008861394447358,0.0425491271270783,0.0546464070442048,0.0433444360851407
221,1,0.0264093705718209,2.1858766,0.0179678658753154,0.0165639171240279,2.0785785,2.0281913,0.0081195407115682,0.0363719379647939,0.0977528125174816,0.0878663188367827
224,1,0.0308162164484229,2.1184964,0.0215562528532298,0.017517086002846,1.9839023,1.9673873,0.0082523065666819,0.0366512660744479,0.0520466464767008,0.04621905133777
225,2,0.0349582561640235,2.4348743,0.022063821083004,0.025178559936098,2.3807728,2.374123,0.0122781608816418,0.0451243963705002,0.1098279817676235,0.099757337145863
226,2,0.0381418004758731,2.3436754,0.026352048057965,0.0216315333314482,2.2545953,2.222656,0.0098324290305511,0.0460201056054865,0.0589118797753957,0.0510434538609833
227,1,0.025885442809245,2.014316,0.0173647690158248,0.016487628501751,1.923501,1.9173115,0.0079642423533252,0.0323254607668115,0.0437995041658004,0.0373646412087551
230,2,0.038313669375517,2.4185624,0.0262875077681737,0.0247586923672016,2.3011613,2.2650664,0.0127241986242304,0.047494801693949,0.1086887868089904,0.0995904782545581
231,1,0.0163997223085019,1.7687656,0.0112314278274785,0.0096140465869364,1.5880969,1.5884647,0.0044450208763841,0.0127095789722377,0.0201954135041584,0.0238845458082347
232,2,0.0559558836118057,2.6829588,0.0401220611406514,0.0335608210846353,2.5713918,2.5149248,0.0177007979592837,0.0670649447950376,0.1136437512722219,0.1026228912214367
237,1,0.0172414770575139,1.7788253,0.0116823592222281,0.00992057939294,1.6337878,1.6214919,0.0043605821413987,0.021669628814932,0.0271527405564595,0.0227256672254885
241,1,0.0233236341537327,1.8780916,0.0159384945194138,0.0132551247636271,1.8285382,1.8188906,0.005867813349264,0.0271569728206586,0.0303803041658557,0.0265476295692307
242,1,0.0222714001557264,1.9424087,0.0156946319649063,0.0121101072343477,1.7502314,1.7165427,0.005531480097567,0.0259392779657546,0.0433518524261383,0.0396881688791802
254,1,0.0286447071147219,2.1141944,0.0210090530197275,0.0170670408708507,1.9222363,1.9008716,0.0094280182667066,0.0340247884846348,0.0562971414267403,0.0509272514093427
261,1,0.019186355003684,1.8286432,0.0066721675443493,0.0135596225229686,1.7669983,1.6882384,0.0010440100384374,0.0291482938555937,0.0370965194881643,0.0271390412425192
