,CLASS1,HR_25,PL_Index,HR_35,HR_24
4,1,0.0282783468778283,2.0816336,0.0188253839877285,0.0159968080752423
10,1,0.0121973941121989,1.8179636,0.009861125505868,0.0077435723052986
25,1,0.0283245531188098,2.1607301,0.0190923126382786,0.0185198934980351
27,1,0.0188227595451481,2.0532787,0.0210346247881861,0.0029474737704344
29,2,0.0397454046515794,2.4049885,0.0280477505119311,0.0223745862964559
33,2,0.0623914751532434,2.638379,0.0467561067477842,0.0294281274808776
36,1,0.0230505801919535,2.1267276,0.0199374544490211,0.0122153455937874
43,1,0.0245300893632195,2.0390635,0.016431209416122,0.0149446895275618
51,1,0.029683692032272,2.2194188,0.01757896609936,0.0208817838460008
53,1,0.0254622432419218,2.018631,0.0173453742833363,0.0157661665828008
55,3,0.0304457960098665,2.261954,0.0208138320249826,0.0222123526288927
56,1,0.0249544807488764,2.124825,0.0136300785946963,0.0197122189984201
63,2,0.0397599960505508,2.4492016,0.0273658043383669,0.0272037425103934
66,2,0.0377349540759258,2.3666093,0.0265346197532081,0.0219532988305228
71,1,0.0245266308021243,2.0667396,0.0179446013705735,0.0163016438135141
80,1,0.0083143073778407,1.7710534,0.0028820169798976,0.000922932466841
85,1,0.0284137115737139,2.137794,0.0207421956346172,0.0161053019704575
86,2,0.0503406110785347,2.737509,0.0352527287213804,0.0391180612241817
91,2,0.0382811356216875,2.5111988,0.0250757809010884,0.0280232877978365
92,1,0.0314528000476866,2.2390501,0.0212336777189115,0.0166902578006398
93,1,0.0139736909228903,1.7408901,0.0117555196114059,0.0044530657416785
97,1,0.0241516555180905,2.0810044,0.0140281738949986,0.0174371820626267
98,2,0.0501907488606663,2.60885,0.0350015037035905,0.026209313925954
103,1,0.0298768749460878,2.1219785,0.0210821593283753,0.0178152660524711
106,1,0.0243166807208273,2.0184522,0.0158872281876792,0.0160750499629742
109,1,0.0229637954446826,1.9541789,0.0184089424164553,0.0101938275969183
110,1,0.0288527984992732,2.1359894,0.0193871523501876,0.0186630726236681
115,2,0.043136848045891,2.445408,0.0313070275166469,0.0250431557203076
134,2,0.0344426567457934,2.2192743,0.0239094759923014,0.0213238734743761
137,1,0.0361014231836849,2.3062565,0.0259589540968764,0.0176382625188252
142,2,0.0432788088021962,2.4212196,0.0310154838779969,0.0245162968944926
144,2,0.0436262007009708,2.4055793,0.03103956010747,0.023470323407359
153,1,0.0410364972044158,2.3752236,0.0316978905678643,0.0228540579371318
156,1,0.0171190951388549,1.750551,0.0113339448098318,0.0106169701901536
162,1,0.0179959592846351,1.844213,0.0133588882871046,0.0098979771529752
166,1,0.0175151937280304,1.7666059,0.0104277779494247,0.011373893420757
172,1,0.0328963161672792,2.4457152,0.0215104481732087,0.0239951005821965
173,1,0.0231856876129323,1.9738592,0.0147836636071171,0.0140550888725049
177,1,0.0169534624335271,1.784351,0.0149468379838474,0.0073236243893411
183,1,0.0297109091913504,2.273834,0.0203972850539479,0.0240182631702102
191,1,0.0283095566951644,2.0401893,0.0075312470332911,0.0201746837709168
192,2,0.0304360895776095,2.2201,0.0220017775270647,0.0183187402183216
197,1,0.0165259461087286,1.9283468,0.0133997583425028,0.0066354511999482
198,2,0.0239305080576068,1.9500101,0.0159970849362484,0.0143349031535183
203,1,0.01889547176166,1.8176591,0.0128369210967623,0.0107390759338454
204,1,0.0218397971036452,1.9494241,0.0139281685907296,0.0151281457100817
209,1,0.0285366000162927,2.1619983,0.0190377158644343,0.0159584471907134
213,1,0.021150912967322,1.981125,0.013133283193994,0.0162667289352449
218,1,0.0312353789740469,2.2760062,0.0174756437493475,0.0226258843498135
221,1,0.0264093705718209,2.1858766,0.0179678658753154,0.0165639171240279
224,1,0.0308162164484229,2.1184964,0.0215562528532298,0.017517086002846
225,2,0.0349582561640235,2.4348743,0.022063821083004,0.025178559936098
226,2,0.0381418004758731,2.3436754,0.026352048057965,0.0216315333314482
227,1,0.025885442809245,2.014316,0.0173647690158248,0.016487628501751
230,2,0.038313669375517,2.4185624,0.0262875077681737,0.0247586923672016
231,1,0.0163997223085019,1.7687656,0.0112314278274785,0.0096140465869364
232,2,0.0559558836118057,2.6829588,0.0401220611406514,0.0335608210846353
237,1,0.0172414770575139,1.7788253,0.0116823592222281,0.00992057939294
