,Signif_Avg,PL_Flux_Density,LP_SigCurv,PLEC_IndexS,PLEC_SigCurv,Npred,Variability_Index,ASSOC_PROB_BAY,Flux_Band_1,Flux_Band_5,CLASS1
0,24.49722,1.6903673e-13,1.2832011,2.0288398,1.1714555,1204.7332,51.74239,0.99701446,7.134548951626129e-09,3.176632221157938e-11,1
1,16.672523,2.1449475e-14,3.0929494,1.5368207,3.30757,252.898,10.370596,0.9966394,7.976950350263579e-11,3.4221975947490435e-11,1
2,13.404971,1.497786e-13,2.6393673,1.9787837,2.5313535,443.74994,7.8673267,0.9983225,4.163881184293672e-10,1.4597182837472467e-11,1
3,6.878327,1.9337764e-14,2.515318,1.611796,2.6698763,128.64413,19.498081,0.9922678,6.138179547976462e-11,5.052307530672984e-12,1
4,23.338678,1.5070369e-12,2.3719027,2.3014212,2.3143551,1429.9028,189.31395,0.9971799,7.885990527256581e-09,6.464178151088795e-12,2
5,16.086971,2.3753154e-12,3.2987463,2.5318785,3.018605,1663.9377,55.450825,0.9926908,1.0853282716993816e-08,3.017813321286311e-13,2
6,7.125673,3.7639e-14,2.1316292,1.7936716,2.056351,170.25885,6.389583,0.99729097,2.5689554650210056e-12,7.749414825120038e-12,1
7,56.51904,9.802645e-13,5.4858456,1.890785,5.930168,3068.6738,8.622466,0.99995524,7.883069308434187e-09,1.3444580171384501e-10,1
8,18.235521,2.8626605e-13,1.1436651,2.1768053,0.73409694,1046.3073,15.371203,0.9931449,4.173066781021362e-09,2.7911948793923888e-11,1
9,64.89692,1.2934737e-12,4.992475,1.9120609,5.376152,3737.4302,234.30939,0.9999694,1.1584708303757908e-08,1.4153647698300628e-10,1
10,13.523349,7.5305796e-14,0.9134399,2.0567749,0.7174914,524.95074,17.160936,0.99851024,1.512802549896719e-09,2.1963618423992408e-11,1
11,24.288837,2.8134602e-12,3.4981623,2.2917302,3.3811243,1599.0161,175.40004,0.99674195,7.168662552459182e-09,8.647907043246583e-12,2
12,28.245321,2.3587419e-12,2.9530268,2.2288818,3.2885711,1878.826,346.11282,0.99867564,1.1910031183504088e-08,1.517190713340444e-11,2
13,24.767956,2.7295543e-13,3.4034617,1.8998278,3.1573217,820.33154,32.80153,0.99866146,7.219879138986585e-10,3.321994068716805e-11,1
14,11.777328,5.9763913e-15,2.5671787,1.5516772,2.120904,184.95749,15.14013,0.9999288,6.75337119126346e-13,2.825411259121946e-11,1
15,12.1987915,6.0833154e-14,0.6087496,2.0624647,0.12429352,537.43085,16.819736,0.9978396,4.788003327149681e-09,1.01895610005176e-11,1
16,19.939705,6.104499e-12,4.112043,2.5670016,4.0788093,1805.8726,140.62033,0.997477,1.3394025444313229e-08,2.139204178380761e-12,2
17,28.707115,1.8594152e-12,3.9449594,2.4616477,3.4348795,2532.4946,336.54477,1.0,1.9994951472313005e-08,2.010077174152692e-11,2
18,10.465015,1.1232279e-13,0.43823272,2.199611,0.0,570.56525,16.263166,0.9556661,4.8324184653836255e-09,8.061678061221933e-12,1
19,15.602418,1.8455027e-14,2.3384385,1.5356196,2.2797177,221.93294,13.713926,0.9997198,7.3595168847973e-10,2.2041445058018638e-11,1
20,22.789745,1.1669412e-13,0.6939304,2.0183692,1.3670999,1168.5735,26.699419,0.9998258,4.56974946771993e-09,5.143604986379557e-11,1
21,18.718227,4.6947065e-13,3.05193,2.5553524,3.125316,2128.8896,494.1492,0.99985063,1.7047572242745446e-08,3.856159749154875e-12,2
22,29.602173,8.003475e-13,2.9311254,2.0089424,2.75846,1204.965,48.788124,0.9981949,3.287103922389178e-09,2.6267413591463118e-11,1
23,27.131353,1.5180911e-13,1.8463222,1.9600024,1.4831812,1117.0865,39.290386,0.9998968,3.424241112881532e-09,4.098450398504205e-11,1
24,32.22765,3.4957193e-13,3.6567082,1.7725621,3.9914649,979.91156,26.896915,0.99966353,3.966873052263509e-09,4.110124393608139e-11,1
25,61.90344,3.3592452e-12,4.2148576,2.0471647,4.3743105,3644.785,239.23526,0.99987024,1.7459209189496505e-08,1.1434979352298311e-10,1
26,24.017208,1.1376812e-12,3.6941574,2.3301554,3.611277,1976.612,101.65793,0.9976239,1.1424902801593362e-08,6.354368854016856e-12,2
27,89.21285,1.3813821e-11,9.753913,2.0918393,9.369154,8005.4023,7178.108,0.99961346,3.870923137583304e-08,1.2260116533102658e-10,2
28,19.135262,2.3700944e-13,0.85544205,2.2155838,1.5268289,1185.3091,63.630413,0.99931973,6.933913443418761e-09,6.9508474496993156e-12,1
29,52.35371,5.4418726e-12,4.534698,2.3540215,3.8856354,4310.1133,545.1399,0.9994261,2.431866441554576e-08,1.3323829886613403e-11,2
30,53.71871,8.981e-12,6.291758,2.2720616,6.596611,4362.904,883.49976,0.9876088,2.7981844397118042e-08,1.7105986765963976e-11,2
31,6.9553857,1.3030157e-13,1.0400116,2.3045826,0.0,417.8584,27.040756,0.99433035,1.2511242042378967e-09,1.2203348141032189e-12,1
32,76.817635,7.58728e-13,7.136249,1.5953693,7.5610733,2474.1655,101.912346,0.99997485,3.388822111816125e-09,2.9624133701666716e-10,1
33,36.550503,1.9255177e-13,4.3910103,1.6690842,4.4214544,1016.05994,38.970222,0.99962795,3.3777265429080204e-09,9.78072900448268e-11,1
34,69.93408,2.6696988e-13,3.9443681,1.6608804,4.4736166,3087.884,325.57568,0.999984,8.981507981786763e-09,3.386186608889118e-10,1
35,7.230222,2.5833329e-13,0.64076996,2.376665,0.0,565.75256,12.242234,0.8784728,3.773466428214078e-09,6.258796432512259e-12,1
36,18.241486,6.341628e-14,1.6728084,1.8653026,1.681162,584.29395,16.806847,0.99888945,1.8786754374389147e-09,3.074089247045997e-11,1
37,12.513439,1.1722649e-14,0.39210227,1.7707676,0.0,260.25784,15.261884,0.99429685,1.0843913544889006e-09,1.574996036368681e-11,1
38,8.099487,6.131143e-14,1.424337,2.0799668,1.460437,403.5292,29.399483,0.99864256,2.583810054801461e-09,7.606961067996298e-12,1
39,7.270876,1.3747844e-14,0.6207162,1.9415615,0.0,265.7396,7.83602,0.9986084,5.962744675184345e-14,1.236113381791748e-11,1
40,16.853624,1.6786328e-13,1.1334438,2.1539717,0.8847422,913.09595,22.446869,0.9895131,7.91910714781352e-09,1.416629834272154e-11,2
41,11.949308,3.2655556e-14,2.511606,1.5812622,2.7218008,192.78944,18.710556,0.99892914,1.4973826623077e-09,1.907303308346097e-11,1
42,67.48478,1.3240563e-12,5.766928,1.8349024,6.306269,3737.2861,344.50244,0.99696195,1.14074296675426e-08,1.8932340417610047e-10,2
43,47.78714,2.8312704e-13,3.972572,1.6767545,4.3695817,1404.24,255.53964,0.99962103,3.945237025959614e-09,1.2704547136532796e-10,1
44,32.64234,1.7762223e-13,1.1762533,1.8894985,1.7924104,1398.6343,60.110516,0.99984354,5.784496881489076e-09,9.01741042946824e-11,1
45,21.445501,2.0445638e-13,2.9028254,1.991799,3.224402,1136.28,124.22853,0.9999574,3.113387991859895e-09,3.0681249207908934e-11,1
46,27.240294,1.0878413e-13,0.0,1.9500223,0.0,1143.7643,92.21433,0.99904114,5.962681015603266e-09,6.645754779821543e-11,1
47,8.034237,2.498787e-14,0.39064035,2.1964972,0.0,499.14755,12.813997,0.9973955,4.342032955406694e-09,1.0282690497687152e-11,1
48,13.841837,1.0948579e-13,1.7848676,2.0281913,1.9575359,658.7614,25.102087,0.92914814,2.616725724990942e-09,1.482973466249149e-11,1
49,54.94009,2.632813e-12,6.1916723,1.9673873,6.3554187,2824.7095,262.5781,0.99956,1.1024797963443689e-08,6.689034742768385e-11,1
50,44.944794,4.4528925e-12,2.9813297,2.374123,2.6456614,3595.5696,947.9246,0.9996851,1.9051793032076603e-08,3.536941919901615e-11,2
51,30.092163,2.1366097e-12,3.538966,2.222656,3.6148877,1983.8201,243.49756,0.998909,1.0566848729354206e-08,1.6259542323648898e-11,2
52,87.6642,4.0604217e-12,6.043599,1.9173115,6.5420003,5078.3774,170.83823,1.0,1.9956930330522482e-08,2.3480689614885364e-10,1
53,28.416601,3.0324508e-12,4.6952486,2.2650664,4.4354777,2037.2426,188.6428,0.9988039,1.3081265848313706e-08,1.653586469141377e-11,2
54,69.56279,3.36808e-13,6.593722,1.5884647,7.039502,2133.4932,171.33412,0.9999871,1.2385692471639231e-09,2.0812572498751786e-10,1
55,17.510614,6.6286638e-12,4.172706,2.5149248,4.055136,1928.3589,170.52602,0.9693291,1.2129969029217593e-08,7.959183984627971e-13,2
56,35.67798,1.5546356e-13,3.3265507,1.6214919,3.7965047,827.44275,26.348919,0.9996536,1.8311743232857223e-09,8.659353095685772e-11,1
57,31.172943,1.037144e-13,1.6891899,1.8188906,1.4863213,1054.3676,42.749786,0.99976546,2.472900328953642e-09,5.373914854778228e-11,1
58,37.178997,4.1255492e-13,5.4090366,1.7165427,5.904789,1146.7528,39.899315,0.99881756,2.660310194357862e-09,6.92238072419471e-11,1
59,45.370388,1.2717916e-12,6.3597264,1.9008716,6.6421895,2040.4565,85.31363,0.9997793,6.012689013346062e-09,5.104844671977027e-11,1
60,13.494346,1.281068e-14,0.7094115,1.6882384,1.2036358,300.71512,11.431056,0.9944222,2.0822488178140475e-09,3.3537943255890206e-11,1
61,50.52877,7.8129154e-13,6.589826,1.7415078,6.937359,1905.4214,66.66808,0.99989384,3.3103784158328153e-09,1.3105937168855775e-10,1
62,59.444836,1.2487902e-12,5.9470706,2.2444966,5.088981,7181.9194,952.9826,0.99996364,4.0266439071956484e-08,1.4270991333109606e-10,2
63,8.742901,5.879565e-14,0.7656889,2.1042774,0.23297739,433.72092,5.931611,0.997834,1.4439188733561532e-09,8.916239274681104e-12,1
64,26.588034,6.6479564e-14,2.7318017,1.7092834,2.4101577,811.31287,47.23652,0.99984103,1.3284986825901068e-11,7.115559530479487e-11,1
65,16.462927,3.791312e-12,2.4520109,2.5045161,2.3559024,1316.0566,95.49669,0.9974224,7.201990559480009e-09,3.491401178584708e-12,2
66,23.681274,1.3784781e-12,2.4377618,2.2220967,2.384651,1552.3011,196.11844,0.9968923,9.930729127916038e-09,4.15958803859362e-12,1
67,8.110159,5.080443e-13,1.5795828,2.5697808,1.1132108,717.4012,13.06684,0.9746997,4.225833016846536e-09,1.7556577936242437e-12,2
68,216.54633,1.1336345e-10,21.477722,2.2173169,21.229572,26040.807,14536.506,0.9997974,2.026211944894385e-07,1.8211243624222107e-10,2
69,25.096943,2.9296e-13,2.8327928,1.8614079,3.4421377,938.4148,14.849766,0.9995326,4.0806971135509684e-09,5.607950909203296e-11,1
70,34.527103,2.7177433e-12,6.8833356,2.5695088,6.4539027,4502.771,1086.423,0.9999697,4.35572502510695e-08,1.3774890950113416e-11,2
71,46.39756,1.5138846e-13,1.1046506,1.9428653,1.8436481,2940.8235,28.154408,0.9999802,1.5567819033890373e-08,1.6200586705483744e-10,1
72,12.511329,3.0870546e-14,0.3102109,1.9504815,0.0,400.32288,18.11434,0.99954075,8.317450062023111e-10,1.671231729394318e-11,1
73,14.940613,2.3444833e-12,2.8763332,2.617745,2.5463073,1333.8281,37.01697,0.999269,9.883827090106934e-09,1.9508643832322203e-12,2
74,155.20131,1.52461e-11,9.466281,1.9875683,9.716074,12775.14,1002.4609,1.0,5.7746060377894544e-08,4.232235117918037e-10,1
75,6.812342,3.688068e-13,1.9652668,2.3928857,1.5882945,645.18146,26.671267,0.0,4.902011685459229e-09,4.039778060682675e-12,2
76,17.96409,8.627972e-14,2.2163105,1.8044925,2.4419124,546.97894,12.780651,0.9990996,1.002825822382647e-09,2.9775945598053966e-11,1
77,70.55322,1.2599716e-11,5.8593416,2.2489245,5.8147974,6103.337,1275.7493,0.99959505,3.415106775150889e-08,3.6200112352169356e-11,2
78,21.271841,2.1077495e-12,2.6721444,2.3054316,2.6966236,1381.0742,168.36006,0.99620146,6.993790435672054e-09,5.001961518591447e-12,2
79,38.742313,1.1747962e-12,3.8603516,2.131068,3.6582627,2693.289,490.40823,0.9999032,9.84276127269368e-09,5.6239995299689476e-11,2
