,CLASS1,Frac_Variability,HR_24
4,1,0.42913482,0.0159968080752423
5,1,0.0,0.020496334127111
6,2,1.0881721,0.0349080076786325
10,1,0.0,0.0077435723052986
18,1,0.0,0.0120396429817975
25,1,0.0,0.0185198934980351
27,1,0.45170566,0.0029474737704344
28,2,0.9457461,0.0255843199019954
29,2,0.84219086,0.0223745862964559
33,2,0.44942507,0.0294281274808776
35,1,0.49450755,0.0194491965146008
36,1,0.0,0.0122153455937874
37,1,0.48748028,0.0249866558746433
43,1,0.0,0.0149446895275618
46,1,0.0,0.0133883073567224
51,1,0.10027631,0.0208817838460008
53,1,0.4184122,0.0157661665828008
55,3,0.47500834,0.0222123526288927
56,1,0.22463594,0.0197122189984201
62,2,0.7932924,0.0209420464574075
63,2,0.72519034,0.0272037425103934
66,2,0.9433384,0.0219532988305228
70,2,1.2962931,0.0209035542806579
71,1,0.31255382,0.0163016438135141
74,2,0.8896143,0.0191450719675453
75,1,0.0,0.0123477487187292
76,1,0.73931456,0.0204378346321885
77,1,0.23754619,0.0183304518736105
78,1,0.31550595,0.0248056997970231
80,1,0.2576234,0.000922932466841
83,1,0.0,0.0178188263001802
84,1,0.0,0.0131010691472524
85,1,0.19884299,0.0161053019704575
86,2,0.65228546,0.0391180612241817
87,2,0.5252061,0.027110929865292
91,2,0.90885466,0.0280232877978365
92,1,0.2706897,0.0166902578006398
93,1,0.10265498,0.0044530657416785
95,2,1.0447963,0.0331571619270337
97,1,0.25407124,0.0174371820626267
98,2,1.3735869,0.026209313925954
99,1,0.34476462,0.0191262323132705
101,1,0.4631552,0.014515832451954
103,1,0.34275222,0.0178152660524711
104,1,0.34925744,0.017389538459918
106,1,0.31218225,0.0160750499629742
107,1,0.0,0.0118957227262477
109,1,0.18697871,0.0101938275969183
110,1,0.43549657,0.0186630726236681
114,2,0.46483153,0.0292115398660575
115,2,0.5585473,0.0250431557203076
116,1,0.28340095,0.0137850818624747
122,2,2.0824275,0.0228968392546411
124,2,0.0,0.0197667402055746
131,1,0.3896722,0.0165557161741782
134,2,1.6535703,0.0213238734743761
135,1,0.26373813,0.0181469192274081
136,1,0.27852362,0.0157435218867695
137,1,0.4917453,0.0176382625188252
139,1,0.34903395,0.0211273770583693
141,1,0.7461387,-0.0021071294589939
142,2,0.70863044,0.0245162968944926
144,2,0.75941986,0.023470323407359
148,1,0.07789153,0.0022080168835287
153,1,0.66033083,0.0228540579371318
155,1,0.0,-0.0448889350253297
156,1,0.26706934,0.0106169701901536
162,1,0.27859876,0.0098979771529752
164,1,0.99467087,0.0121859993897785
166,1,0.54187524,0.011373893420757
170,2,0.3447841,0.0195842543475
171,1,0.491668,0.0192679942900207
172,1,0.0,0.0239951005821965
173,1,0.21633819,0.0140550888725049
174,2,1.2020161,0.0208645536186623
175,3,0.3409177,0.0323453057309152
176,2,0.249116,0.030769517299845
177,1,0.21209995,0.0073236243893411
182,1,0.34986943,0.0170632720391262
183,1,0.6108893,0.0240182631702102
188,2,0.4613594,0.0208439274688924
190,1,0.0,-0.0549906327984125
191,1,0.0,0.0201746837709168
192,2,0.2779596,0.0183187402183216
195,1,0.13105926,0.0175024634934737
197,1,0.31231037,0.0066354511999482
198,2,0.49642843,0.0143349031535183
199,2,0.97684515,0.0297874320206867
202,2,0.9120233,0.0278964305005656
203,1,0.818748,0.0107390759338454
204,1,0.368834,0.0151281457100817
209,1,0.76364005,0.0159584471907134
213,1,0.5644799,0.0162667289352449
215,2,1.4405203,0.0225875010293825
218,1,0.0,0.0226258843498135
219,1,0.0,0.011497972767399
221,1,0.3549441,0.0165639171240279
223,2,0.30836502,0.0274337523793281
224,1,0.46739912,0.017517086002846
225,2,1.1394556,0.025178559936098
226,2,0.7945252,0.0216315333314482
227,1,0.2655233,0.016487628501751
230,2,0.64903826,0.0247586923672016
231,1,0.444219,0.0096140465869364
232,2,0.7548437,0.0335608210846353
237,1,0.20691784,0.00992057939294
241,1,0.32834288,0.0132551247636271
242,1,0.26946416,0.0121101072343477
243,1,0.0,0.0156839367913462
244,1,0.0,0.022698065526223
246,1,0.28993422,0.0178015175020513
250,3,0.0,0.0232085040966396
253,2,0.5408107,0.0230339787239761
254,1,0.3344144,0.0170670408708507
256,1,0.0,-0.0604935685690857
258,2,1.7936959,0.0129391032100606
260,2,0.31880388,0.0241209446605531
261,1,0.0,0.0135596225229686
263,1,0.3493424,0.0091691394954032
264,2,0.38868824,0.0248088932828338
266,1,0.2758661,0.0127722280632917
267,1,0.34804755,0.0184720659483572
269,2,0.35751686,0.0258400823770545
270,1,0.0,0.0153255096765392
271,2,0.049925502,0.0393309156308595
277,2,0.9435036,0.0308642379241043
278,1,0.5016356,0.0162852131967217
281,2,0.7865966,0.0213771523532847
285,1,0.0,0.0196678899463453
286,1,0.39539698,0.007196246492014
287,1,0.9128728,0.0144463242623772
290,2,0.66361696,0.0308832095772613
291,1,0.8237543,0.01977275088354
292,1,1.0396643,0.0175286203644617
293,1,1.2410218,0.0375265565666955
297,1,0.3325429,0.0180874347915617
298,1,1.0308502,0.0184955604547901
301,2,0.078214355,0.0272573186540331
302,2,0.9711829,0.0250400988576839
303,1,0.09274889,0.0136307254666605
305,2,1.1002387,0.0296408387619525
307,1,0.3274981,0.0067802679222179
308,1,0.14599109,0.0166493709380695
309,1,0.0,0.020892717367147
312,1,0.28900188,0.0183314915309073
315,1,0.0,0.0108742758760023
318,2,0.34870806,0.0313589767755044
319,1,0.37257105,0.0178567891302745
320,2,0.52293426,0.0321573158767094
322,1,0.0,0.0075533355018099
323,1,0.0,0.0128181437659841
325,2,0.76530045,0.0232232444495859
326,2,0.86603665,0.0254909289015775
327,2,1.0150174,0.0197033004944445
328,1,0.30948216,0.0265090632261554
330,1,0.379281,0.0176649687337938
331,1,0.41812518,0.0138618130764708
333,2,0.70797324,0.0309297925360595
336,1,0.20147334,0.01659851726384
337,1,0.7662553,0.0154844615380607
338,2,0.8799592,0.0236489708335375
339,1,0.37265995,0.0017411992731172
340,1,0.03718294,0.0118424545010684
341,1,0.577754,0.0225519442306954
342,2,0.0,0.0298664349125873
344,1,0.0,0.0118655337294878
345,2,0.99932146,0.0224010939876702
349,2,0.57976186,0.0210919318848924
350,1,0.0,0.0088038191394909
352,1,0.0,0.0185898971473278
356,1,0.13753784,0.0138372798944392
360,2,0.0,0.0101975190913367
361,1,0.2866901,0.0134493810668007
365,1,0.35518366,0.0145914159556382
366,1,0.0,0.0249211785817746
367,1,0.2986392,0.0137397450911966
370,1,1.0216829,0.0205607730604453
372,2,0.0,0.0256544935818664
373,1,0.49980885,0.0172789185868904
375,2,0.0,0.033871588778394
379,2,1.170488,0.0279054514388645
383,1,0.0,0.021327823643874
384,1,0.12554996,0.0179517140451509
385,1,0.96830565,0.0137075069506775
386,1,0.0,0.0411561333785972
388,1,0.53676236,0.0238305197607691
395,2,0.840678,0.0159709363242971
398,1,0.060885843,0.0091403161390109
399,2,0.69751227,0.0266319941004973
402,1,0.5288636,0.0072558304607844
406,2,0.44215408,0.0232426932956188
407,2,0.0,0.0037251130134444
408,1,0.0,0.0166413265089746
412,2,1.1010146,0.0234165945575039
416,2,0.8298214,0.0250642359254788
417,1,0.16313803,0.0116517212181394
419,1,0.36152413,-0.0222761630277571
423,1,0.15536742,0.0086079528112373
426,2,0.95034295,0.0215860365316559
428,2,0.0,0.0278428748778356
429,2,0.8475463,0.0281723383057522
430,1,0.31523117,0.0158358711999
431,1,0.48239565,0.014082806490572
434,1,0.23253256,0.0191588918012559
437,1,0.5349019,0.0232843138375896
443,1,0.44392523,0.0136096501000879
445,1,0.6684058,0.018700309802729
447,1,0.6692759,0.0188305385379465
450,2,0.61903656,0.0260063711077934
451,1,0.39411476,0.0127767506808785
454,1,0.30240378,0.0184968624959399
455,2,1.5690353,0.0314886216399967
457,1,0.53462356,0.0136608904139998
459,1,0.0,0.0128139832130802
464,1,0.25417575,0.0088745721875367
465,1,0.6520171,0.0194390389467114
467,1,0.0,0.0147735041756276
473,1,0.33381924,0.0217732648773461
477,2,0.64194876,0.0275781986624272
478,1,0.40652758,0.015261418225667
479,2,0.65745693,0.054708366298238
481,1,0.16672842,0.0173109156136472
484,3,0.4260531,0.0182935582906052
485,2,0.32676908,0.0384446843253502
486,1,0.40643388,0.0137518492391167
487,2,0.41537374,0.0205741336798886
490,1,0.4303833,0.0197939419945827
496,2,0.7344579,0.0270560135281146
498,1,0.5926611,0.0170190405208192
499,1,0.41298202,0.0069296659522155
503,2,0.99588865,0.0258418444500689
504,1,0.0,-0.0242338008225137
509,1,0.37177792,0.0185027842826509
510,2,0.0,0.0272110563199545
515,1,0.4592857,0.0154524607962702
516,1,0.44325408,0.0163179562228744
518,1,0.2048374,0.0078680225976982
519,2,0.55630064,0.0248768584679704
520,1,0.7131926,0.0111295626079323
522,2,0.86125207,0.030443750226492
525,1,0.0,0.0071396336652908
527,2,0.59786206,0.019824811893025
528,1,0.56956935,0.0176316783092409
532,1,0.49664712,0.0192934497621856
533,1,1.1866536,0.0212031009705673
536,1,0.31898677,0.0056269869262482
539,1,0.25800827,0.0131641943050465
542,2,1.1457661,0.027710849648755
544,2,0.88775665,0.0281348189121203
547,2,0.0,0.0084293256137824
548,2,0.79630965,0.0214936822006046
552,1,0.0,0.0276388732448018
558,1,0.09449503,0.0200701499719872
559,1,0.0,0.0159665278261857
560,1,0.0,0.0085161487358551
561,1,0.32336596,0.0123863148300375
562,1,0.37764886,0.0128463126446263
565,1,1.3208382,0.0164016897600844
568,2,1.0886257,0.0237843249742466
569,1,0.38894582,0.0135787753651728
570,1,0.3952649,0.0178256195711716
574,1,0.7474654,0.0171457666238819
575,1,0.36993194,0.0148179668594432
577,1,0.5196566,0.0157620797022454
578,1,0.0,0.0208657115626076
581,1,0.0,0.0158053174648011
583,1,0.11782144,0.0136747026906281
589,1,0.0,0.0155584692287348
593,1,0.1746383,0.0097461467164185
595,1,0.26182884,0.0131458372229149
597,2,0.0,0.0230782476743498
598,1,0.26876882,0.0202443516380856
599,2,0.4110243,0.0361009150651342
600,2,0.7228722,0.019122830902242
605,1,0.29891938,0.0193864965948829
606,1,0.54263616,0.0179838519255675
607,1,0.44613957,0.0205645342012022
610,2,0.28757793,0.0313096109441208
611,1,0.0,-0.0048311822117249
612,2,0.93472654,0.0221589243260007
615,1,0.5888169,0.0035095917199944
