,CLASS1,HR_24
4,1,0.0159968080752423
10,1,0.0077435723052986
25,1,0.0185198934980351
27,1,0.0029474737704344
29,2,0.0223745862964559
33,2,0.0294281274808776
36,1,0.0122153455937874
43,1,0.0149446895275618
51,1,0.0208817838460008
53,1,0.0157661665828008
55,3,0.0222123526288927
56,1,0.0197122189984201
63,2,0.0272037425103934
66,2,0.0219532988305228
71,1,0.0163016438135141
80,1,0.000922932466841
85,1,0.0161053019704575
86,2,0.0391180612241817
91,2,0.0280232877978365
92,1,0.0166902578006398
93,1,0.0044530657416785
97,1,0.0174371820626267
98,2,0.026209313925954
103,1,0.0178152660524711
106,1,0.0160750499629742
109,1,0.0101938275969183
110,1,0.0186630726236681
115,2,0.0250431557203076
134,2,0.0213238734743761
137,1,0.0176382625188252
142,2,0.0245162968944926
144,2,0.023470323407359
153,1,0.0228540579371318
156,1,0.0106169701901536
162,1,0.0098979771529752
166,1,0.011373893420757
172,1,0.0239951005821965
173,1,0.0140550888725049
177,1,0.0073236243893411
183,1,0.0240182631702102
191,1,0.0201746837709168
192,2,0.0183187402183216
197,1,0.0066354511999482
198,2,0.0143349031535183
203,1,0.0107390759338454
204,1,0.0151281457100817
209,1,0.0159584471907134
213,1,0.0162667289352449
218,1,0.0226258843498135
221,1,0.0165639171240279
224,1,0.017517086002846
225,2,0.025178559936098
226,2,0.0216315333314482
227,1,0.016487628501751
230,2,0.0247586923672016
231,1,0.0096140465869364
232,2,0.0335608210846353
237,1,0.00992057939294
241,1,0.0132551247636271
242,1,0.0121101072343477
254,1,0.0170670408708507
261,1,0.0135596225229686
266,1,0.0127722280632917
281,2,0.0213771523532847
285,1,0.0196678899463453
286,1,0.007196246492014
290,2,0.0308832095772613
291,1,0.01977275088354
301,2,0.0272573186540331
302,2,0.0250400988576839
303,1,0.0136307254666605
305,2,0.0296408387619525
308,1,0.0166493709380695
312,1,0.0183314915309073
318,2,0.0313589767755044
319,1,0.0178567891302745
320,2,0.0321573158767094
323,1,0.0128181437659841
325,2,0.0232232444495859
326,2,0.0254909289015775
327,2,0.0197033004944445
330,1,0.0176649687337938
331,1,0.0138618130764708
333,2,0.0309297925360595
336,1,0.01659851726384
337,1,0.0154844615380607
338,2,0.0236489708335375
340,1,0.0118424545010684
345,2,0.0224010939876702
349,2,0.0210919318848924
350,1,0.0088038191394909
352,1,0.0185898971473278
356,1,0.0138372798944392
361,1,0.0134493810668007
365,1,0.0145914159556382
367,1,0.0137397450911966
373,1,0.0172789185868904
379,2,0.0279054514388645
383,1,0.021327823643874
384,1,0.0179517140451509
385,1,0.0137075069506775
398,1,0.0091403161390109
399,2,0.0266319941004973
402,1,0.0072558304607844
406,2,0.0232426932956188
407,2,0.0037251130134444
408,1,0.0166413265089746
412,2,0.0234165945575039
417,1,0.0116517212181394
423,1,0.0086079528112373
426,2,0.0215860365316559
429,2,0.0281723383057522
430,1,0.0158358711999
431,1,0.014082806490572
434,1,0.0191588918012559
443,1,0.0136096501000879
445,1,0.018700309802729
447,1,0.0188305385379465
450,2,0.0260063711077934
451,1,0.0127767506808785
454,1,0.0184968624959399
457,1,0.0136608904139998
459,1,0.0128139832130802
464,1,0.0088745721875367
477,2,0.0275781986624272
478,1,0.015261418225667
486,1,0.0137518492391167
490,1,0.0197939419945827
498,1,0.0170190405208192
499,1,0.0069296659522155
503,2,0.0258418444500689
509,1,0.0185027842826509
515,1,0.0154524607962702
516,1,0.0163179562228744
518,1,0.0078680225976982
525,1,0.0071396336652908
527,2,0.019824811893025
532,1,0.0192934497621856
533,1,0.0212031009705673
536,1,0.0056269869262482
542,2,0.027710849648755
544,2,0.0281348189121203
548,2,0.0214936822006046
552,1,0.0276388732448018
559,1,0.0159665278261857
560,1,0.0085161487358551
561,1,0.0123863148300375
562,1,0.0128463126446263
565,1,0.0164016897600844
568,2,0.0237843249742466
570,1,0.0178256195711716
577,1,0.0157620797022454
593,1,0.0097461467164185
595,1,0.0131458372229149
597,2,0.0230782476743498
598,1,0.0202443516380856
600,2,0.019122830902242
606,1,0.0179838519255675
612,2,0.0221589243260007
615,1,0.0035095917199944
619,1,0.0157263165482355
623,1,0.0140643586360132
624,1,0.0101582162676902
630,1,0.0220176400635608
648,2,0.0259554460603731
650,1,0.0140077637008035
655,2,0.0210963491068239
657,2,0.0286512677497884
662,2,0.024871036348514
664,1,0.0145440294503936
665,2,0.0286827494651866
666,2,0.0258585565438313
668,1,0.0139525649504756
669,1,0.0140412098258026
674,1,0.0114159533613909
677,2,0.0216294478259233
682,3,0.0178761568919216
684,2,0.0231038997155912
685,1,0.0137401132056388
688,1,0.0122324351586538
689,1,0.0203664361016693
699,1,0.0174699248736704
702,1,0.0183103685610523
712,1,0.0164810396976605
715,1,0.0098094931947957
720,2,0.029238386879503
722,2,0.0261619332288895
734,1,0.0119528477283636
740,2,0.017711035160175
745,2,0.0253296674856674
746,2,0.030290111697213
747,2,0.027027327862231
748,1,0.0152531130757802
750,2,0.0243986929781149
751,2,0.0241010875230503
756,1,0.0159300782355279
759,2,0.0278035980251437
760,1,0.0058216670131296
765,2,0.019738602602815
772,1,0.0198210186956738
774,2,0.0204703319900874
775,2,0.0216772612712622
784,1,0.0149594135643363
786,1,0.0181240797363147
788,2,0.0222654117510301
789,1,0.0110321633504118
795,1,0.0107583775925005
797,1,0.0154678255286923
801,3,0.0155029308259934
803,2,0.0253951079654126
804,1,0.0158183798147935
805,1,0.0146234883243516
807,2,0.026162732126917
808,1,0.01228290454702
811,2,0.0223118729292292
818,1,0.0069403072147862
828,1,0.0135713721953028
829,1,0.0148903423874821
834,2,0.0233788004829606
836,1,0.0080510194570269
837,1,0.0127608125779792
838,1,0.0117530560391516
846,1,0.0167257180694219
849,3,0.0191876350525371
850,1,0.0040945329753455
856,1,0.0257454171298083
857,1,0.0162149448381617
859,2,0.0326395450773023
863,1,0.0119625094285424
870,1,0.01467540183402
871,1,0.0121430718658733
872,2,0.0313375927698169
874,1,0.015133431331571
885,1,0.0041954265863059
895,1,0.0137122646464562
898,1,0.0189775815517561
906,1,0.0157420540904331
907,1,0.0115387334474558
909,1,0.0128393434051534
910,1,0.0160321165990378
911,1,0.0196550294528865
914,1,0.0170465217236428
918,2,0.0536194823889621
927,1,0.0078530830060156
931,1,0.0125400098900271
932,2,0.0237773069680865
935,2,-0.0081092781881148
936,1,0.0208061762802981
942,2,0.0260626319924395
944,1,0.0181345386369976
