,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy
4,1,0.42913482,0.0159968080752423,24.49722,2065.1467
5,1,0.0,0.020496334127111,5.2516475,2869.2637
6,2,1.0881721,0.0349080076786325,46.425827,340.91953
10,1,0.0,0.0077435723052986,16.672523,3402.819
18,1,0.0,0.0120396429817975,5.5522084,2935.824
25,1,0.0,0.0185198934980351,13.404971,1446.4923
27,1,0.45170566,0.0029474737704344,6.878327,2795.2131
28,2,0.9457461,0.0255843199019954,11.245723,683.055
29,2,0.84219086,0.0223745862964559,23.338678,691.1044
33,2,0.44942507,0.0294281274808776,16.086971,598.2377
35,1,0.49450755,0.0194491965146008,5.414082,2149.5942
36,1,0.0,0.0122153455937874,7.125673,2084.9785
37,1,0.48748028,0.0249866558746433,7.211533,1199.5168
43,1,0.0,0.0149446895275618,56.51904,1430.0842
46,1,0.0,0.0133883073567224,11.07414,4481.3696
51,1,0.10027631,0.0208817838460008,18.235521,1420.2627
53,1,0.4184122,0.0157661665828008,64.89692,1330.3015
55,3,0.47500834,0.0222123526288927,9.9780035,1586.7131
56,1,0.22463594,0.0197122189984201,13.523349,1811.7891
62,2,0.7932924,0.0209420464574075,6.997116,1345.3511
63,2,0.72519034,0.0272037425103934,24.288837,571.9983
66,2,0.9433384,0.0219532988305228,28.245321,724.0235
70,2,1.2962931,0.0209035542806579,11.10404,1677.0107
71,1,0.31255382,0.0163016438135141,24.767956,1412.678
74,2,0.8896143,0.0191450719675453,9.183543,2385.9421
75,1,0.0,0.0123477487187292,14.7916355,3299.1636
76,1,0.73931456,0.0204378346321885,9.59528,1146.0089
77,1,0.23754619,0.0183304518736105,13.948918,2240.8513
78,1,0.31550595,0.0248056997970231,5.9672127,1091.1918
80,1,0.2576234,0.000922932466841,11.777328,6929.809
83,1,0.0,0.0178188263001802,6.9896655,4967.872
84,1,0.0,0.0131010691472524,16.470945,7268.966
85,1,0.19884299,0.0161053019704575,12.1987915,2113.031
86,2,0.65228546,0.0391180612241817,19.939705,443.26532
87,2,0.5252061,0.027110929865292,4.9909987,592.02905
91,2,0.90885466,0.0280232877978365,28.707115,851.2023
92,1,0.2706897,0.0166902578006398,10.465015,1596.9047
93,1,0.10265498,0.0044530657416785,15.602418,3904.386
95,2,1.0447963,0.0331571619270337,7.9100785,406.54874
97,1,0.25407124,0.0174371820626267,22.789745,2267.393
98,2,1.3735869,0.026209313925954,18.718227,1445.7444
99,1,0.34476462,0.0191262323132705,14.484995,1725.0594
101,1,0.4631552,0.014515832451954,8.11823,3655.1777
103,1,0.34275222,0.0178152660524711,29.602173,969.3571
