,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37
4,1,0.42913482,0.0159968080752423,24.49722,2065.1467,0.0188253839877285,0.040747093529818
5,1,0.0,0.020496334127111,5.2516475,2869.2637,0.0121208635351016,0.0776408867611737
6,2,1.0881721,0.0349080076786325,46.425827,340.91953,0.075212660940992,0.0806409041219577
10,1,0.0,0.0077435723052986,16.672523,3402.819,0.009861125505868,0.0946628564309273
18,1,0.0,0.0120396429817975,5.5522084,2935.824,0.0174433889818639,0.0799019896882325
25,1,0.0,0.0185198934980351,13.404971,1446.4923,0.0190923126382786,0.127045869357576
27,1,0.45170566,0.0029474737704344,6.878327,2795.2131,0.0210346247881861,0.0813857543252932
28,2,0.9457461,0.0255843199019954,11.245723,683.055,0.0990691061865308,0.0991534172981501
29,2,0.84219086,0.0223745862964559,23.338678,691.1044,0.0280477505119311,0.1207987569539891
33,2,0.44942507,0.0294281274808776,16.086971,598.2377,0.0467561067477842,0.0746430155245302
35,1,0.49450755,0.0194491965146008,5.414082,2149.5942,0.0210122720237984,0.1187514391117052
36,1,0.0,0.0122153455937874,7.125673,2084.9785,0.0199374544490211,0.0949510995940188
37,1,0.48748028,0.0249866558746433,7.211533,1199.5168,0.0198236087638773,0.0707141115046266
43,1,0.0,0.0149446895275618,56.51904,1430.0842,0.016431209416122,0.0986848658594581
46,1,0.0,0.0133883073567224,11.07414,4481.3696,0.0077101218604885,0.0813650689562123
51,1,0.10027631,0.0208817838460008,18.235521,1420.2627,0.01757896609936,0.0972814211683829
53,1,0.4184122,0.0157661665828008,64.89692,1330.3015,0.0173453742833363,0.0926782915737127
55,3,0.47500834,0.0222123526288927,9.9780035,1586.7131,0.0208138320249826,0.0873282084686149
56,1,0.22463594,0.0197122189984201,13.523349,1811.7891,0.0136300785946963,0.0388656196659828
62,2,0.7932924,0.0209420464574075,6.997116,1345.3511,0.113724419045806,0.0768408025283944
63,2,0.72519034,0.0272037425103934,24.288837,571.9983,0.0273658043383669,0.093385559993667
66,2,0.9433384,0.0219532988305228,28.245321,724.0235,0.0265346197532081,0.0951425056392152
70,2,1.2962931,0.0209035542806579,11.10404,1677.0107,0.017861206185711,0.0953752119849262
71,1,0.31255382,0.0163016438135141,24.767956,1412.678,0.0179446013705735,0.0897554906141281
74,2,0.8896143,0.0191450719675453,9.183543,2385.9421,0.0138995524666873,0.093474842701574
75,1,0.0,0.0123477487187292,14.7916355,3299.1636,0.0168748996850143,0.0267231357191205
76,1,0.73931456,0.0204378346321885,9.59528,1146.0089,0.0360756132152545,0.0766258298025643
77,1,0.23754619,0.0183304518736105,13.948918,2240.8513,0.018738303849489,0.1154045295026114
78,1,0.31550595,0.0248056997970231,5.9672127,1091.1918,0.0835138516503564,0.0916823381219789
80,1,0.2576234,0.000922932466841,11.777328,6929.809,0.0028820169798976,0.0165545352632777
83,1,0.0,0.0178188263001802,6.9896655,4967.872,0.0098996054411863,0.1702171657350915
84,1,0.0,0.0131010691472524,16.470945,7268.966,0.0126709188330811,0.022095058131025
85,1,0.19884299,0.0161053019704575,12.1987915,2113.031,0.0207421956346172,0.0340547517419825
86,2,0.65228546,0.0391180612241817,19.939705,443.26532,0.0352527287213804,0.0739554209425667
87,2,0.5252061,0.027110929865292,4.9909987,592.02905,0.0665118187540256,0.1025532603869072
91,2,0.90885466,0.0280232877978365,28.707115,851.2023,0.0250757809010884,0.0916220801775947
92,1,0.2706897,0.0166902578006398,10.465015,1596.9047,0.0212336777189115,0.0873865735298024
93,1,0.10265498,0.0044530657416785,15.602418,3904.386,0.0117555196114059,0.0292857547633182
95,2,1.0447963,0.0331571619270337,7.9100785,406.54874,0.0730225359490864,0.0681004795548455
97,1,0.25407124,0.0174371820626267,22.789745,2267.393,0.0140281738949986,0.1285910684277724
98,2,1.3735869,0.026209313925954,18.718227,1445.7444,0.0350015037035905,0.1024802724717158
99,1,0.34476462,0.0191262323132705,14.484995,1725.0594,0.0213409902283923,0.106515120161865
101,1,0.4631552,0.014515832451954,8.11823,3655.1777,0.0115354037281175,0.0905112231667568
103,1,0.34275222,0.0178152660524711,29.602173,969.3571,0.0210821593283753,0.1295990270655027
104,1,0.34925744,0.017389538459918,7.882179,2153.0115,0.0246608340145095,0.0872904092205729
106,1,0.31218225,0.0160750499629742,27.131353,1939.0461,0.0158872281876792,0.1763649384739489
107,1,0.0,0.0118957227262477,9.646608,8737.983,0.0145014156442499,0.0149001155114112
109,1,0.18697871,0.0101938275969183,32.22765,1482.6697,0.0184089424164553,0.0889635078005851
110,1,0.43549657,0.0186630726236681,61.90344,880.4098,0.0193871523501876,0.0478042134057007
114,2,0.46483153,0.0292115398660575,14.539717,404.76788,0.0702584870779077,0.0757091544432085
115,2,0.5585473,0.0250431557203076,24.017208,917.8061,0.0313070275166469,0.1052970640948689
116,1,0.28340095,0.0137850818624747,9.318911,2089.8809,0.0217409318925282,0.1250209477497492
122,2,2.0824275,0.0228968392546411,5.2781134,1318.8574,0.0190472136423783,0.0908050632189521
124,2,0.0,0.0197667402055746,3.57752,3071.779,0.0554803708222638,0.0750926020057295
131,1,0.3896722,0.0165557161741782,13.241903,2604.0557,0.0180828574892396,0.0803794896820007
134,2,1.6535703,0.0213238734743761,89.21285,635.79504,0.0239094759923014,0.1118524711561029
135,1,0.26373813,0.0181469192274081,4.079314,3903.0642,0.0146149355867743,0.0842814603649797
136,1,0.27852362,0.0157435218867695,11.369533,1897.7698,0.0191348674693652,0.0998867915230275
137,1,0.4917453,0.0176382625188252,19.135262,1398.9402,0.0259589540968764,0.0790144944178063
139,1,0.34903395,0.0211273770583693,5.1196513,2622.5342,0.0123227004694206,0.0908124649678043
141,1,0.7461387,-0.0021071294589939,14.667213,3260.5798,0.0114542139435384,0.105235654989713
142,2,0.70863044,0.0245162968944926,52.35371,644.55035,0.0310154838779969,0.088305677089728
144,2,0.75941986,0.023470323407359,53.71871,580.7013,0.03103956010747,0.1048903620020501
148,1,0.07789153,0.0022080168835287,8.388575,3550.6025,0.0152022920128501,0.0784140461451829
153,1,0.66033083,0.0228540579371318,6.9553857,1139.5641,0.0316978905678643,0.0801843206714113
155,1,0.0,-0.0448889350253297,6.026091,8317.166,0.0155530380133093,0.0214133834067865
156,1,0.26706934,0.0106169701901536,76.817635,1674.1256,0.0113339448098318,0.0340269970127729
162,1,0.27859876,0.0098979771529752,36.550503,2297.5273,0.0133588882871046,0.0407657405216142
164,1,0.99467087,0.0121859993897785,9.021272,2044.897,0.0188925638717857,0.0862040447069166
166,1,0.54187524,0.011373893420757,69.93408,3312.808,0.0104277779494247,0.0243449333239943
170,2,0.3447841,0.0195842543475,7.0520163,1341.6981,0.0225247266302891,0.1119364085712103
171,1,0.491668,0.0192679942900207,23.327469,1555.3241,0.0179847713419477,0.0335521115380925
172,1,0.0,0.0239951005821965,7.230222,971.94495,0.0215104481732087,0.0938183559864636
173,1,0.21633819,0.0140550888725049,18.241486,2534.6191,0.0147836636071171,0.0764229055391052
174,2,1.2020161,0.0208645536186623,97.55795,651.15216,0.026452003876408,0.0947717069933315
175,3,0.3409177,0.0323453057309152,7.9600024,532.5513,0.0509357914918551,0.0699026689081409
176,2,0.249116,0.030769517299845,12.125998,429.48755,0.0615378644139011,0.1029082923188199
177,1,0.21209995,0.0073236243893411,12.513439,4434.8145,0.0149468379838474,0.0192013138413443
182,1,0.34986943,0.0170632720391262,10.816568,5442.4185,0.0121018755116511,0.0256219572446247
183,1,0.6108893,0.0240182631702102,8.099487,1687.8866,0.0203972850539479,0.0346486911213158
188,2,0.4613594,0.0208439274688924,7.380077,4588.6694,0.01570701746432,0.031770099786038
190,1,0.0,-0.0549906327984125,7.4016743,6109.009,0.0067785703424851,0.0728085309503123
191,1,0.0,0.0201746837709168,7.270876,3203.5183,0.0075312470332911,0.0482464317131003
192,2,0.2779596,0.0183187402183216,16.853624,1624.0604,0.0220017775270647,0.1127194018508421
195,1,0.13105926,0.0175024634934737,9.823544,2815.2283,0.0189875947292837,0.0963139645156095
197,1,0.31231037,0.0066354511999482,11.949308,2666.2856,0.0133997583425028,0.1123644517608683
198,2,0.49642843,0.0143349031535183,67.48478,1393.5527,0.0159970849362484,0.0441674252326001
199,2,0.97684515,0.0297874320206867,6.0882926,928.62714,0.0204902377263546,0.1346313148643276
202,2,0.9120233,0.0278964305005656,17.578194,593.10406,0.0334102729320566,0.1656163279024501
203,1,0.818748,0.0107390759338454,47.78714,2118.0635,0.0128369210967623,0.0375609426908386
204,1,0.368834,0.0151281457100817,32.64234,2359.9734,0.0139281685907296,0.0353190240116525
209,1,0.76364005,0.0159584471907134,21.445501,1896.5369,0.0190377158644343,0.1228609820915503
213,1,0.5644799,0.0162667289352449,27.240294,2448.3782,0.013133283193994,0.0340495565194897
215,2,1.4405203,0.0225875010293825,10.303153,1782.3665,0.0196649938191646,0.0995765598299481
218,1,0.0,0.0226258843498135,8.034237,2790.8643,0.0174756437493475,0.0962962273624443
219,1,0.0,0.011497972767399,6.7207613,4289.091,0.0104443136895905,0.1140658659135954
221,1,0.3549441,0.0165639171240279,13.841837,1588.0786,0.0179678658753154,0.0986903743615758
223,2,0.30836502,0.0274337523793281,8.885262,653.2341,0.0713999425250814,0.0855157380426236
224,1,0.46739912,0.017517086002846,54.94009,885.1005,0.0215562528532298,0.1263457206414397
225,2,1.1394556,0.025178559936098,44.944794,629.8015,0.022063821083004,0.10793054162737
226,2,0.7945252,0.0216315333314482,30.092163,777.66565,0.026352048057965,0.0924065715565649
227,1,0.2655233,0.016487628501751,87.6642,954.7823,0.0173647690158248,0.0455835725773093
230,2,0.64903826,0.0247586923672016,28.416601,667.8174,0.0262875077681737,0.0855231843403748
231,1,0.444219,0.0096140465869364,69.56279,2226.9585,0.0112314278274785,0.0349493240985338
232,2,0.7548437,0.0335608210846353,17.510614,400.69135,0.0401220611406514,0.0758121943606928
237,1,0.20691784,0.00992057939294,35.67798,2212.2485,0.0116823592222281,0.0332665789228971
241,1,0.32834288,0.0132551247636271,31.172943,2823.0833,0.0159384945194138,0.0320132395113585
242,1,0.26946416,0.0121101072343477,37.178997,1485.3032,0.0156946319649063,0.1064635504661361
243,1,0.0,0.0156839367913462,5.8337083,1902.6592,0.0233960234068328,0.0776902198703085
244,1,0.0,0.022698065526223,8.82647,1148.9075,0.0278090431828783,0.0726452526174181
246,1,0.28993422,0.0178015175020513,6.0413914,1638.2504,0.0161759655751203,0.1154201420206512
250,3,0.0,0.0232085040966396,11.878226,1049.3574,0.0184977027199661,0.1088577817912198
253,2,0.5408107,0.0230339787239761,16.018517,883.48114,0.0307416295451745,0.0983479989222458
254,1,0.3344144,0.0170670408708507,45.370388,1025.1377,0.0210090530197275,0.0957621769932347
256,1,0.0,-0.0604935685690857,4.63588,12964.618,-0.0117891212112081,0.0630434685769723
258,2,1.7936959,0.0129391032100606,7.4848595,1760.7802,0.0205142913540499,0.0742136512409666
260,2,0.31880388,0.0241209446605531,6.7264857,1075.1997,0.0134772962072925,0.0832630235253717
261,1,0.0,0.0135596225229686,13.494346,4659.956,0.0066721675443493,0.0257649130790891
263,1,0.3493424,0.0091691394954032,10.799742,2548.151,0.0139465684198959,0.0895496679482563
264,2,0.38868824,0.0248088932828338,5.6946473,515.3072,0.0528424934264235,0.0688968299949816
266,1,0.2758661,0.0127722280632917,50.52877,1438.547,0.0157481675983688,0.0970239150234587
267,1,0.34804755,0.0184720659483572,6.2862473,1669.3369,0.0231250100402791,0.0820099626174309
269,2,0.35751686,0.0258400823770545,4.793159,650.9543,0.0633082852227436,0.0932363870416597
270,1,0.0,0.0153255096765392,6.313219,7825.2285,0.0081995923696572,0.0785451858270243
271,2,0.049925502,0.0393309156308595,4.269817,1086.1246,0.1156402144630101,0.1092193103464615
277,2,0.9435036,0.0308642379241043,14.9023905,427.2214,0.031535992882895,0.0759565776830157
278,1,0.5016356,0.0162852131967217,6.980668,2714.3333,0.0162725203970377,0.0766132092591854
281,2,0.7865966,0.0213771523532847,59.444836,1837.2594,0.0222995403566599,0.0451999961097227
285,1,0.0,0.0196678899463453,8.742901,1932.7537,0.0190125135485962,0.0840388328876302
286,1,0.39539698,0.007196246492014,26.588034,3320.7654,0.013161983026967,0.0293936987589032
287,1,0.9128728,0.0144463242623772,9.098306,2347.4316,0.0173915429672487,0.0799482473361579
290,2,0.66361696,0.0308832095772613,16.462927,449.92404,0.0296775777393519,0.0954570333644074
291,1,0.8237543,0.01977275088354,23.681274,779.1218,0.0325715169541303,0.1264703332831807
292,1,1.0396643,0.0175286203644617,2.943237,1000.0,0.0220877331723561,0.098938849111209
293,1,1.2410218,0.0375265565666955,5.79123,574.06396,0.0238437974231748,0.0853892471276141
297,1,0.3325429,0.0180874347915617,8.7685585,1565.0364,0.0290523504228898,0.0796532755164691
298,1,1.0308502,0.0184955604547901,8.750334,2363.517,0.0178446899002913,0.0986050494398046
301,2,0.078214355,0.0272573186540331,8.110159,819.1394,0.0304666870646652,0.0543315121119428
302,2,0.9711829,0.0250400988576839,216.54633,461.98013,0.0299581145372331,0.1941219433075907
303,1,0.09274889,0.0136307254666605,25.096943,1553.1144,0.0155921949382302,0.1242833123601267
305,2,1.1002387,0.0296408387619525,34.527103,1018.31445,0.033323371697461,0.0650084693541287
307,1,0.3274981,0.0067802679222179,12.361202,4377.511,0.015687771657646,0.0247538227134956
308,1,0.14599109,0.0166493709380695,46.39756,3649.7273,0.0145900115469353,0.0346032781531882
309,1,0.0,0.020892717367147,5.9618673,7445.896,0.0094852863542506,0.017280152862642
312,1,0.28900188,0.0183314915309073,12.511329,2873.151,0.0160448557171519,0.0305715757419868
315,1,0.0,0.0108742758760023,6.3017282,4497.4937,0.0145638440372253,0.0742762819686132
318,2,0.34870806,0.0313589767755044,14.940613,503.13306,0.0319328453501319,0.0932532307750964
319,1,0.37257105,0.0178567891302745,155.20131,776.33264,0.0196566988413879,0.0527974406510162
320,2,0.52293426,0.0321573158767094,6.812342,914.672,0.0269092561109851,0.1006717485401114
322,1,0.0,0.0075533355018099,5.5944524,3221.823,0.012147962089216,0.0712371357173284
323,1,0.0,0.0128181437659841,17.96409,2050.6216,0.0146145761035431,0.1089461429610895
325,2,0.76530045,0.0232232444495859,70.55322,555.12805,0.0283206201841278,0.1024591161798592
326,2,0.86603665,0.0254909289015775,21.271841,585.7902,0.0300706062945108,0.0908070677703605
327,2,1.0150174,0.0197033004944445,38.742313,1153.0234,0.0207620115349868,0.1279753559224062
328,1,0.30948216,0.0265090632261554,11.205218,883.7337,0.0227109261900241,0.087576499030668
330,1,0.379281,0.0176649687337938,37.64927,1621.4591,0.0177864619809951,0.0986145413544047
331,1,0.41812518,0.0138618130764708,10.510932,7858.0493,0.0119049744079372,0.021735085063547
333,2,0.70797324,0.0309297925360595,13.947945,647.2438,0.0322412543263486,0.0913489308079749
336,1,0.20147334,0.01659851726384,41.88115,1187.8068,0.0202022039725566,0.0429696906442101
337,1,0.7662553,0.0154844615380607,47.701366,2526.1877,0.0133328688647985,0.0352271928337888
338,2,0.8799592,0.0236489708335375,30.647429,737.8447,0.0211035118971741,0.1141920152462642
339,1,0.37265995,0.0017411992731172,10.9284935,4997.5635,0.0133561494733483,0.0794034260259959
340,1,0.03718294,0.0118424545010684,15.63953,2546.6372,0.0126220394037826,0.1159633286074136
341,1,0.577754,0.0225519442306954,6.0456643,2594.9897,0.0165720127783299,0.0889504698678111
342,2,0.0,0.0298664349125873,4.711715,655.27325,0.1028384196305601,0.0837072840790632
344,1,0.0,0.0118655337294878,3.9587195,4188.721,-0.0024910891615582,0.1139445101560168
345,2,0.99932146,0.0224010939876702,26.498932,1094.6694,0.0233525472687585,0.0995658801662248
