,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46,PL_Index,ASSOC_PROB_LR
4,1,0.42913482,0.0159968080752423,24.49722,2065.1467,0.0188253839877285,0.040747093529818,1.7783626e-13,0.0245816578741839,0.0342164117747929,0.0219385381489581,0.040948223,0.0180447590635915,2.0816336,0.93293214
10,1,0.0,0.0077435723052986,16.672523,3402.819,0.009861125505868,0.0946628564309273,2.6206439e-14,0.0226785522440008,0.0893014451945616,0.0848809658049249,0.18185906,0.0172735499335092,1.8179636,0.9044934
25,1,0.0,0.0185198934980351,13.404971,1446.4923,0.0190923126382786,0.127045869357576,1.7970576e-13,0.0985977142788294,0.1179006902069755,0.1082160455005213,0.18503946,0.0893953012490365,2.1607301,0.97085786
27,1,0.45170566,0.0029474737704344,6.878327,2795.2131,0.0210346247881861,0.0813857543252932,2.6746307e-14,0.0318932295895246,0.0762575984186521,0.0604546229429927,0.5594674,0.0267374484523755,2.0532787,0.0
29,2,0.84219086,0.0223745862964559,23.338678,691.1044,0.0280477505119311,0.1207987569539891,1.6288045e-12,0.037971579593932,0.1102741751927897,0.0930663275746682,0.080881566,0.0273159710675705,2.4049885,0.97325
33,2,0.44942507,0.0294281274808776,16.086971,598.2377,0.0467561067477842,0.0746430155245302,2.8355265e-12,0.106711093701767,0.0609522275018943,0.0279845754151373,0.23886833,0.0930943612440176,2.638379,0.9090593
36,1,0.0,0.0122153455937874,7.125673,2084.9785,0.0199374544490211,0.0949510995940188,4.8990854e-14,0.1035128302687302,0.0859242173517414,0.0751559215592135,0.3561921,0.0945007231580651,2.1267276,0.8214364
43,1,0.0,0.0149446895275618,56.51904,1430.0842,0.016431209416122,0.0986848658594581,1.0624387e-12,0.0294934578000062,0.091903559200535,0.0823872483301985,0.07838052,0.0226546577357566,2.0390635,0.9736737
51,1,0.10027631,0.0208817838460008,18.235521,1420.2627,0.01757896609936,0.0972814211683829,3.038242e-13,0.0254860390075617,0.088584065912235,0.0798389882661465,0.03428638,0.0167168197385269,2.2194188,0.86640173
53,1,0.4184122,0.0157661665828008,64.89692,1330.3015,0.0173453742833363,0.0926782915737127,1.3861759e-12,0.0259273528942085,0.0850919044887944,0.0754542129298194,0.05106355,0.0182842877068414,2.018631,0.92810774
55,3,0.47500834,0.0222123526288927,9.9780035,1586.7131,0.0208138320249826,0.0873282084686149,9.3502476e-14,0.0314179945876897,0.0748334262686494,0.0666354954298523,0.044191033,0.0188484688428293,2.261954,0.94048434
56,1,0.22463594,0.0197122189984201,13.523349,1811.7891,0.0136300785946963,0.0388656196659828,8.0521276e-14,0.0839516429565059,0.0304897205508453,0.0252489164689248,0.055817317,0.0756190427739732,2.124825,0.9318478
63,2,0.72519034,0.0272037425103934,24.288837,571.9983,0.0273658043383669,0.093385559993667,3.1576564e-12,0.0826844448582783,0.0786932838525572,0.0661889061017943,0.1442938,0.0679665771503947,2.4492016,0.9643442
66,2,0.9433384,0.0219532988305228,28.245321,724.0235,0.0265346197532081,0.0951425056392152,2.541146e-12,0.0968578412501161,0.0844844866070341,0.0687815296868185,0.10074445,0.0862031678792195,2.3666093,0.9197632
71,1,0.31255382,0.0163016438135141,24.767956,1412.678,0.0179446013705735,0.0897554906141281,3.089228e-13,0.0330873558181911,0.0801076028746953,0.0719267363511724,0.115646675,0.0233771130034589,2.0667396,0.9994357
