,Parameter,Percentage NaNs
1,Pivot_Energy,0.0
2,Flux1000,0.0
3,Energy_Flux100,0.0
4,PL_Flux_Density,0.01389854065323437
5,PL_Index,0.01389854065323437
6,LP_Flux_Density,0.04169562195969201
7,LP_Index,0.04169562195969201
8,LP_beta,0.04169562195969201
9,LP_SigCurv,0.0
10,LP_EPeak,12.55038220986796
11,PLEC_Flux_Density,0.05559416261292638
12,PLEC_IndexS,0.05559416261292638
13,PLEC_ExpfactorS,0.05559416261292638
14,PLEC_Exp_Index,0.05559416261292638
15,PLEC_SigCurv,0.0
16,PLEC_EPeak,33.453787352328
17,Npred,0.0
18,Variability_Index,0.01389854065323437
19,Frac_Variability,0.01389854065323437
20,Signif_Peak,74.63516330785266
21,Flux_Peak,74.63516330785266
22,Time_Peak,74.63516330785266
23,Peak_Interval,74.63516330785266
24,ASSOC_PROB_BAY,3.8359972202918646
25,ASSOC_PROB_LR,1.1535788742182085
26,PL,0.0
27,LP,0.0
28,PLEC,0.0
29,Flux_Band_0,0.0
30,Flux_Band_1,0.0
31,Flux_Band_2,0.0
32,Flux_Band_3,0.0
33,Flux_Band_4,0.0
34,Flux_Band_5,0.0
35,Flux_Band_6,0.01389854065323437
36,Flux_Band_7,0.04169562195969201
37,nuFnu_Band_0,0.0
38,nuFnu_Band_1,0.0
39,nuFnu_Band_2,0.0
40,nuFnu_Band_3,0.0
41,nuFnu_Band_4,0.0
42,nuFnu_Band_5,0.0
43,nuFnu_Band_6,0.01389854065323437
44,nuFnu_Band_7,0.04169562195969201
45,Sqrt_TS_Band_0,56.1501042390549
46,Sqrt_TS_Band_1,23.51633078526755
47,Sqrt_TS_Band_2,5.253648366921471
48,Sqrt_TS_Band_3,0.931202223766503
49,Sqrt_TS_Band_4,1.7512161223071532
50,Sqrt_TS_Band_5,16.33078526754691
51,Sqrt_TS_Band_6,43.32175121612231
52,Sqrt_TS_Band_7,74.14871438498957
53,Flux_History_0,0.0
54,Flux_History_1,0.0
55,Flux_History_2,0.0
56,Flux_History_3,0.0
57,Flux_History_4,0.0
58,Flux_History_5,0.0
59,Flux_History_6,0.0
60,Flux_History_7,0.0
61,Sqrt_TS_History_0,8.255733148019463
62,Sqrt_TS_History_1,7.352328005559416
63,Sqrt_TS_History_2,7.797081306462816
64,Sqrt_TS_History_3,7.963863794301595
65,Sqrt_TS_History_4,7.644197359277271
66,Sqrt_TS_History_5,7.936066712995138
67,Sqrt_TS_History_6,7.644197359277271
68,Sqrt_TS_History_7,7.032661570535092
