,CLASS1
0,
1,
2,
3,bcu
4,bll
5,bll
6,fsrq
7,
8,bcu
9,bcu
10,bll
11,unk
12,bcu
13,bcu
14,spp
15,PSR
16,bcu
17,sey
18,bll
19,bcu
20,
21,bcu
22,bcu
23,bcu
24,
25,bll
26,
27,bll
28,fsrq
29,fsrq
30,
31,
32,
33,fsrq
34,
35,bll
36,bll
37,bll
38,
39,PSR
40,
41,bcu
42,bcu
43,bll
44,bcu
45,
46,bll
47,bcu
48,bcu
49,
50,
51,bll
52,
53,bll
54,
55,rdg
56,bll
57,bcu
58,bcu
59,
60,
61,
62,fsrq
63,fsrq
64,bcu
65,bcu
66,fsrq
67,
68,bcu
69,bcu
70,fsrq
71,bll
72,bcu
73,agn
74,fsrq
75,bll
76,bll
77,bll
78,bll
79,bcu
80,bll
81,bcu
82,bcu
83,bll
84,bll
85,bll
86,fsrq
87,fsrq
88,bcu
89,
90,
91,FSRQ
92,bll
93,bll
94,
95,fsrq
96,bcu
97,bll
98,fsrq
99,bll
100,bcu
101,bll
102,bcu
103,bll
104,bll
105,
106,bll
107,bll
108,
109,bll
110,bll
111,
112,MSP
113,
114,fsrq
115,fsrq
116,bll
117,glc
118,
119,
120,bcu
121,bcu
122,fsrq
123,
124,fsrq
125,snr
126,
127,
128,bcu
129,
130,
131,bll
132,
133,bcu
134,fsrq
135,bll
136,bll
137,bll
138,bcu
139,bll
140,
141,bll
142,fsrq
143,MSP
144,fsrq
145,
146,
147,
148,bll
149,
150,
151,bcu
152,
153,bll
154,bcu
155,bll
156,bll
157,bcu
158,bcu
159,MSP
160,
161,bcu
162,bll
163,
164,bll
165,bcu
166,bll
167,bcu
168,bcu
169,
170,fsrq
171,bll
172,bll
173,bll
174,fsrq
175,rdg
176,fsrq
177,bll
178,
179,bcu
180,
181,
182,bll
183,bll
184,
185,bcu
186,
187,bcu
188,fsrq
189,bcu
190,bll
191,bll
192,fsrq
193,
194,gal
195,bll
196,bcu
197,bll
198,fsrq
199,fsrq
200,bcu
201,bcu
202,fsrq
203,bll
204,bll
205,
206,
207,
208,
209,bll
210,bcu
211,unk
212,sbg
213,bll
214,bcu
215,fsrq
216,
217,bcu
218,bll
219,bll
220,bcu
221,bll
222,bcu
223,fsrq
224,bll
225,fsrq
226,fsrq
227,BLL
228,
229,bcu
230,fsrq
231,bll
232,fsrq
233,
234,bcu
235,bcu
236,
237,bll
238,bcu
239,bcu
240,
241,bll
242,bll
243,bll
244,bll
245,bcu
246,bll
247,bcu
248,bcu
249,
250,rdg
251,
252,GAL
253,fsrq
254,bll
255,
256,bll
257,
258,fsrq
259,bcu
260,fsrq
261,bll
262,
263,bll
264,fsrq
265,sfr
266,bll
267,bll
268,MSP
269,fsrq
270,bll
271,fsrq
272,
273,bcu
274,bcu
275,
276,
277,fsrq
278,bll
279,bcu
280,bcu
