,CLASS1,HR_25
4,1,0.0282783468778283
10,1,0.0121973941121989
25,1,0.0283245531188098
27,1,0.0188227595451481
29,2,0.0397454046515794
33,2,0.0623914751532434
36,1,0.0230505801919535
43,1,0.0245300893632195
51,1,0.029683692032272
53,1,0.0254622432419218
55,3,0.0304457960098665
56,1,0.0249544807488764
63,2,0.0397599960505508
66,2,0.0377349540759258
71,1,0.0245266308021243
80,1,0.0083143073778407
85,1,0.0284137115737139
86,2,0.0503406110785347
91,2,0.0382811356216875
92,1,0.0314528000476866
93,1,0.0139736909228903
97,1,0.0241516555180905
98,2,0.0501907488606663
103,1,0.0298768749460878
106,1,0.0243166807208273
109,1,0.0229637954446826
110,1,0.0288527984992732
115,2,0.043136848045891
134,2,0.0344426567457934
137,1,0.0361014231836849
142,2,0.0432788088021962
144,2,0.0436262007009708
153,1,0.0410364972044158
156,1,0.0171190951388549
162,1,0.0179959592846351
166,1,0.0175151937280304
172,1,0.0328963161672792
173,1,0.0231856876129323
177,1,0.0169534624335271
183,1,0.0297109091913504
191,1,0.0283095566951644
192,2,0.0304360895776095
197,1,0.0165259461087286
198,2,0.0239305080576068
203,1,0.01889547176166
204,1,0.0218397971036452
209,1,0.0285366000162927
213,1,0.021150912967322
218,1,0.0312353789740469
221,1,0.0264093705718209
224,1,0.0308162164484229
225,2,0.0349582561640235
226,2,0.0381418004758731
227,1,0.025885442809245
230,2,0.038313669375517
231,1,0.0163997223085019
232,2,0.0559558836118057
237,1,0.0172414770575139
241,1,0.0233236341537327
242,1,0.0222714001557264
254,1,0.0286447071147219
261,1,0.019186355003684
266,1,0.0219182122377113
281,2,0.0329068755610183
285,1,0.030703182578855
286,1,0.0141798022945804
290,2,0.0438536509447432
291,1,0.0433090780694585
301,2,0.0449477171265806
302,2,0.0426214954252234
303,1,0.0216615650012698
305,2,0.0480219207391523
308,1,0.0240832498490364
312,1,0.0258636605919295
318,2,0.0453997818404217
319,1,0.0288158128893389
320,2,0.0392675509497336
323,1,0.0209071235430269
325,2,0.039990380077929
326,2,0.0410589429261672
327,2,0.0305986807856518
330,1,0.0275583969025461
331,1,0.017443599530793
333,2,0.0490002867997782
336,1,0.0282080671805896
337,1,0.0221250783333808
338,2,0.0351301307355937
340,1,0.0163511899906499
345,2,0.0354694259832975
349,2,0.0349022919607179
350,1,0.016118064973723
352,1,0.0399982512439511
356,1,0.0231397506965599
361,1,0.0252375820809287
