,CLASS1,HR_25,PL_Index
4,1,0.0282783468778283,2.0816336
10,1,0.0121973941121989,1.8179636
25,1,0.0283245531188098,2.1607301
27,1,0.0188227595451481,2.0532787
29,2,0.0397454046515794,2.4049885
33,2,0.0623914751532434,2.638379
36,1,0.0230505801919535,2.1267276
43,1,0.0245300893632195,2.0390635
51,1,0.029683692032272,2.2194188
53,1,0.0254622432419218,2.018631
55,3,0.0304457960098665,2.261954
56,1,0.0249544807488764,2.124825
63,2,0.0397599960505508,2.4492016
66,2,0.0377349540759258,2.3666093
71,1,0.0245266308021243,2.0667396
80,1,0.0083143073778407,1.7710534
85,1,0.0284137115737139,2.137794
86,2,0.0503406110785347,2.737509
91,2,0.0382811356216875,2.5111988
92,1,0.0314528000476866,2.2390501
93,1,0.0139736909228903,1.7408901
97,1,0.0241516555180905,2.0810044
98,2,0.0501907488606663,2.60885
103,1,0.0298768749460878,2.1219785
106,1,0.0243166807208273,2.0184522
109,1,0.0229637954446826,1.9541789
110,1,0.0288527984992732,2.1359894
115,2,0.043136848045891,2.445408
134,2,0.0344426567457934,2.2192743
137,1,0.0361014231836849,2.3062565
142,2,0.0432788088021962,2.4212196
144,2,0.0436262007009708,2.4055793
153,1,0.0410364972044158,2.3752236
156,1,0.0171190951388549,1.750551
162,1,0.0179959592846351,1.844213
166,1,0.0175151937280304,1.7666059
172,1,0.0328963161672792,2.4457152
173,1,0.0231856876129323,1.9738592
177,1,0.0169534624335271,1.784351
183,1,0.0297109091913504,2.273834
191,1,0.0283095566951644,2.0401893
192,2,0.0304360895776095,2.2201
197,1,0.0165259461087286,1.9283468
198,2,0.0239305080576068,1.9500101
203,1,0.01889547176166,1.8176591
204,1,0.0218397971036452,1.9494241
209,1,0.0285366000162927,2.1619983
213,1,0.021150912967322,1.981125
218,1,0.0312353789740469,2.2760062
221,1,0.0264093705718209,2.1858766
224,1,0.0308162164484229,2.1184964
225,2,0.0349582561640235,2.4348743
226,2,0.0381418004758731,2.3436754
227,1,0.025885442809245,2.014316
230,2,0.038313669375517,2.4185624
231,1,0.0163997223085019,1.7687656
232,2,0.0559558836118057,2.6829588
237,1,0.0172414770575139,1.7788253
241,1,0.0233236341537327,1.8780916
242,1,0.0222714001557264,1.9424087
254,1,0.0286447071147219,2.1141944
261,1,0.019186355003684,1.8286432
266,1,0.0219182122377113,1.9449022
281,2,0.0329068755610183,2.2838695
285,1,0.030703182578855,2.1993947
286,1,0.0141798022945804,1.8221352
290,2,0.0438536509447432,2.64323
291,1,0.0433090780694585,2.3312454
301,2,0.0449477171265806,2.6504521
302,2,0.0426214954252234,2.34918
