,Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,LP_EPeak,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,ASSOC_PROB_BAY,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,3.1985596417247883,7.632956544034057,-21.076453383217196,-25.575926315409504,-29.40866036632383,2.0816336,-29.357913155615332,2.0524702,-3.2728341145717352,0.8255784495202769,6.940718086842353,-29.368473495814868,2.0288398,0.040948223,0.6666667,0.7753976800358112,7.094013410621386,3.9462773681920087,0.42913482,0.99701446,-27.12170849504759,-18.758316804326128,-20.16093272694778,-21.47718958541329,-22.40198072618655,-24.1726144372824,-25.01757009169417,-27.44470021538789,-35.864040017167845,-27.09998091863218,-27.454349042077762,-27.51626855933109,-27.39281201502162,-27.90910842710842,-27.705816195178418,-29.203625238126353,1.9843953219671553,2.6249807128413356,2.7533100875030723,2.2200249443082027,-18.587651317111337,-19.33429368195176,-18.775722564248507,-17.93055347113273,-18.436228383312372,-18.34876211543127,-18.415459480971997,-18.382396047790415,2.070156450926411,1.0765619350622593,1.7733146671521345,2.325075504776525,1.975253596120673,1.7623059772854044,1.8879351528567172,1.912694617595805,1
10,2.8137620350405417,8.132359484723146,-22.12498555958404,-26.738228883881277,-31.473076225360664,1.8179636,-31.272771250979723,1.5992589,-1.8321513062793013,1.409265834863607,9.384136776034676,-31.324881514375285,1.5368207,0.18185906,0.6666667,1.4603739400133848,5.5329862453805125,2.3389744940710946,0.0,0.9966394,-19.222428940106443,-23.25187984613625,-22.34208485451322,-22.675154805812564,-23.451928856581112,-24.098153106656653,-25.990676730471744,-37.61490286250952,-27.8964455714082,-31.45142470810357,-29.50821512417353,-28.64469776855194,-28.403635859772287,-27.838427691893497,-28.72571749365257,-39.69577504942317,0.788570299369666,2.0060070494025446,2.1976781055599157,2.4691440027407,-21.422397030826083,-21.236291575446316,-21.415101844181343,-21.659641494036077,-20.6926083271817,-20.897104341913025,-21.58423828586198,-22.190649089125408,1.4943933546143628,1.7156346319496183,1.2449589241708385,0.7958138631471238,1.7322260847115065,1.8929488431517083,1.167201388312046,0.7834502146934041,1
25,2.595625608313706,7.276896801208105,-21.853783027095922,-26.71862339198591,-29.529618191175476,2.1607301,-29.3474555482125,2.0422213,-1.8710937578896045,1.291809847859113,7.139775158872913,-29.3938062060842,1.9787837,0.18503946,0.6666667,1.2616812252176053,6.095261205578349,2.062718322386206,0.0,0.9983225,-28.35975289516789,-21.599403313626137,-20.889300598521555,-22.188129523531753,-23.5179737005157,-24.95019256217023,-37.710261766120524,-42.840614366634355,-37.06344682436661,-29.872095068532648,-28.14258322424371,-28.228783826021626,-28.55148307603085,-28.75543994420565,-40.51680172530252,-45.06189239037321,1.7838783242955356,2.154429972071862,2.0506661590579793,1.691751335556732,-19.726026127571238,-19.97836881537517,-19.499808680700042,-20.51722508316915,-19.79532444077622,-19.434895536767744,-19.69873679673959,-19.896283927979983,1.6843339016466274,1.3187523461734825,1.7301258975419918,0.594859881278775,1.1359662097172119,1.5578924146793423,1.3261116883017148,0.8988577427340353,1
27,1.9283754537703222,7.93566362597442,-22.512901862278078,-27.52548494569889,-31.57671652687457,2.0532787,-31.252379987174052,1.7820854,-1.1929901352301744,1.2571299905873026,8.294887663862008,-31.252502291910684,1.611796,0.5594674,0.6666667,1.3001579557763574,4.857049910014801,2.970316050470684,0.45170566,0.9922678,-18.628231867927205,-23.513907815295045,-23.24818513068061,-22.930194476549573,-23.673955601948784,-26.011176040238166,-27.65405323055184,-35.63408898093294,-27.288476218551356,-31.662288823538244,-30.388418294994366,-28.910613103374125,-28.67745426356411,-29.823806959544413,-30.501112093782623,-37.98164156484571,-0.4372384792045913,1.4883582113885374,1.7867418602979852,0.7984349997506794,-20.8582597133284,-21.329956906687126,-22.36142089872405,-20.66674141696574,-22.665182104420328,-21.140671961568646,-24.60934271948103,-22.193789533613064,1.4548522943357665,0.9736927162579443,0.020431415178301153,1.5502207990920118,-0.027818556378972036,1.245754642309289,-2.323913497494153,-0.20562701068667905,1
29,3.1501119842945244,6.538290897738925,-21.497233929569063,-25.974295920466297,-27.220875710850716,2.4049885,-27.14317480578816,2.322214,-2.534598112004518,1.2154771844445211,4.506513372446885,-27.171972903715915,2.3014212,0.080881566,0.6666667,1.1982630647426373,7.265361748915778,5.24340674805162,0.84219086,0.9971799,-18.28177722199348,-18.65817800270187,-20.066762841389856,-21.69800962907783,-23.21743420378699,-25.76474523458694,-27.26042726538335,-41.0607580878987,-27.019306149677618,-27.00191359174783,-27.38384939598618,-27.77439416454479,-28.27299991398818,-29.57238272179941,-30.052225311180024,-43.20071767842243,2.5971180152674345,2.6598953541037886,2.4329220874663737,1.1656850550269406,-17.66208060947446,-17.433113169996624,-18.180183347638323,-19.262104078914643,-19.309215794873072,-18.90963975844265,-19.27332724410229,-19.582884623921966,2.45947861706161,2.710394507139222,2.0257026483603218,1.1881622476927831,1.272752621349598,1.420132952414154,0.9964444997583579,0.9018474814651801,2
33,2.7780096897087154,6.393988166610555,-21.717047788476492,-25.8322069728653,-26.765890887259083,2.638379,-26.58879348170588,2.600829,-1.8045419582576905,1.458323422048644,4.568313340696377,-26.615875222402433,2.5318785,0.23886833,0.6666667,1.3909348274819446,7.416942180776417,4.015496591954406,0.44942507,0.9926908,-18.347818151114506,-18.338798248158703,-19.715247948391397,-21.897164228371544,-23.867961184843935,-28.829073705597295,-38.77964265753267,-33.296995985645715,-27.082855690015002,-26.69133707028243,-27.064720048305688,-28.017920987854005,-28.99358751192426,-32.71005340139622,-41.6691022108305,-35.645907473476846,2.505981806166281,2.142993357731558,1.532091997286195,-2.259070023194037,-17.612484637103744,-17.361990442997882,-18.332771051108306,-18.056771180593103,-17.717447118269256,-17.635520562025206,-18.794492134893183,-18.129759568803838,1.9816516633281342,2.1973324426801106,1.3000903985550682,1.5911763048747458,1.8793317738805682,1.827624051406796,0.6996914103407391,1.4648644655751353,2
36,1.9637041778343647,7.642513822429136,-22.416391709588147,-27.442919628495844,-30.91073564802783,2.1267276,-30.647142767283135,1.8784531,-1.3833917776938287,1.1415533803152145,7.8849028880522996,-30.68091373731118,1.7936716,0.3561921,0.6666667,1.1172217207297686,5.137319926057439,1.854669008044071,0.0,0.99729097,-22.46558468016841,-26.687521733482008,-22.233070891620454,-22.676709385226655,-23.98905937152669,-25.583403781850173,-39.17479535975196,-37.667046890418355,-31.13275446833682,-34.885618531255204,-29.422204989275805,-28.68648114501525,-29.0124296612106,-29.400634839994552,-42.01551059573426,-39.98756833884869,0.5983895261935392,1.7336500424683834,1.5037834099493024,1.1230199368894285,-20.944933035963732,-20.82119761190005,-21.03505601477072,-21.33533129086223,-21.16704568428547,-20.999714417929486,-22.08289660715394,-21.668065863862722,1.1553405823758156,0.8998552511797552,0.917501355889794,0.9948312578072485,0.6878060751134493,0.8632482753124988,-0.12199154031650469,0.39701548026091354,1
43,4.034577572534073,7.265488602639409,-19.99023825702783,-24.733597227307314,-27.650953961702786,2.0390635,-27.57045418989413,1.8980258,-2.41193477703659,1.8696222024830627,7.83427681722401,-27.6048370307707,1.890785,0.07838052,0.6666667,1.9358840553322114,8.029000760277308,2.1543711226491506,0.0,0.99995524,-22.881145806840088,-18.658548502767978,-19.30627703583769,-20.418338242192977,-21.37176124585862,-22.729859959332703,-24.623284133985116,-35.5681444936083,-31.59465732409868,-26.944335254969076,-26.55749763377778,-26.44270274996141,-26.369278031562356,-26.491950552956435,-27.36534216110493,-37.59858597703073,2.9895939350897884,3.479968223728519,3.515822178311095,3.1686120489157683,-18.11323044427671,-18.098869895727923,-18.10371138608362,-17.94014076303829,-18.076394829556484,-18.229801955822232,-18.14915904387568,-18.28781851282073,2.6364130442705895,2.760690511135508,2.7868607657218223,2.8253475502556076,2.796592684470565,2.5426277409181037,2.5512901092817954,2.597679407019522,1
51,2.9033713952810594,7.258597133484916,-21.397187890264572,-25.85793457234994,-28.881854771745097,2.2194188,-28.822327150251997,2.1980414,-3.2674408706286835,0.7625170276493314,4.659888458436443,-28.84434934609873,2.1768053,0.03428638,0.6666667,0.5504867822166923,6.953022387329116,2.7324958238435064,0.10027631,0.9931449,-23.65022325559458,-19.29461463234466,-20.08920601100717,-21.777451760244237,-23.026142947877588,-24.30196624659993,-25.467197746748855,-36.98151672248379,-32.39800612423564,-27.6497306862412,-27.39868377312498,-27.829982760994664,-28.033035589170424,-28.051912122989588,-28.171505229737782,-38.79430792985395,2.218901973861128,2.2690219069073105,2.211044340719207,2.0346274310193126,-18.358364832246483,-18.592863751743483,-19.201544745788926,-18.730695953406343,-18.43840046043357,-18.865974330378325,-19.473600278434787,-18.955549799946695,1.9700591458234902,1.5954620721713277,1.0024213207440258,1.659866327153209,1.8915790733596893,1.3824659073669276,0.8476144301467562,1.2861750042369833,1
53,4.172800164956777,7.193160887254435,-19.856205097952156,-24.535968984810427,-27.373689725922695,2.018631,-27.30447231123657,1.9197568,-2.751889555778499,1.7905045154361814,7.821956028363604,-27.337254119235844,1.9120609,0.05106355,0.6666667,1.8525647806015015,8.226153541939267,5.456642421535279,0.4184122,0.9999694,-17.67831555978593,-18.273579858165604,-19.130565774893892,-20.242283594163723,-21.30577450532461,-22.67846364420107,-23.91589690873905,-34.339823326226465,-26.3992727897813,-26.573375748933298,-26.39141126612633,-26.26873223148096,-26.298799744432923,-26.43111136634245,-26.64025801070091,-36.294159173170165,3.16921637505099,3.5940563211340986,3.6269411059100034,3.2477367755350026,-18.116832209912808,-17.66462314947118,-17.150901953764794,-17.473688530737906,-18.04656626628078,-18.397869289077466,-17.648116929743598,-17.847258148257808,2.606010651585038,3.0298934929240278,3.407972108240037,3.215910770594331,2.748456398741703,2.277637046648759,2.8372687720412983,2.860023262265853,1
