,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_0,Sqrt_TS_Band_1,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Sqrt_TS_Band_6,Sqrt_TS_Band_7,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1,HR_01,HR_02,HR_03,HR_04,HR_05,HR_06,HR_07,HR_12,HR_13,HR_14,HR_15,HR_16,HR_17,HR_23,HR_24,HR_25,HR_26,HR_27,HR_34,HR_35,HR_36,HR_37,HR_45,HR_46,HR_47,HR_56,HR_57,HR_67
110,1.7459209189496505e-08,6.363365834261003e-09,1.7456315282160515e-09,4.85720685894364e-10,1.1434979352298311e-10,1.407057196450845e-11,1.7221620180266073e-12,3.4494559986164575e-12,4.254799637615214e-12,4.372837595495449e-12,4.1428900240947356e-12,3.234773560123472e-12,2.644271737337056e-12,9.089266882547633e-13,2.351609575471092e-13,1.3758007287979126,10.64790153503418,29.756593704223636,38.69401550292969,30.83182144165039,19.22950935363769,6.020236968994141,1.898252367973328,1.6929149637689992e-08,2.922721087372793e-08,2.59329766549854e-08,2.3448357922006835e-08,2.645761831843174e-08,2.161872814099297e-08,1.7891927939217567e-08,1.2529046244935673e-08,13.584309577941896,19.020496368408203,16.458723068237305,15.35281467437744,17.261096954345703,12.694360733032228,11.725784301757812,8.603357315063477,1,0.0015021316290999,0.0090192342767733,0.0184885989135076,0.0276776480153819,0.0378621798953231,0.0522425071637416,0.0662342722883955,0.0075172044913391,0.0169869390509314,0.0261766046909381,0.0363621163244258,0.0507443577043232,0.064738581668804,0.0094709439450978,0.0186630726236681,0.0288527984992732,0.0432436487498785,0.0572492376997206,0.0091937537381152,0.0193871523501876,0.0337865423593512,0.0478042134057007,0.0101952158145206,0.0246004301335391,0.0386274364322979,0.014408828149576,0.0284434220654826,0.0140403481613783
162,3.3777265429080212e-09,1.238932401115278e-09,6.496260196442448e-10,3.101157108886809e-10,9.780729004482679e-11,3.222724170859337e-11,1.704814241165753e-12,5.225627873126082e-13,8.858941683530241e-13,9.176739229621589e-13,1.6231148369794113e-12,2.167116746470965e-12,2.3287088403434186e-12,2.127626417061657e-12,2.347645190227399e-13,0.1053216233849525,2.6388306617736816,7.686361312866211,18.70794486999512,22.319095611572266,17.53861427307129,11.822527885437012,1.9551637172698972,4.7697992222595084e-09,4.189515845354208e-09,3.288106453780415e-09,1.910644975566811e-09,3.5066725079246903e-09,3.886231336736046e-09,3.6947376269580445e-09,7.297456416921477e-09,12.857234954833984,11.371782302856444,8.343411445617676,6.2177581787109375,8.353376388549805,8.061002731323242,9.434898376464844,14.802051544189451,1,-0.0005666578556646,0.0067251533421626,0.0113629849474438,0.0166220240432238,0.0247181211017133,0.0323823684802899,0.0521045895552446,0.0072917834098545,0.0119295659895316,0.0171885200002099,0.0252844248055826,0.0329484217415263,0.0526696923132263,0.0046381860453298,0.0098979771529752,0.0179959592846351,0.0256628038910086,0.0453953432568046,0.0052600325886904,0.0133588882871046,0.021027120679859,0.0407657405216142,0.0080994248303187,0.0157688321766755,0.0355133230236574,0.007670386996455,0.0274217857269648,0.0197555540289664
198,1.14074296675426e-08,5.267515312823434e-09,1.7795021012290135e-09,7.324880146875046e-10,1.8932340417610047e-10,5.3852866610526455e-11,3.050952502789417e-12,6.246287124686556e-13,2.8631849495475148e-12,3.739550336057107e-12,4.32939144603961e-12,5.010637304375676e-12,4.466674859843201e-12,3.552623906860619e-12,4.374464657695698e-13,0.2046037912368774,5.008834362030029,23.6230583190918,37.71302795410156,40.35653305053711,26.96609687805176,15.82050323486328,3.1867196559906006,1.2821576689248104e-08,1.1254075893418758e-08,1.0444746401105933e-08,5.570547134681192e-09,3.0959466101876394e-08,1.8810256463552832e-08,2.8027795195839644e-08,1.511614478033607e-08,15.125191688537598,13.212446212768556,11.931023597717283,7.239937305450439,29.764217376708984,18.23350715637207,24.3663330078125,16.206640243530273,2,-0.0081049780022611,-0.0023762999593117,0.0055602662485981,0.0119590105662986,0.0215554338710056,0.0303068596289487,0.0497154822216361,0.0057287883786052,0.0136646284429599,0.0200620440044371,0.029655230917083,0.0384024046016167,0.0577971712646869,0.0079364613445536,0.0143349031535183,0.0239305080576068,0.0326808059757891,0.0520856288421349,0.0063991698323082,0.0159970849362484,0.0247507642358003,0.0441674252326001,0.0095988977245103,0.0183545014691635,0.0377789330435591,0.0087571466048592,0.0281902581247198,0.0194379100833103
203,3.945237025959614e-09,1.8051644623540142e-09,7.792022027608424e-10,4.0445627402796447e-10,1.2704547136532796e-10,5.8045419165653194e-11,3.3701708958278065e-12,2.2341017924532025e-12,1.0157194096221957e-12,1.3189207755462397e-12,1.9387857205094283e-12,2.836748414294932e-12,3.0556720348462467e-12,3.910524248168512e-12,5.105460867439737e-13,0.9066639542579652,2.5662829875946045,11.440289497375488,23.352338790893555,29.36386108398437,22.311622619628903,16.992849349975586,3.848525285720825,7.79550823892805e-09,5.1103299369970046e-09,6.247734329889454e-09,4.664235220275259e-09,6.434486721218491e-09,3.887874466812491e-09,2.0460440453007326e-08,4.202915793172224e-09,17.301349639892578,12.094858169555664,13.362317085266112,11.543895721435549,15.600571632385254,9.093117713928224,29.29207420349121,9.55263900756836,1,0.00910927569083,0.0148149142252009,0.0208730608507946,0.0255499252045569,0.0337009519178487,0.0391377679228091,0.0583882264806158,0.0057064086321225,0.0117660223333996,0.0164444768228471,0.0245992279750604,0.0300392017095818,0.0493051749526999,0.0060600205815512,0.0107390759338454,0.01889547176166,0.0243369648216461,0.0436110365245157,0.0046793598804549,0.0128369210967623,0.0182796401672667,0.0375609426908386,0.0081580512588096,0.0136014437137044,0.03288736313175,0.0054439965276906,0.0247359484486105,0.0192945501716898
204,5.784496881489076e-09,1.948760264269822e-09,6.499854543484672e-10,2.352585903864224e-10,9.017410429468241e-11,2.564616921607588e-11,3.8851374374593295e-12,1.7902349524687169e-12,1.396961539501529e-12,1.3459691260847562e-12,1.5697212410112349e-12,1.6248832791429524e-12,2.1777133048239694e-12,1.7713286349849144e-12,7.059980313035842e-13,0.7396129965782166,3.6370787620544434,9.98167324066162,17.381799697875977,17.133525848388672,16.287622451782227,10.195679664611816,3.3279287815093994,4.826146593472913e-09,1.2872344967718165e-08,7.396304901874373e-09,1.0622414947647485e-08,7.480169372797718e-09,1.3160843970183578e-08,8.517688776521481e-09,4.3144057215727125e-09,5.842501640319824,11.993749618530272,7.542920589447021,9.274459838867188,8.598308563232422,9.586989402770996,8.897906303405762,4.762943267822266,1,0.0048697453469418,0.0128366628986173,0.0207485909238293,0.0279593790396933,0.0346667411774494,0.0433223120408816,0.0560265575546366,0.0079674156050186,0.0158804501431934,0.0230927778912181,0.0298020269551005,0.0384606806909571,0.0511707733891298,0.007914035870635,0.0151281457100817,0.0218397971036452,0.0305026120692999,0.0432209789261504,0.0072149736499144,0.0139281685907296,0.0225940303697166,0.0353190240116525,0.0067138696267678,0.0153815641506159,0.0281112138250654,0.0086685897275174,0.0214013833889195,0.0127351562852045
227,1.995693033052248e-08,8.421947583769906e-09,2.6447737333512573e-09,8.802658602036216e-10,2.3480689614885364e-10,4.5133546205944335e-11,3.802295717864057e-12,4.596464701911439e-12,4.928162045114704e-12,5.879646162304519e-12,6.359949025758205e-12,5.954630885596224e-12,5.500806407598979e-12,2.9604526295690103e-12,5.423318586751659e-13,1.333100438117981,11.88750457763672,39.63402938842773,53.480506896972656,45.22040939331055,30.312274932861328,13.33238410949707,4.346072673797607,4.5342929411162913e-08,1.991212172924861e-08,2.4933553888217833e-08,3.777435964025244e-08,2.1506778580260292e-08,2.5302899331336448e-08,2.7819313075383437e-08,4.5205130305703285e-08,33.37582015991211,17.150785446166992,21.093738555908203,28.168418884277344,17.76231575012207,18.75452423095703,19.513032913208008,30.28721809387207,1,0.0026232623203015,0.0090685202022656,0.0175916657984592,0.0255523281609942,0.0349457597508739,0.0464174332349391,0.0631246193132612,0.0064454112125433,0.0149690942652442,0.0229306028895447,0.0323254607668115,0.0437995041658004,0.0605113772192784,0.0085245055137692,0.016487628501751,0.025885442809245,0.0373646412087551,0.0540870610806571,0.0079642423533252,0.0173647690158248,0.0288493246402202,0.0455835725773093,0.0094018269091073,0.0208898820091301,0.0376329924536059,0.0114903118323673,0.0282411577993527,0.0167562833760753
231,1.2385692471639231e-09,2.061531612085332e-09,1.0088668789265398e-09,5.424781179819148e-10,2.0812572498751789e-10,7.12348444120714e-11,6.580863892019506e-12,3.4540924807868745e-13,3.25487006054212e-13,1.535005954809987e-12,2.5378217322763463e-12,3.832538886944237e-12,5.011945285876562e-12,4.7790569245032e-12,9.596593268310085e-13,0.1204954460263252,0.9111019372940063,16.03195571899414,34.554813385009766,42.43357849121094,33.20395278930664,23.481245040893555,5.5870232582092285,4.879447068617537e-09,4.175278345286415e-09,2.500889495493652e-09,3.978372742352576e-09,4.6116910290550095e-09,4.802890085642275e-09,5.949107428904199e-09,6.489825565836327e-09,15.872424125671388,14.879060745239258,11.070219039916992,16.368112564086914,15.965508460998535,14.13477611541748,17.311790466308594,20.348953247070312,1,0.0037074304077031,1.651798738388064e-05,0.0051857641610285,0.0096305630449416,0.016416235848885,0.023901054366064,0.040127815536314,-0.0036909126463481,0.0014783621761092,0.0059233441281216,0.0127095789722377,0.0201954135041584,0.0364258042349747,0.005169246616434,0.0096140465869364,0.0163997223085019,0.0238845458082347,0.0401113241359492,0.0044450208763841,0.0112314278274785,0.0187176101635536,0.0349493240985338,0.0067867457721231,0.0142737768678018,0.0305090428164501,0.0074877564533269,0.0237272099320181,0.0162423391506383
241,2.472900328953642e-09,1.4582363094817195e-09,5.212394960096843e-10,2.2774197805386362e-10,5.373914854778228e-11,3.363030340319817e-11,5.0372835243284175e-12,4.075377188494933e-12,6.014440247920083e-13,1.0157348052930448e-12,1.2677274594669052e-12,1.5863371814056617e-12,1.3070112483623553e-12,2.3425191907761045e-12,9.428586383863902e-13,0.9574142694473268,1.4740278720855713,8.89587688446045,16.038732528686523,19.39131736755371,11.4736328125,11.953656196594238,3.780408143997192,2.786636033036416e-09,4.660094088393407e-09,8.090462522147845e-09,4.4680685817866114e-09,4.484836502172129e-09,4.199200986931828e-09,7.877279273316162e-09,7.313359251526208e-09,5.415599346160889,5.868809223175049,9.173885345458984,6.450067043304443,4.928571701049805,5.233427047729492,10.008343696594238,9.770223617553713,1,0.0172504769237802,0.0210848500037323,0.0284683014599107,0.0343303800331898,0.0443866558952178,0.0476058320757611,0.060426470548794,0.0038357682398393,0.0112233362242651,0.0170900240853472,0.0271569728206586,0.0303803041658557,0.0432210466145243,0.0073878860337812,0.0132551247636271,0.0233236341537327,0.0265476295692307,0.0393918089818946,0.005867813349264,0.0159384945194138,0.019163502089628,0.0320132395113585,0.0100716231097465,0.0132971839801584,0.0261503384433955,0.0032259929090136,0.0160829512026821,0.0128576253921023
319,5.7746060377894544e-08,2.1777593062211054e-08,6.375509897793563e-09,1.9466435130510717e-09,4.232235117918037e-10,8.438452020476106e-11,3.3875181305875746e-12,1.0432985204922307e-11,1.4131071313094878e-11,1.5039674367001155e-11,1.519359117685415e-11,1.302790774565521e-11,9.826902312715102e-12,5.477338201054227e-12,4.688614405577718e-13,3.4311702251434326,27.48226547241211,74.99040985107422,95.58059692382812,78.66738891601562,45.18856048583984,22.04771041870117,2.6394312381744385,5.947110182091819e-08,9.544933732286155e-08,8.392519390554298e-08,1.0171052622354183e-07,4.511368700832463e-08,5.406718628364615e-08,1.0758303403690661e-07,8.013195440526033e-08,35.3862419128418,49.38498306274414,43.530460357666016,51.34899520874024,26.01606559753418,29.223838806152344,48.981971740722656,42.636695861816406,1,0.0008319610487073,0.0082285470263006,0.0173915404770873,0.026081503859614,0.0370355783255379,0.0483463590023829,0.0701245907074926,0.0073966366137147,0.0165598190337968,0.0252500907074563,0.0362047328227998,0.0475163091683257,0.0692966724909675,0.0091643049279679,0.0178567891302745,0.0288158128893389,0.0401337780072318,0.0619317797730432,0.008693906917231,0.0196566988413879,0.030980867786037,0.0527974406510162,0.010964665714367,0.0222929653626737,0.0441237872596396,0.0113310693572591,0.0331751717788833,0.0218523169298479
336,4.040592749277039e-09,3.2169327202069553e-09,1.0672051020677031e-09,3.204984611038242e-10,6.094352106300605e-11,1.2845651625736919e-11,2.093233138905637e-12,3.162172563728194e-12,1.0205580954977809e-12,2.274721860526241e-12,2.563412589834391e-12,2.1355144215473576e-12,1.394164189476299e-12,8.089870461892856e-13,2.550737941177384e-13,0.765021026134491,2.231395483016968,17.369630813598633,27.08981132507324,23.328149795532227,12.042716026306152,6.336855411529541,2.2916221618652344,1.1565729707285756e-08,1.113755043746778e-08,5.851230611142455e-09,7.474814545105346e-09,1.053990938970628e-08,9.225920472033522e-09,6.164691868093541e-09,1.2074576005716152e-08,13.130330085754396,12.012738227844238,7.3351969718933105,7.876723766326904,11.436932563781738,8.946280479431152,7.108401775360107,12.683781623840332,1,0.0115758244356458,0.0132467016252178,0.0212548743049396,0.0298386580960382,0.0414392844432674,0.0520708225010484,0.064165961190335,0.0016711334436682,0.0096814319148777,0.0182691439518308,0.0298777922017321,0.0405194216613851,0.0526292283719792,0.0080104280716421,0.01659851726384,0.0282080671805896,0.0388509189440032,0.0509625771105965,0.0085892312269348,0.0202022039725566,0.0308500918063017,0.0429696906442101,0.0116149881946483,0.0222667607938428,0.034393153125593,0.0106545281602481,0.0227872678991148,0.0121356861328257
