,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,ASSOC_PROB_BAY,Flux_Band_0,Flux_Band_1,Flux_Band_2,Flux_Band_3,Flux_Band_4,Flux_Band_5,Flux_Band_6,Flux_Band_7,nuFnu_Band_0,nuFnu_Band_1,nuFnu_Band_2,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,0.6666667,1.1714555,1204.7332,51.74239,0.42913482,0.99701446,1.6641469018779942e-12,7.134548951626129e-09,1.754761780325964e-09,4.705167366836348e-10,1.8661364120653443e-10,3.176632221157938e-11,1.3646062578531735e-11,1.204808822152792e-12,2.657328967482932e-16,1.7007004528626912e-12,1.1932397344510681e-12,1.1215958717336605e-12,1.268974508805698e-12,7.572307039217796e-13,9.27933619700172e-13,2.0750411209181227e-13,7.274647235870361,13.80430793762207,15.694496154785156,9.207560539245604,8.462245126850121e-09,4.010725529468573e-09,7.011441205406754e-09,1.6325239826642246e-08,9.845726012258638e-09,1.0745679013268727e-08,1.0052349175282416e-08,1.0390269977733624e-08,7.926063060760498,2.93457293510437,5.890345573425293,10.227452278137209,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1
10,0.6666667,3.30757,252.898,10.370596,0.0,0.9966394,4.485441351675945e-09,7.976950350263579e-11,1.9813255203171562e-10,1.4200557396648603e-10,6.530654489411701e-11,3.4221975947490435e-11,5.156945183382167e-12,4.6137626556590617e-17,7.668803743074437e-13,2.1918952791038015e-14,1.530188736137417e-13,3.628823316056268e-13,4.618039891463033e-13,8.126891629274546e-13,3.346411960470503e-13,5.7589583968182056e-18,2.20024847984314,7.433576107025146,9.004082679748535,11.812331199645996,4.970169276141688e-10,5.986813822467241e-10,5.006560166442853e-10,3.9204617330312885e-10,1.0311322906630947e-09,8.404326123923055e-10,4.227507788279184e-10,2.305279300784946e-10,4.456632137298584,5.560203075408936,3.472792148590088,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1
25,0.6666667,2.5313535,443.74994,7.8673267,0.0,0.9983225,4.825205447873959e-13,4.163881184293672e-10,8.47016790039845e-10,2.3110949265436886e-10,6.113273082197779e-11,1.4597182837472467e-11,4.194125328232541e-17,2.4806047971214253e-19,8.008470199673814e-17,1.0634423436252025e-13,5.995582719534043e-13,5.500408613821894e-13,3.9833498370438203e-13,3.24841201030171e-13,2.5338248222512632e-18,2.6907217589656792e-20,5.952898979187012,8.622973442077637,7.773077487945557,5.428980350494385,2.710788926663099e-09,2.1062245281200376e-09,3.3989180359128572e-09,1.2288032813501102e-09,2.529296994069341e-09,3.6268710257303374e-09,2.785783159708899e-09,2.2864077298123675e-09,5.38886022567749,3.7387537956237793,5.641364097595215,1.8127769231796265,3.1141810417175293,4.748802185058594,3.766370058059693,2.456795215606689,1
27,0.6666667,2.6698763,128.64413,19.498081,0.45170566,0.9922678,8.125716988161003e-09,6.138179547976462e-11,8.006477425492875e-11,1.1003809669007936e-10,5.2303616299154137e-11,5.052307530672984e-12,9.772310998606981e-13,3.3443505088581987e-16,1.4085275914371698e-12,1.7751811576694615e-14,6.345672007605428e-14,2.7815076630854923e-13,3.511881540782525e-13,1.1160539994340553e-13,5.669376846781891e-14,3.1972946042563174e-17,0.6458173990249634,4.429816722869873,5.969969749450684,2.2220606803894043,8.7372126200691e-10,5.451517570698171e-10,1.9433825382275669e-10,1.058152454547212e-09,1.4342883825069208e-10,6.58753329663142e-10,2.0525713073649143e-11,2.2980510550052455e-10,4.28385066986084,2.6477036476135254,1.020641565322876,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1
29,0.6666667,2.3143551,1429.9028,189.31395,0.84219086,0.9971799,1.1490132401092978e-08,7.885990527256581e-09,1.928038173559798e-09,3.7728900559308437e-10,8.256508671200534e-11,6.464178151088795e-12,1.4485946079820233e-12,1.4707516343449299e-18,1.8435903845204216e-12,1.875935604772616e-12,1.2803989639376125e-12,8.66430787792999e-13,5.262500504810141e-13,1.435084147870247e-13,8.881460291602222e-14,1.7304804530247163e-19,13.424991607666016,14.294793128967283,11.392122268676758,3.2081198692321777,2.13528501546989e-08,2.6846961986848328e-08,1.271881622244564e-08,4.310964918374793e-09,4.1125778338368946e-09,6.132644614353921e-09,4.262852737468847e-09,3.1279605572365203e-09,11.698710441589355,15.035205841064451,7.581436157226562,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2
33,0.6666667,3.018605,1663.9377,55.450825,0.44942507,0.9926908,1.075582733989222e-08,1.0853282716993816e-08,2.740164317671656e-09,3.0915936477526884e-10,4.3080046474575084e-11,3.017813321286311e-13,1.4395116489072468e-17,3.4617713511438325e-15,1.7300761517846652e-12,2.559172708818669e-12,1.7617384330884114e-12,6.79159094414683e-13,2.560029282745041e-13,6.225931025610233e-15,8.004585428645021e-19,3.3050579739240523e-16,12.255585670471191,8.524917602539062,4.627848148345947,0.1044475734233856,2.2438566560367693e-08,2.8825931863707414e-08,1.0918895121392325e-08,1.4389440750051108e-08,2.020274969538605e-08,2.1927581528302653e-08,6.881066827446602e-09,1.3376591390112937e-08,7.254715442657471,9.000970840454102,3.669628381729126,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2
36,0.6666667,2.056351,170.25885,6.389583,0.0,0.99729097,1.7511386785074023e-10,2.5689554650210056e-12,2.2095304752500766e-10,1.4178498652928084e-10,3.816663651790009e-11,7.749414825120038e-12,9.696221893694555e-18,4.3793472801231704e-17,3.01450860530194e-14,7.069169159381716e-16,1.667626269279826e-13,3.48032285499636e-13,2.512244427245458e-13,1.703987970690102e-13,5.661031792820503e-19,4.301498003953354e-18,1.8191866874694824,5.661280155181885,4.4986772537231445,3.0741238594055176,8.011819541131614e-10,9.067107620275293e-10,7.321351302991275e-10,5.422297610913063e-10,6.416066566927724e-10,7.584726180454027e-10,2.5675556125648313e-10,3.8875730412613047e-10,3.1751046180725098,2.45924711227417,2.503028392791748,2.704267978668213,1.989346265792847,2.370849370956421,0.8851558566093445,1.48737895488739,1
43,0.6666667,5.930168,3068.6738,8.622466,0.0,0.99995524,1.1556987311589495e-10,7.883069308434187e-09,4.124681485251358e-09,1.3565267797943648e-09,5.228318333827531e-10,1.34445801713845e-10,2.024154108215548e-11,3.572326250238141e-16,1.8993922713404953e-14,1.987119019677963e-12,2.925669905992634e-12,3.2815581849088282e-12,3.531571953277468e-12,3.1238635810060256e-12,1.304316247022208e-12,4.689662432561213e-17,19.877609252929688,32.45869064331055,33.643577575683594,23.774463653564453,1.3599532167063444e-08,1.379623792985285e-08,1.3729605008450108e-08,1.6169472871752077e-08,1.4109819979069016e-08,1.2103127389195834e-08,1.3119593411659023e-08,1.1420926426808364e-08,13.96302890777588,15.81075668334961,16.229990005493164,16.866806030273438,16.388710021972656,12.71303367614746,12.823637008666992,13.432530403137209,1
51,0.6666667,0.73409694,1046.3073,15.371203,0.10027631,0.9931449,5.3559750384790654e-11,4.173066781021362e-09,1.8852488459231154e-09,3.484759980576513e-10,9.997080246959555e-11,2.7911948793923888e-11,8.704354077793129e-12,8.692232914133419e-17,8.505987018523568e-15,9.814643672431678e-13,1.2615452302591756e-12,8.195813277177277e-13,6.689710634402712e-13,6.564616471943507e-13,5.824662041749308e-13,1.4185548626520936e-17,9.197226524353027,9.66993808746338,9.12524127960205,7.649401664733887,1.0642985159847742e-08,8.418250985187115e-09,4.580101187201535e-09,7.334358009813968e-09,9.82436354490801e-09,6.4063616633802675e-09,3.489175837145808e-09,5.857459850489022e-09,7.171100616455078,4.930606842041016,2.724871635437012,5.258607864379883,6.629829406738281,3.984715461730957,2.3340721130371094,3.61891770362854,1
53,0.6666667,5.376152,3737.4302,234.30939,0.4184122,0.9999694,2.100898655044148e-08,1.1584708303757908e-08,4.917007245808236e-09,1.6176625594610528e-09,5.58495527602787e-10,1.4153647698300628e-10,4.106368717282649e-11,1.2201247024984548e-15,3.4272161931331317e-12,2.87958264004462e-12,3.4542655194536028e-12,3.905121451902582e-12,3.789451825247925e-12,3.3198172943310626e-12,2.6932889512359948e-12,1.7284106982395984e-16,23.78883552551269,36.38135147094727,37.597633361816406,25.73203659057617,1.3550637945058952e-08,2.129862863853305e-08,3.5600649539446756e-08,2.5779440804285517e-08,1.4537035575301616e-08,1.0230736258165509e-08,2.1653105974905884e-08,1.7743294833394433e-08,13.544907569885254,20.69502830505371,30.20393180847168,24.92598342895508,15.618504524230955,9.753605842590332,17.069082260131836,17.461933135986328,1
