,nuFnu_Band_3,nuFnu_Band_4,nuFnu_Band_5,nuFnu_Band_6,nuFnu_Band_7,Sqrt_TS_Band_2,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,1.1215958717336605e-12,1.268974508805698e-12,7.572307039217796e-13,9.27933619700172e-13,2.0750411209181227e-13,7.274647235870361,13.80430793762207,15.694496154785156,9.207560539245604,8.462245126850121e-09,4.010725529468573e-09,7.011441205406754e-09,1.6325239826642246e-08,9.845726012258638e-09,1.0745679013268727e-08,1.0052349175282416e-08,1.0390269977733624e-08,7.926063060760498,2.93457293510437,5.890345573425293,10.227452278137209,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1
10,3.628823316056268e-13,4.618039891463033e-13,8.126891629274546e-13,3.346411960470503e-13,5.7589583968182056e-18,2.20024847984314,7.433576107025146,9.004082679748535,11.812331199645996,4.970169276141688e-10,5.986813822467241e-10,5.006560166442853e-10,3.9204617330312885e-10,1.0311322906630947e-09,8.404326123923055e-10,4.227507788279184e-10,2.305279300784946e-10,4.456632137298584,5.560203075408936,3.472792148590088,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1
25,5.500408613821894e-13,3.9833498370438203e-13,3.24841201030171e-13,2.5338248222512632e-18,2.6907217589656792e-20,5.952898979187012,8.622973442077637,7.773077487945557,5.428980350494385,2.710788926663099e-09,2.1062245281200376e-09,3.3989180359128572e-09,1.2288032813501102e-09,2.529296994069341e-09,3.6268710257303374e-09,2.785783159708899e-09,2.2864077298123675e-09,5.38886022567749,3.7387537956237793,5.641364097595215,1.8127769231796265,3.1141810417175293,4.748802185058594,3.766370058059693,2.456795215606689,1
27,2.7815076630854923e-13,3.511881540782525e-13,1.1160539994340553e-13,5.669376846781891e-14,3.1972946042563174e-17,0.6458173990249634,4.429816722869873,5.969969749450684,2.2220606803894043,8.7372126200691e-10,5.451517570698171e-10,1.9433825382275669e-10,1.058152454547212e-09,1.4342883825069208e-10,6.58753329663142e-10,2.0525713073649143e-11,2.2980510550052455e-10,4.28385066986084,2.6477036476135254,1.020641565322876,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1
29,8.66430787792999e-13,5.262500504810141e-13,1.435084147870247e-13,8.881460291602222e-14,1.7304804530247163e-19,13.424991607666016,14.294793128967283,11.392122268676758,3.2081198692321777,2.13528501546989e-08,2.6846961986848328e-08,1.271881622244564e-08,4.310964918374793e-09,4.1125778338368946e-09,6.132644614353921e-09,4.262852737468847e-09,3.1279605572365203e-09,11.698710441589355,15.035205841064451,7.581436157226562,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2
33,6.79159094414683e-13,2.560029282745041e-13,6.225931025610233e-15,8.004585428645021e-19,3.3050579739240523e-16,12.255585670471191,8.524917602539062,4.627848148345947,0.1044475734233856,2.2438566560367693e-08,2.8825931863707414e-08,1.0918895121392325e-08,1.4389440750051108e-08,2.020274969538605e-08,2.1927581528302653e-08,6.881066827446602e-09,1.3376591390112937e-08,7.254715442657471,9.000970840454102,3.669628381729126,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2
36,3.48032285499636e-13,2.512244427245458e-13,1.703987970690102e-13,5.661031792820503e-19,4.301498003953354e-18,1.8191866874694824,5.661280155181885,4.4986772537231445,3.0741238594055176,8.011819541131614e-10,9.067107620275293e-10,7.321351302991275e-10,5.422297610913063e-10,6.416066566927724e-10,7.584726180454027e-10,2.5675556125648313e-10,3.8875730412613047e-10,3.1751046180725098,2.45924711227417,2.503028392791748,2.704267978668213,1.989346265792847,2.370849370956421,0.8851558566093445,1.48737895488739,1
43,3.2815581849088282e-12,3.531571953277468e-12,3.1238635810060256e-12,1.304316247022208e-12,4.689662432561213e-17,19.877609252929688,32.45869064331055,33.643577575683594,23.774463653564453,1.3599532167063444e-08,1.379623792985285e-08,1.3729605008450108e-08,1.6169472871752077e-08,1.4109819979069016e-08,1.2103127389195834e-08,1.3119593411659023e-08,1.1420926426808364e-08,13.96302890777588,15.81075668334961,16.229990005493164,16.866806030273438,16.388710021972656,12.71303367614746,12.823637008666992,13.432530403137209,1
51,8.195813277177277e-13,6.689710634402712e-13,6.564616471943507e-13,5.824662041749308e-13,1.4185548626520936e-17,9.197226524353027,9.66993808746338,9.12524127960205,7.649401664733887,1.0642985159847742e-08,8.418250985187115e-09,4.580101187201535e-09,7.334358009813968e-09,9.82436354490801e-09,6.4063616633802675e-09,3.489175837145808e-09,5.857459850489022e-09,7.171100616455078,4.930606842041016,2.724871635437012,5.258607864379883,6.629829406738281,3.984715461730957,2.3340721130371094,3.61891770362854,1
53,3.905121451902582e-12,3.789451825247925e-12,3.3198172943310626e-12,2.6932889512359948e-12,1.7284106982395984e-16,23.78883552551269,36.38135147094727,37.597633361816406,25.73203659057617,1.3550637945058952e-08,2.129862863853305e-08,3.5600649539446756e-08,2.5779440804285517e-08,1.4537035575301616e-08,1.0230736258165509e-08,2.1653105974905884e-08,1.7743294833394433e-08,13.544907569885254,20.69502830505371,30.20393180847168,24.92598342895508,15.618504524230955,9.753605842590332,17.069082260131836,17.461933135986328,1
56,3.743975073543238e-13,3.193250243220536e-13,5.213476135176864e-13,2.23751892474451e-17,8.337644133047871e-14,6.325277328491211,7.066077709197998,7.244300842285156,7.96327018737793,4.320147795056073e-09,1.001172922343585e-09,1.5791967733491672e-09,2.9153008895832504e-09,1.8338731644362838e-09,2.125939646546726e-09,3.9905621029845414e-09,5.4392677029113665e-09,4.167725086212158,1.043492078781128,2.5543947219848637,2.503706693649292,3.371030330657959,1.97373366355896,5.154350757598877,6.268725395202637,1
63,1.0234081377485937e-12,3.387820894044241e-13,1.8580493046926885e-13,8.289546833563824e-17,2.415406597015876e-17,16.173593521118164,15.79846477508545,6.9353861808776855,3.4591000080108643,6.4078906625297805e-09,8.655734795581793e-09,3.8048528772094414e-09,1.68248237564228e-09,4.728804015030619e-09,2.7961595705505715e-08,5.060291297098729e-09,7.309870042604416e-09,4.136449813842773,5.624584674835205,2.5602357387542725,1.0772420167922974,3.5433239936828613,13.072406768798828,3.3159334659576416,4.355351448059082,2
66,1.5799453759179904e-12,9.60043025979851e-13,3.373710815920972e-13,1.3011886870787823e-17,3.3253160241721695e-17,16.09140968322754,18.050365447998047,13.137290000915527,4.875324249267578,8.165211617949808e-09,4.420286359163583e-09,7.089047127095682e-09,6.629641280397891e-09,6.460651569284437e-09,3.1721782978166853e-09,6.498899640661193e-09,2.791427888837461e-08,5.122156143188477,2.87180233001709,4.133991718292236,3.721485376358032,3.5739121437072754,2.0348989963531494,3.0227580070495605,13.283230781555176,2
71,1.0464153415296053e-12,7.276501449993146e-13,7.576354908028772e-13,2.20479952112336e-13,4.8736757081407794e-17,8.768838882446289,16.20920753479004,13.918729782104492,9.735551834106444,3.868954934205249e-09,2.191997694467318e-09,4.183605906149523e-09,3.476068544117083e-09,3.3164295754062323e-09,3.0490339142374982e-09,2.8789146622187904e-09,7.647361077722791e-10,7.175302028656006,4.558605670928955,7.263364315032959,7.470542430877685,6.464919090270996,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,1.1317163840177809e-13,6.027132460652286e-13,6.869513638485536e-13,5.538252148551416e-13,4.867515353453035e-13,0.5168619155883789,1.157833218574524,7.577753067016602,7.8331427574157715,3.6815531179179567e-10,3.9901795756414055e-10,2.3661944625885667e-10,4.131550379593562e-10,7.7797263076107e-10,2.997788961511816e-10,6.467470448079381e-10,6.987762452004276e-11,4.537841320037842,4.398229122161865,2.7850067615509038,2.8410532474517822,5.669565677642822,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,4.903153620963718e-13,4.1731841506770234e-13,2.4156178901786623e-13,2.1734958938982726e-13,2.322175654892456e-13,3.740884780883789,7.594604969024658,7.6678147315979,3.933382511138916,1.8996906270274394e-09,1.6933459079382372e-09,9.364060638006322e-10,2.154853850910854e-09,2.2310573388750754e-09,5.081794984818089e-09,5.9497633486671475e-09,5.025516891521421e-09,2.225821256637573,1.5154026746749878,2.4976353645324707,2.3338844776153564,1.716433882713318,5.015048027038574,3.43339467048645,3.956046581268311,1
86,7.974593750105509e-13,6.67722848584143e-14,4.315115837349656e-14,1.5915734189657277e-17,4.414870716965382e-16,14.532487869262695,11.55290412902832,1.5183658599853516,1.8422467708587649,1.9834903497439882e-08,2.145610444870272e-08,1.0650642146003976e-08,4.946239329228774e-08,2.2645627595352383e-08,3.620302280182841e-08,2.5663053904168013e-08,1.6561953586347045e-08,7.334071159362793,6.90681791305542,3.5051581859588623,14.403483390808104,6.800592422485352,9.707684516906738,7.029223442077637,4.943854331970215,2
91,1.6409956076282597e-12,5.520695120671272e-13,4.3189315513704484e-13,8.234533367128637e-18,5.894046999733527e-17,18.010082244873047,19.127695083618164,9.40089988708496,5.037833213806152,5.163445493394647e-08,2.0368965181205567e-08,8.144316332447943e-09,4.183994484208142e-09,6.304649957655785e-08,2.28705481220004e-08,7.279961966588644e-09,1.0956713758503156e-08,17.431947708129883,7.084841251373291,3.0785300731658936,1.7449225187301636,16.766769409179688,6.63329553604126,2.477539539337158,3.7521042823791504,2
92,4.1593998753065853e-13,4.682015409054885e-13,1.8924195977626515e-13,2.845064949689308e-13,3.424029111496288e-17,3.982323408126831,6.255339622497559,7.249130725860596,2.706051826477051,4.565706479553455e-09,6.128434204555333e-09,7.453382799837982e-09,4.098191563883802e-09,1.1557316215160539e-10,3.319284624936358e-09,4.749948434579211e-09,1.0674658934561876e-09,3.659635066986084,3.960955619812012,4.477304935455322,2.436774730682373,0.0730950385332107,2.1406478881835938,2.9177844524383545,0.6113335490226746,1
93,3.1050314229508214e-13,6.3121740907085e-13,5.354423501802152e-13,1.4942877664403389e-12,2.312424882654207e-13,1.648910403251648,5.304098129272461,10.578940391540527,6.120524883270264,5.85186787915859e-10,5.325957452839701e-10,2.9275076807167006e-10,5.564658733803185e-10,5.811169878633392e-10,1.2899338264205083e-09,6.379973771508674e-10,6.583515399505301e-10,4.808710098266602,4.205391883850098,2.90747594833374,3.650517225265503,4.440628528594971,7.267683506011963,3.5743134021759038,4.622641086578369,1
97,9.103270437807454e-13,9.198944774316264e-13,1.2261841932439954e-12,4.694607333086133e-13,6.13827145003447e-20,8.075002670288086,11.30348014831543,13.572010040283203,11.98338222503662,9.618553065138258e-09,8.347391222685019e-09,6.112526929058504e-09,3.781351232134966e-09,4.542288767339642e-09,4.246703433352651e-09,9.340305417993022e-09,5.601144881239861e-09,6.986962795257568,6.457553863525391,5.207557201385498,4.100876808166504,4.672120094299316,3.3177270889282227,6.9904303550720215,5.53944730758667,1
98,1.390448520210974e-12,8.062163675374989e-13,8.31119976443459e-14,6.4604914181601184e-21,7.579686736214295e-18,10.329106330871582,11.645641326904297,11.26883316040039,1.6650129556655884,7.637307675167904e-09,5.0177870747347705e-09,7.272195290397576e-09,1.2530391835241517e-08,5.5190209735656026e-08,7.804963786384178e-08,2.77770038081826e-08,1.1192330617859625e-07,1.3763006925582886,1.1762586832046509,1.5272835493087769,2.78725528717041,11.370338439941406,14.242473602294922,5.614087104797363,20.67206573486328,2
103,1.2799801366383812e-12,9.970850100432529e-13,6.025413458107809e-13,5.852886534804537e-13,5.904474019775185e-20,13.652597427368164,18.66007804870605,15.994759559631348,8.150163650512695,8.824224906334166e-09,6.370727057003478e-09,2.9343285579130907e-09,4.3627181867123e-09,1.008624739284869e-08,9.69632729663772e-09,3.916252211411121e-09,5.882468734341728e-09,9.331605911254885,7.826315879821777,3.7784054279327393,5.585066795349121,11.814963340759276,9.055933952331545,4.362545967102051,6.219923496246338,1
106,9.54732603739017e-13,9.217444515985385e-13,9.830577107558525e-13,1.045923113743297e-12,5.642786347209674e-24,10.156049728393556,15.561504364013672,15.412516593933104,10.599167823791504,7.898449005949715e-09,4.223136063075117e-09,7.496563370068543e-09,1.0391762117478722e-08,3.9912229077287975e-09,3.2320146559072782e-09,5.17274889588748e-09,7.700661441845114e-09,6.82266902923584,5.512340545654297,9.640317916870115,11.998406410217283,5.976746559143066,4.596645832061768,6.723860740661621,8.833015441894531,1
109,1.3915662242305893e-12,1.7542191657615724e-12,9.607080755924537e-13,1.0681828685465966e-12,8.534101127303902e-17,8.347193717956543,18.49596405029297,21.22818374633789,11.016844749450684,5.093480748286083e-09,3.767008482924439e-09,5.261151070357073e-09,4.824336929942774e-09,4.448948320856516e-09,3.7672815977884966e-09,5.044338724502495e-09,5.703616690055924e-09,11.443700790405272,8.445005416870117,9.587121963500977,8.887864112854004,8.190947532653809,6.1959228515625,8.59351921081543,10.100519180297852,1
110,4.1428900240947356e-12,3.234773560123472e-12,2.644271737337056e-12,9.089266882547633e-13,2.351609575471092e-13,29.756593704223636,38.69401550292969,30.83182144165039,19.22950935363769,1.6929149637689992e-08,2.922721087372793e-08,2.59329766549854e-08,2.3448357922006835e-08,2.645761831843174e-08,2.161872814099297e-08,1.7891927939217567e-08,1.2529046244935673e-08,13.584309577941896,19.020496368408203,16.458723068237305,15.35281467437744,17.261096954345703,12.694360733032228,11.725784301757812,8.603357315063477,1
115,1.3397671643974873e-12,5.649061405287037e-13,1.379589801772663e-13,6.814949266801401e-14,4.368813135022307e-18,13.81239414215088,17.021020889282227,9.45293426513672,2.502138376235962,9.555045643594441e-09,9.752373131277636e-09,5.3918696174548594e-09,2.7491162679638133e-09,7.817805958154622e-09,4.5865893305574446e-09,6.029091448311874e-09,1.78862578081862e-08,4.835493087768555,4.857985019683838,2.923567295074463,1.3555742502212524,4.150330066680908,2.377819061279297,2.977622985839844,8.672806739807129,2
134,8.102534268528139e-12,5.063831732404767e-12,2.739791683456505e-12,1.0328375524629174e-12,1.3834335183056435e-17,50.28251647949219,59.01591491699219,40.94584655761719,19.61470603942871,3.1974021208469594e-09,4.4092085538238734e-09,6.969087529284934e-09,1.0341465461749522e-08,8.650806293530877e-09,4.105864981340801e-09,9.575223280933189e-09,1.4449689444973046e-08,2.398178577423096,3.576186418533325,4.453792095184326,6.380953788757324,5.623734474182129,3.116206169128418,5.27921199798584,8.443225860595703,2
137,7.017319125952881e-13,6.860830805387186e-13,1.6210959712190806e-13,1.3197006421689086e-13,2.5654610975127113e-16,7.759798049926758,11.73432731628418,12.75403118133545,3.3789803981781006,1.38892142231839e-08,1.286246664733426e-08,1.3159435319209932e-08,1.5732959823822057e-08,1.3337862370121913e-08,9.282928203901974e-09,6.04068306486738e-09,4.6336081638287405e-09,6.561976432800293,7.366940498352051,8.237859725952148,9.477987289428713,8.258633613586426,5.574066638946533,4.520751476287842,3.142708778381348,1
142,2.5833603919250825e-12,1.2852607433194718e-12,2.9493754986030523e-13,3.960918236196181e-13,1.9360024593949684e-16,32.568965911865234,32.72935485839844,20.199451446533203,5.044086933135986,1.9369837289673345e-08,3.0808326556552856e-08,3.3411957645057555e-08,4.1839495423801054e-08,1.5904042527381534e-08,1.4225988387295274e-08,3.176317875386303e-08,3.3351735595488214e-08,9.59822940826416,14.04289436340332,15.665538787841797,18.1743106842041,7.844264507293701,6.953935623168945,12.818276405334473,14.9208984375,2
144,3.269262681751539e-12,1.968079995848249e-12,3.722844244252038e-13,1.3451439481360233e-18,1.4315631049651025e-17,32.927513122558594,32.6626091003418,23.226974487304688,6.11629056930542,9.7880337168732e-10,6.144203812397109e-09,1.2745870137109705e-08,4.637747608171595e-08,4.109611140279412e-08,5.658508683836772e-08,1.1228286211917293e-07,2.7530033364087103e-08,0.5563573837280273,3.2222647666931152,6.603086471557617,17.58612632751465,15.88700008392334,18.844993591308597,32.61647415161133,12.01430606842041,2
153,3.053593890332135e-13,1.222440795508109e-13,2.8273095805742343e-14,1.2207452388356133e-13,7.805715658391756e-17,3.7975566387176514,5.438086986541748,3.0103201866149902,0.7117025256156921,3.3273452881843472e-09,4.031373013191342e-09,9.362953079516956e-09,4.236408557289906e-09,2.1903741043161062e-09,5.875221642526185e-09,3.2821376727554244e-09,1.8989263494972874e-09,2.8502397537231445,2.982509136199951,5.314269542694092,2.292194604873657,1.5177539587020874,3.284684181213379,2.096736192703247,1.0997294187545776,1
156,3.613032399304994e-12,5.200088189910579e-12,7.134887299031778e-12,6.197924552059364e-12,1.6631982249770694e-12,23.63853073120117,39.78407669067383,44.34627151489258,35.83063507080078,1.1177938574746804e-08,1.489697254442035e-08,9.046338789175934e-09,1.2733495147188025e-08,8.831392506181146e-09,8.798974882040511e-09,1.1593503934648196e-08,1.0641229231111993e-08,23.375333786010746,27.35698127746582,22.260047912597656,25.588891983032227,17.513273239135742,17.437166213989258,21.450035095214844,20.847644805908203,1
162,1.6231148369794113e-12,2.167116746470965e-12,2.3287088403434186e-12,2.127626417061657e-12,2.347645190227399e-13,7.686361312866211,18.70794486999512,22.319095611572266,17.53861427307129,4.7697992222595084e-09,4.189515845354208e-09,3.288106453780415e-09,1.910644975566811e-09,3.5066725079246903e-09,3.886231336736046e-09,3.6947376269580445e-09,7.297456416921477e-09,12.857234954833984,11.371782302856444,8.343411445617676,6.2177581787109375,8.353376388549805,8.061002731323242,9.434898376464844,14.802051544189451,1
166,3.6351724581884523e-12,5.692413120733653e-12,8.270359223849777e-12,7.739629249992053e-12,7.774952556771629e-12,11.810422897338867,24.63227081298828,39.26375198364258,39.50678253173828,9.667648015465602e-09,6.390440177028722e-09,1.0565248231841906e-08,9.92826443280137e-09,1.3171660206978686e-08,2.2056866555431043e-08,2.3020923833882992e-08,1.6561754634381032e-08,14.89177417755127,13.217275619506836,19.16091728210449,16.77596664428711,23.967300415039062,30.257125854492188,29.487329483032227,25.80697059631348,1
172,3.3283797809882665e-13,1.5227279344127292e-13,1.440342121830987e-13,3.2735861442363314e-19,8.205850879388361e-18,4.092142105102539,5.096271991729736,2.9909634590148926,1.8648914098739624,4.079159232617258e-09,3.6262091107630563e-09,9.751190965801015e-10,6.1869203094033765e-09,2.734754867006472e-09,4.516486740158143e-09,1.536486826658745e-09,6.999224311243779e-09,2.1609344482421875,1.824628472328186,0.4487622082233429,2.802107334136963,1.4043492078781128,1.7166768312454224,0.6162698268890381,3.4201221466064453,1
173,6.207934557037055e-13,7.932282218223174e-13,7.406045720269316e-13,6.384552717238201e-13,3.7524517769387086e-16,5.411375045776367,9.44545078277588,11.302007675170898,9.025218963623049,4.0079868313114275e-09,4.794182384415535e-09,2.9635911502623454e-09,2.918091990267157e-09,3.00181568491098e-09,3.932326020361643e-09,2.7354709608573557e-09,2.517574149152324e-09,5.294439315795898,6.573501110076904,3.4245681762695312,3.7489616870880127,3.775790691375733,5.916896820068359,2.898322820663452,3.987570762634277,1
177,3.38277555923458e-13,4.520962597343026e-13,3.8664874795792125e-13,1.5348242425258785e-13,1.6341884442883092e-12,1.5147720575332642,6.33075761795044,9.039003372192385,4.951462745666504,9.500706887877186e-10,1.7850391165197264e-09,1.2645851032999642e-09,6.80157208332588e-10,1.207238753409001e-09,1.8020198666590655e-09,7.871011620252942e-10,1.959429285491865e-09,2.794707536697388,3.977654218673706,3.447350025177002,2.225236415863037,2.9936864376068115,3.8890373706817623,2.806360006332397,4.946238040924072,1
183,3.479823037794844e-13,1.1746488926944049e-13,1.7796761243513148e-13,3.3472978526423986e-17,1.4139159136040969e-13,3.619615077972412,6.787456512451172,2.794438600540161,3.541619062423706,5.0444231014523674e-09,1.7904832061432783e-09,9.867267891650044e-09,4.165570111069883e-09,4.8061110646813185e-09,3.22190940593714e-10,1.9229371428508557e-09,4.4407872934471015e-09,3.52246356010437,0.938596248626709,6.834932327270508,4.13425350189209,3.52894926071167,0.198959931731224,1.493770718574524,3.610619306564331,1
191,8.928471297801195e-14,2.784846463675661e-13,2.958613172163172e-13,1.2008544657791942e-13,4.079882421216107e-15,4.176877498626709,1.5468002557754517,5.28426456451416,4.829248905181885,2.455140313273318e-09,3.687344873881671e-09,1.350966116753227e-09,1.8886714414634302e-09,2.816105348912856e-09,2.332964488260813e-09,8.215241820153095e-10,5.589411711248714e-10,3.928227424621582,3.3104560375213623,1.456361174583435,3.1309680938720703,3.0915396213531494,1.9577348232269287,0.8682408928871155,0.5320728421211243,1
192,7.972949015409847e-13,5.546982144444268e-13,3.331554324949304e-13,3.400528827707944e-13,9.031729716452385e-19,6.339229583740234,11.2444429397583,9.43740177154541,5.39443826675415,9.11378794654638e-09,7.378934352431088e-09,7.975129001636105e-09,3.2004012773256822e-09,1.2287054929061014e-08,3.864452313706579e-09,4.561778510492331e-09,6.709157229778384e-09,6.170844554901123,4.510665893554688,5.699113368988037,2.408682346343994,7.9687581062316895,2.5550827980041504,2.6167447566986084,3.664552688598633,2
197,3.366767043107288e-13,5.561644352523877e-13,4.4110800624143364e-13,1.38525828178096e-13,2.038817713220569e-19,1.8660210371017456,5.685510158538818,9.30578327178955,5.728861331939697,7.102424204319391e-10,1.1247988651597039e-10,7.523512368656782e-10,1.110727954056756e-09,8.652828453747928e-10,1.1527593324345276e-09,7.25521920319494e-10,8.203326212763429e-11,3.982510566711426,0.5089288353919983,4.436916351318359,4.764906883239746,4.110036849975586,4.889115810394287,3.182312488555908,0.4140607118606567,1
198,4.32939144603961e-12,5.010637304375676e-12,4.466674859843201e-12,3.552623906860619e-12,4.374464657695698e-13,23.6230583190918,37.71302795410156,40.35653305053711,26.96609687805176,1.2821576689248104e-08,1.1254075893418758e-08,1.0444746401105933e-08,5.570547134681192e-09,3.0959466101876394e-08,1.8810256463552832e-08,2.8027795195839644e-08,1.511614478033607e-08,15.125191688537598,13.212446212768556,11.931023597717283,7.239937305450439,29.764217376708984,18.23350715637207,24.3663330078125,16.206640243530273,2
203,1.9387857205094283e-12,2.836748414294932e-12,3.0556720348462467e-12,3.910524248168512e-12,5.105460867439737e-13,11.440289497375488,23.352338790893555,29.36386108398437,22.311622619628903,7.79550823892805e-09,5.1103299369970046e-09,6.247734329889454e-09,4.664235220275259e-09,6.434486721218491e-09,3.887874466812491e-09,2.0460440453007326e-08,4.202915793172224e-09,17.301349639892578,12.094858169555664,13.362317085266112,11.543895721435549,15.600571632385254,9.093117713928224,29.29207420349121,9.55263900756836,1
204,1.5697212410112349e-12,1.6248832791429524e-12,2.1777133048239694e-12,1.7713286349849144e-12,7.059980313035842e-13,9.98167324066162,17.381799697875977,17.133525848388672,16.287622451782227,4.826146593472913e-09,1.2872344967718165e-08,7.396304901874373e-09,1.0622414947647485e-08,7.480169372797718e-09,1.3160843970183578e-08,8.517688776521481e-09,4.3144057215727125e-09,5.842501640319824,11.993749618530272,7.542920589447021,9.274459838867188,8.598308563232422,9.586989402770996,8.897906303405762,4.762943267822266,1
