,Sqrt_TS_Band_3,Sqrt_TS_Band_4,Sqrt_TS_Band_5,Flux_History_0,Flux_History_1,Flux_History_2,Flux_History_3,Flux_History_4,Flux_History_5,Flux_History_6,Flux_History_7,Sqrt_TS_History_0,Sqrt_TS_History_1,Sqrt_TS_History_2,Sqrt_TS_History_3,Sqrt_TS_History_4,Sqrt_TS_History_5,Sqrt_TS_History_6,Sqrt_TS_History_7,CLASS1
4,13.80430793762207,15.694496154785156,9.207560539245604,8.462245126850121e-09,4.010725529468573e-09,7.011441205406754e-09,1.6325239826642246e-08,9.845726012258638e-09,1.0745679013268727e-08,1.0052349175282416e-08,1.0390269977733624e-08,7.926063060760498,2.93457293510437,5.890345573425293,10.227452278137209,7.208447456359863,5.8258562088012695,6.605714797973633,6.771310329437256,1
10,7.433576107025146,9.004082679748535,11.812331199645996,4.970169276141688e-10,5.986813822467241e-10,5.006560166442853e-10,3.9204617330312885e-10,1.0311322906630947e-09,8.404326123923055e-10,4.227507788279184e-10,2.305279300784946e-10,4.456632137298584,5.560203075408936,3.472792148590088,2.2162439823150635,5.653224468231201,6.638916969299316,3.2129881381988525,2.189011812210083,1
25,8.622973442077637,7.773077487945557,5.428980350494385,2.710788926663099e-09,2.1062245281200376e-09,3.3989180359128572e-09,1.2288032813501102e-09,2.529296994069341e-09,3.6268710257303374e-09,2.785783159708899e-09,2.2864077298123675e-09,5.38886022567749,3.7387537956237793,5.641364097595215,1.8127769231796265,3.1141810417175293,4.748802185058594,3.766370058059693,2.456795215606689,1
27,4.429816722869873,5.969969749450684,2.2220606803894043,8.7372126200691e-10,5.451517570698171e-10,1.9433825382275669e-10,1.058152454547212e-09,1.4342883825069208e-10,6.58753329663142e-10,2.0525713073649143e-11,2.2980510550052455e-10,4.28385066986084,2.6477036476135254,1.020641565322876,4.712510585784912,0.9725648164749146,3.4755566120147705,0.097889743745327,0.8141366839408875,1
29,14.294793128967283,11.392122268676758,3.2081198692321777,2.13528501546989e-08,2.6846961986848328e-08,1.271881622244564e-08,4.310964918374793e-09,4.1125778338368946e-09,6.132644614353921e-09,4.262852737468847e-09,3.1279605572365203e-09,11.698710441589355,15.035205841064451,7.581436157226562,3.281045913696289,3.5706677436828613,4.137670516967773,2.7086341381073,2.464151382446289,2
33,8.524917602539062,4.627848148345947,0.1044475734233856,2.2438566560367693e-08,2.8825931863707414e-08,1.0918895121392325e-08,1.4389440750051108e-08,2.020274969538605e-08,2.1927581528302653e-08,6.881066827446602e-09,1.3376591390112937e-08,7.254715442657471,9.000970840454102,3.669628381729126,4.909520626068115,6.549127101898193,6.219092845916748,2.0131313800811768,4.326956748962402,2
36,5.661280155181885,4.4986772537231445,3.0741238594055176,8.011819541131614e-10,9.067107620275293e-10,7.321351302991275e-10,5.422297610913063e-10,6.416066566927724e-10,7.584726180454027e-10,2.5675556125648313e-10,3.8875730412613047e-10,3.1751046180725098,2.45924711227417,2.503028392791748,2.704267978668213,1.989346265792847,2.370849370956421,0.8851558566093445,1.48737895488739,1
43,32.45869064331055,33.643577575683594,23.774463653564453,1.3599532167063444e-08,1.379623792985285e-08,1.3729605008450108e-08,1.6169472871752077e-08,1.4109819979069016e-08,1.2103127389195834e-08,1.3119593411659023e-08,1.1420926426808364e-08,13.96302890777588,15.81075668334961,16.229990005493164,16.866806030273438,16.388710021972656,12.71303367614746,12.823637008666992,13.432530403137209,1
51,9.66993808746338,9.12524127960205,7.649401664733887,1.0642985159847742e-08,8.418250985187115e-09,4.580101187201535e-09,7.334358009813968e-09,9.82436354490801e-09,6.4063616633802675e-09,3.489175837145808e-09,5.857459850489022e-09,7.171100616455078,4.930606842041016,2.724871635437012,5.258607864379883,6.629829406738281,3.984715461730957,2.3340721130371094,3.61891770362854,1
53,36.38135147094727,37.597633361816406,25.73203659057617,1.3550637945058952e-08,2.129862863853305e-08,3.5600649539446756e-08,2.5779440804285517e-08,1.4537035575301616e-08,1.0230736258165509e-08,2.1653105974905884e-08,1.7743294833394433e-08,13.544907569885254,20.69502830505371,30.20393180847168,24.92598342895508,15.618504524230955,9.753605842590332,17.069082260131836,17.461933135986328,1
56,7.066077709197998,7.244300842285156,7.96327018737793,4.320147795056073e-09,1.001172922343585e-09,1.5791967733491672e-09,2.9153008895832504e-09,1.8338731644362838e-09,2.125939646546726e-09,3.9905621029845414e-09,5.4392677029113665e-09,4.167725086212158,1.043492078781128,2.5543947219848637,2.503706693649292,3.371030330657959,1.97373366355896,5.154350757598877,6.268725395202637,1
63,15.79846477508545,6.9353861808776855,3.4591000080108643,6.4078906625297805e-09,8.655734795581793e-09,3.8048528772094414e-09,1.68248237564228e-09,4.728804015030619e-09,2.7961595705505715e-08,5.060291297098729e-09,7.309870042604416e-09,4.136449813842773,5.624584674835205,2.5602357387542725,1.0772420167922974,3.5433239936828613,13.072406768798828,3.3159334659576416,4.355351448059082,2
66,18.050365447998047,13.137290000915527,4.875324249267578,8.165211617949808e-09,4.420286359163583e-09,7.089047127095682e-09,6.629641280397891e-09,6.460651569284437e-09,3.1721782978166853e-09,6.498899640661193e-09,2.791427888837461e-08,5.122156143188477,2.87180233001709,4.133991718292236,3.721485376358032,3.5739121437072754,2.0348989963531494,3.0227580070495605,13.283230781555176,2
71,16.20920753479004,13.918729782104492,9.735551834106444,3.868954934205249e-09,2.191997694467318e-09,4.183605906149523e-09,3.476068544117083e-09,3.3164295754062323e-09,3.0490339142374982e-09,2.8789146622187904e-09,7.647361077722791e-10,7.175302028656006,4.558605670928955,7.263364315032959,7.470542430877685,6.464919090270996,4.958593845367432,5.3628764152526855,1.2308467626571655,1
80,1.157833218574524,7.577753067016602,7.8331427574157715,3.6815531179179567e-10,3.9901795756414055e-10,2.3661944625885667e-10,4.131550379593562e-10,7.7797263076107e-10,2.997788961511816e-10,6.467470448079381e-10,6.987762452004276e-11,4.537841320037842,4.398229122161865,2.7850067615509038,2.8410532474517822,5.669565677642822,3.06488299369812,3.743013858795166,0.7705943584442139,1
85,7.594604969024658,7.6678147315979,3.933382511138916,1.8996906270274394e-09,1.6933459079382372e-09,9.364060638006322e-10,2.154853850910854e-09,2.2310573388750754e-09,5.081794984818089e-09,5.9497633486671475e-09,5.025516891521421e-09,2.225821256637573,1.5154026746749878,2.4976353645324707,2.3338844776153564,1.716433882713318,5.015048027038574,3.43339467048645,3.956046581268311,1
86,11.55290412902832,1.5183658599853516,1.8422467708587649,1.9834903497439882e-08,2.145610444870272e-08,1.0650642146003976e-08,4.946239329228774e-08,2.2645627595352383e-08,3.620302280182841e-08,2.5663053904168013e-08,1.6561953586347045e-08,7.334071159362793,6.90681791305542,3.5051581859588623,14.403483390808104,6.800592422485352,9.707684516906738,7.029223442077637,4.943854331970215,2
91,19.127695083618164,9.40089988708496,5.037833213806152,5.163445493394647e-08,2.0368965181205567e-08,8.144316332447943e-09,4.183994484208142e-09,6.304649957655785e-08,2.28705481220004e-08,7.279961966588644e-09,1.0956713758503156e-08,17.431947708129883,7.084841251373291,3.0785300731658936,1.7449225187301636,16.766769409179688,6.63329553604126,2.477539539337158,3.7521042823791504,2
92,6.255339622497559,7.249130725860596,2.706051826477051,4.565706479553455e-09,6.128434204555333e-09,7.453382799837982e-09,4.098191563883802e-09,1.1557316215160539e-10,3.319284624936358e-09,4.749948434579211e-09,1.0674658934561876e-09,3.659635066986084,3.960955619812012,4.477304935455322,2.436774730682373,0.0730950385332107,2.1406478881835938,2.9177844524383545,0.6113335490226746,1
93,5.304098129272461,10.578940391540527,6.120524883270264,5.85186787915859e-10,5.325957452839701e-10,2.9275076807167006e-10,5.564658733803185e-10,5.811169878633392e-10,1.2899338264205083e-09,6.379973771508674e-10,6.583515399505301e-10,4.808710098266602,4.205391883850098,2.90747594833374,3.650517225265503,4.440628528594971,7.267683506011963,3.5743134021759038,4.622641086578369,1
97,11.30348014831543,13.572010040283203,11.98338222503662,9.618553065138258e-09,8.347391222685019e-09,6.112526929058504e-09,3.781351232134966e-09,4.542288767339642e-09,4.246703433352651e-09,9.340305417993022e-09,5.601144881239861e-09,6.986962795257568,6.457553863525391,5.207557201385498,4.100876808166504,4.672120094299316,3.3177270889282227,6.9904303550720215,5.53944730758667,1
98,11.645641326904297,11.26883316040039,1.6650129556655884,7.637307675167904e-09,5.0177870747347705e-09,7.272195290397576e-09,1.2530391835241517e-08,5.5190209735656026e-08,7.804963786384178e-08,2.77770038081826e-08,1.1192330617859625e-07,1.3763006925582886,1.1762586832046509,1.5272835493087769,2.78725528717041,11.370338439941406,14.242473602294922,5.614087104797363,20.67206573486328,2
103,18.66007804870605,15.994759559631348,8.150163650512695,8.824224906334166e-09,6.370727057003478e-09,2.9343285579130907e-09,4.3627181867123e-09,1.008624739284869e-08,9.69632729663772e-09,3.916252211411121e-09,5.882468734341728e-09,9.331605911254885,7.826315879821777,3.7784054279327393,5.585066795349121,11.814963340759276,9.055933952331545,4.362545967102051,6.219923496246338,1
106,15.561504364013672,15.412516593933104,10.599167823791504,7.898449005949715e-09,4.223136063075117e-09,7.496563370068543e-09,1.0391762117478722e-08,3.9912229077287975e-09,3.2320146559072782e-09,5.17274889588748e-09,7.700661441845114e-09,6.82266902923584,5.512340545654297,9.640317916870115,11.998406410217283,5.976746559143066,4.596645832061768,6.723860740661621,8.833015441894531,1
