,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy
4,1,0.42913482,0.0159968080752423,24.49722,2065.1467
10,1,0.0,0.0077435723052986,16.672523,3402.819
25,1,0.0,0.0185198934980351,13.404971,1446.4923
27,1,0.45170566,0.0029474737704344,6.878327,2795.2131
29,2,0.84219086,0.0223745862964559,23.338678,691.1044
33,2,0.44942507,0.0294281274808776,16.086971,598.2377
36,1,0.0,0.0122153455937874,7.125673,2084.9785
43,1,0.0,0.0149446895275618,56.51904,1430.0842
51,1,0.10027631,0.0208817838460008,18.235521,1420.2627
53,1,0.4184122,0.0157661665828008,64.89692,1330.3015
55,3,0.47500834,0.0222123526288927,9.9780035,1586.7131
56,1,0.22463594,0.0197122189984201,13.523349,1811.7891
63,2,0.72519034,0.0272037425103934,24.288837,571.9983
66,2,0.9433384,0.0219532988305228,28.245321,724.0235
71,1,0.31255382,0.0163016438135141,24.767956,1412.678
80,1,0.2576234,0.000922932466841,11.777328,6929.809
85,1,0.19884299,0.0161053019704575,12.1987915,2113.031
86,2,0.65228546,0.0391180612241817,19.939705,443.26532
91,2,0.90885466,0.0280232877978365,28.707115,851.2023
92,1,0.2706897,0.0166902578006398,10.465015,1596.9047
93,1,0.10265498,0.0044530657416785,15.602418,3904.386
97,1,0.25407124,0.0174371820626267,22.789745,2267.393
98,2,1.3735869,0.026209313925954,18.718227,1445.7444
103,1,0.34275222,0.0178152660524711,29.602173,969.3571
106,1,0.31218225,0.0160750499629742,27.131353,1939.0461
109,1,0.18697871,0.0101938275969183,32.22765,1482.6697
110,1,0.43549657,0.0186630726236681,61.90344,880.4098
115,2,0.5585473,0.0250431557203076,24.017208,917.8061
134,2,1.6535703,0.0213238734743761,89.21285,635.79504
137,1,0.4917453,0.0176382625188252,19.135262,1398.9402
142,2,0.70863044,0.0245162968944926,52.35371,644.55035
144,2,0.75941986,0.023470323407359,53.71871,580.7013
153,1,0.66033083,0.0228540579371318,6.9553857,1139.5641
156,1,0.26706934,0.0106169701901536,76.817635,1674.1256
162,1,0.27859876,0.0098979771529752,36.550503,2297.5273
166,1,0.54187524,0.011373893420757,69.93408,3312.808
172,1,0.0,0.0239951005821965,7.230222,971.94495
173,1,0.21633819,0.0140550888725049,18.241486,2534.6191
177,1,0.21209995,0.0073236243893411,12.513439,4434.8145
183,1,0.6108893,0.0240182631702102,8.099487,1687.8866
191,1,0.0,0.0201746837709168,7.270876,3203.5183
192,2,0.2779596,0.0183187402183216,16.853624,1624.0604
197,1,0.31231037,0.0066354511999482,11.949308,2666.2856
198,2,0.49642843,0.0143349031535183,67.48478,1393.5527
203,1,0.818748,0.0107390759338454,47.78714,2118.0635
204,1,0.368834,0.0151281457100817,32.64234,2359.9734
209,1,0.76364005,0.0159584471907134,21.445501,1896.5369
213,1,0.5644799,0.0162667289352449,27.240294,2448.3782
218,1,0.0,0.0226258843498135,8.034237,2790.8643
221,1,0.3549441,0.0165639171240279,13.841837,1588.0786
224,1,0.46739912,0.017517086002846,54.94009,885.1005
225,2,1.1394556,0.025178559936098,44.944794,629.8015
226,2,0.7945252,0.0216315333314482,30.092163,777.66565
227,1,0.2655233,0.016487628501751,87.6642,954.7823
230,2,0.64903826,0.0247586923672016,28.416601,667.8174
231,1,0.444219,0.0096140465869364,69.56279,2226.9585
232,2,0.7548437,0.0335608210846353,17.510614,400.69135
237,1,0.20691784,0.00992057939294,35.67798,2212.2485
241,1,0.32834288,0.0132551247636271,31.172943,2823.0833
242,1,0.26946416,0.0121101072343477,37.178997,1485.3032
254,1,0.3344144,0.0170670408708507,45.370388,1025.1377
261,1,0.0,0.0135596225229686,13.494346,4659.956
266,1,0.2758661,0.0127722280632917,50.52877,1438.547
281,2,0.7865966,0.0213771523532847,59.444836,1837.2594
285,1,0.0,0.0196678899463453,8.742901,1932.7537
286,1,0.39539698,0.007196246492014,26.588034,3320.7654
290,2,0.66361696,0.0308832095772613,16.462927,449.92404
291,1,0.8237543,0.01977275088354,23.681274,779.1218
301,2,0.078214355,0.0272573186540331,8.110159,819.1394
302,2,0.9711829,0.0250400988576839,216.54633,461.98013
303,1,0.09274889,0.0136307254666605,25.096943,1553.1144
305,2,1.1002387,0.0296408387619525,34.527103,1018.31445
308,1,0.14599109,0.0166493709380695,46.39756,3649.7273
312,1,0.28900188,0.0183314915309073,12.511329,2873.151
318,2,0.34870806,0.0313589767755044,14.940613,503.13306
319,1,0.37257105,0.0178567891302745,155.20131,776.33264
320,2,0.52293426,0.0321573158767094,6.812342,914.672
323,1,0.0,0.0128181437659841,17.96409,2050.6216
325,2,0.76530045,0.0232232444495859,70.55322,555.12805
326,2,0.86603665,0.0254909289015775,21.271841,585.7902
327,2,1.0150174,0.0197033004944445,38.742313,1153.0234
330,1,0.379281,0.0176649687337938,37.64927,1621.4591
331,1,0.41812518,0.0138618130764708,10.510932,7858.0493
333,2,0.70797324,0.0309297925360595,13.947945,647.2438
336,1,0.20147334,0.01659851726384,41.88115,1187.8068
337,1,0.7662553,0.0154844615380607,47.701366,2526.1877
338,2,0.8799592,0.0236489708335375,30.647429,737.8447
340,1,0.03718294,0.0118424545010684,15.63953,2546.6372
345,2,0.99932146,0.0224010939876702,26.498932,1094.6694
349,2,0.57976186,0.0210919318848924,57.702072,1049.114
350,1,0.0,0.0088038191394909,17.84154,3083.7349
352,1,0.0,0.0185898971473278,4.3986087,1587.877
356,1,0.13753784,0.0138372798944392,91.17019,1145.064
361,1,0.2866901,0.0134493810668007,15.483045,2938.1946
365,1,0.35518366,0.0145914159556382,15.22335,7320.02
367,1,0.2986392,0.0137397450911966,24.63712,3197.745
373,1,0.49980885,0.0172789185868904,28.198174,970.0506
379,2,1.170488,0.0279054514388645,13.1522255,705.30426
383,1,0.0,0.021327823643874,6.4977074,3093.7573
384,1,0.12554996,0.0179517140451509,25.454832,1104.9729
385,1,0.96830565,0.0137075069506775,17.10013,2696.778
398,1,0.060885843,0.0091403161390109,10.988258,2480.4307
399,2,0.69751227,0.0266319941004973,20.428009,572.5509
402,1,0.5288636,0.0072558304607844,38.43588,4006.6326
406,2,0.44215408,0.0232426932956188,65.05709,715.51337
407,2,0.0,0.0037251130134444,9.965991,2938.8613
408,1,0.0,0.0166413265089746,14.5246,1831.0087
