,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46
3,7.0,0.66390496,0.0179902523422681,5.523873,3218.1,0.0228916229348929,0.1120694896890817,1.2383039e-14,0.0243479648814171,0.1004659886672991,0.0894072367733288,0.042267106,0.0126159351931569
8,7.0,0.36892056,0.0047659063869021,17.98248,2729.53,0.0117121480512847,0.0319196429195357,4.578294e-14,0.0178768396890575,0.0278674556496109,0.0202150522166749,0.098205745,0.0138220468761911
9,7.0,0.93760574,0.007430139272859,3.9360256,4281.748,0.0147161822302039,0.0217663339635719,5.9821333e-15,0.0737284511429399,0.0188213744892215,0.0070524107427971,0.73590165,0.0707976631113379
12,7.0,0.0,0.0188743536428366,5.2694592,2845.5408,0.0895085254236823,0.0795165198428148,1.7676934e-14,0.0220244073872677,0.0706267317154871,-0.0100636325439247,0.121899456,0.0130869891231383
13,7.0,0.17401539,-0.0233305199179328,5.8108006,4102.314,0.0111740180292261,0.0804532835747353,7.750045e-15,0.0515955748968285,0.0802020133271356,0.0693416027061513,0.5823735,0.0513433427547886
16,7.0,0.045827325,0.0099278219083421,19.605446,3739.5159,0.0077352277301191,0.0835329633388976,2.712425e-14,0.0182803081443616,0.0794440662016813,0.0758467437163423,0.12610666,0.0141651608672648
19,7.0,0.0,0.0162567833131738,4.7392464,7305.8384,0.0091871512994113,0.0627543303836653,2.0558608e-15,0.0112731031597378,0.0617833395901596,0.0535980801745071,0.23694308,0.0102984461809916
21,7.0,0.6205151,0.0192015893140243,16.83623,1064.7019,0.0356550838372904,0.0774883936167825,4.7271404e-13,0.0835712042443085,0.0677750184158455,0.0419492093695106,0.3497545,0.0738668258300515
22,7.0,0.0,0.0189686126911638,8.18711,1344.9886,0.0221270074193767,0.0809152425802604,9.014583e-14,0.096254773680155,0.0738291099222316,0.0588936791208894,0.0207832,0.0891872526706472
23,7.0,0.0,0.0166663358617856,5.4730215,2365.224,0.019227271432331,0.0602574569491776,3.343211e-14,0.0701783925839898,0.0529201533243471,0.0410777776747128,0.5294543,0.062850082973009
41,7.0,0.0,0.0287900139343316,5.705449,888.94543,0.0653003470076481,0.0707006454186844,3.1519852e-13,0.073839662256133,0.0518558565023468,0.005425346022029,0.9586621,0.0550023465437898
42,7.0,0.40840542,0.0165632105258063,16.365044,2095.9404,0.0194111603413424,0.1001285421039777,1.0475824e-13,0.0310702858339408,0.0940714653033823,0.0808745704824495,0.105551794,0.0249603555585958
44,7.0,0.43575424,0.029372954976165,5.9461904,767.1138,0.0576070215168562,0.0760845054455085,4.5831687e-13,0.1038561357957072,0.0619489384333028,0.0185588273010477,0.2987582,0.0897860633565241
47,7.0,1.2768945,0.0237476633603667,26.44023,1554.3737,0.0316738705784721,0.1117776259335336,9.0215915e-13,0.0435671129613359,0.0995799127691328,0.0803883647378436,0.29517514,0.031248894353177
48,7.0,0.58037937,0.0144525242463493,19.204882,1710.9305,0.0181949314033082,0.1270279811544611,1.9553218e-13,0.0293436847093749,0.119948029451963,0.1090851745410942,0.1339966,0.0221588631794176
57,7.0,0.27680176,0.0120933209160014,5.362248,2696.0554,0.0198910362682259,0.0919871102705713,1.6521437e-14,0.0740062042436876,0.0858805247779424,0.0722282313657548,0.6825171,0.0678819150195555
58,7.0,0.2574764,0.0238442327295628,5.3157153,414.85593,0.0572123950380245,0.0751381494926745,1.5667e-12,0.086620804451644,0.0648208755716272,0.0180031469858598,0.061054893,0.0763215757972024
64,7.0,0.0,0.0203105276472944,6.0495462,1299.9877,0.0207590264943948,0.100037123092003,8.731035e-14,0.0298900242804978,0.0907033184964218,0.0794430739071626,0.059122935,0.0204765170486995
65,7.0,0.0,0.0245911354125489,4.388951,1144.902,0.0176304258644,0.1100342426230763,9.4290054e-14,0.0982789365628911,0.1027268258430211,0.0925834240236903,0.122107975,0.0909540431045438
68,7.0,0.55554736,0.0138206986048003,7.793412,3987.461,0.0146756903827583,0.1058545908035537,9.314358e-15,0.0174061000348108,0.1020982400435872,0.0913207662449132,0.077046275,0.0136096082768996
69,7.0,0.5119396,0.0231767619779333,12.205895,1973.2552,0.0196078618706435,0.101635085434461,1.4320667e-13,0.0895346549434693,0.0910417697163512,0.0821910176634865,0.0538456,0.0789179537071061
72,7.0,0.15063366,0.0187056668518839,9.273533,4803.59,0.0220395841016722,0.0944974829663277,8.382997e-15,0.0154370027653489,0.0844289444483032,0.0726091208076335,-0.012418433,0.0052883167073585
79,7.0,0.3681978,0.0211767464275713,14.114299,1660.8405,0.0191095712070273,0.0815329190076728,1.7687115e-13,0.0794411759845751,0.0750252380288323,0.0625207588392376,0.09279645,0.0729313783054956
81,7.0,0.0,0.0150371051519755,19.224836,2970.0845,0.0155823121150605,0.0439057636687863,1.0584308e-13,0.0300264320290691,0.036249882876663,0.0283428424032597,0.13359568,0.0223634959636936
82,7.0,0.44728386,0.0281506350333183,16.589058,555.2084,0.0632066334271175,0.0672903269484653,3.0043698e-12,0.037164370240374,0.0542857091168444,0.0041011364545279,0.23492514,0.0241237756041431
88,7.0,0.3277953,0.0204401638751181,20.323252,1195.0275,0.0216859893174228,0.0871248577377446,4.706041e-13,0.0320468368691668,0.0774548108304587,0.0655627419262994,0.053592585,0.0223180540468913
96,7.0,0.9787778,0.0204489387463656,14.665922,1270.1489,0.0195569787232621,0.085624232984011,2.0845721e-13,0.0764803581585226,0.0779910119987449,0.0661780728388289,0.05639825,0.0688362766353829
