,CLASS1,Frac_Variability,HR_24,Signif_Avg,Pivot_Energy,HR_35,HR_37,LP_Flux_Density,HR_36,HR_47,HR_57,PLEC_ExpfactorS,HR_46
3,0,0.66390496,0.0179902523422681,5.523873,3218.1,0.0228916229348929,0.1120694896890817,1.2383039e-14,0.0243479648814171,0.1004659886672991,0.0894072367733288,0.042267106,0.0126159351931569
4,1,0.42913482,0.0159968080752423,24.49722,2065.1467,0.0188253839877285,0.040747093529818,1.7783626e-13,0.0245816578741839,0.0342164117747929,0.0219385381489581,0.040948223,0.0180447590635915
5,1,0.0,0.020496334127111,5.2516475,2869.2637,0.0121208635351016,0.0776408867611737,1.3973058e-14,0.0185291310108307,0.0695291405172081,0.0655817405358666,0.032804377,0.0103749252731014
6,2,1.0881721,0.0349080076786325,46.425827,340.91953,0.075212660940992,0.0806409041219577,4.368817e-11,0.0678220675131216,0.0611263734495873,0.0054613675602243,0.18454067,0.0482750769613915
8,0,0.36892056,0.0047659063869021,17.98248,2729.53,0.0117121480512847,0.0319196429195357,4.578294e-14,0.0178768396890575,0.0278674556496109,0.0202150522166749,0.098205745,0.0138220468761911
9,0,0.93760574,0.007430139272859,3.9360256,4281.748,0.0147161822302039,0.0217663339635719,5.9821333e-15,0.0737284511429399,0.0188213744892215,0.0070524107427971,0.73590165,0.0707976631113379
10,1,0.0,0.0077435723052986,16.672523,3402.819,0.009861125505868,0.0946628564309273,2.6206439e-14,0.0226785522440008,0.0893014451945616,0.0848809658049249,0.18185906,0.0172735499335092
12,0,0.0,0.0188743536428366,5.2694592,2845.5408,0.0895085254236823,0.0795165198428148,1.7676934e-14,0.0220244073872677,0.0706267317154871,-0.0100636325439247,0.121899456,0.0130869891231383
13,0,0.17401539,-0.0233305199179328,5.8108006,4102.314,0.0111740180292261,0.0804532835747353,7.750045e-15,0.0515955748968285,0.0802020133271356,0.0693416027061513,0.5823735,0.0513433427547886
16,0,0.045827325,0.0099278219083421,19.605446,3739.5159,0.0077352277301191,0.0835329633388976,2.712425e-14,0.0182803081443616,0.0794440662016813,0.0758467437163423,0.12610666,0.0141651608672648
18,1,0.0,0.0120396429817975,5.5522084,2935.824,0.0174433889818639,0.0799019896882325,2.0622496e-14,0.0792222169841547,0.0785235763867378,0.0625457745981504,0.57662684,0.0778436549240467
19,0,0.0,0.0162567833131738,4.7392464,7305.8384,0.0091871512994113,0.0627543303836653,2.0558608e-15,0.0112731031597378,0.0617833395901596,0.0535980801745071,0.23694308,0.0102984461809916
21,0,0.6205151,0.0192015893140243,16.83623,1064.7019,0.0356550838372904,0.0774883936167825,4.7271404e-13,0.0835712042443085,0.0677750184158455,0.0419492093695106,0.3497545,0.0738668258300515
22,0,0.0,0.0189686126911638,8.18711,1344.9886,0.0221270074193767,0.0809152425802604,9.014583e-14,0.096254773680155,0.0738291099222316,0.0588936791208894,0.0207832,0.0891872526706472
23,0,0.0,0.0166663358617856,5.4730215,2365.224,0.019227271432331,0.0602574569491776,3.343211e-14,0.0701783925839898,0.0529201533243471,0.0410777776747128,0.5294543,0.062850082973009
25,1,0.0,0.0185198934980351,13.404971,1446.4923,0.0190923126382786,0.127045869357576,1.7970576e-13,0.0985977142788294,0.1179006902069755,0.1082160455005213,0.18503946,0.0893953012490365
