,y_probs,classes,bin_n_ascending,bin_n_descending
0,0.9915553774795008,0.0,63.0,11.0
1,0.348635131026992,0.0,3.0,70.0
2,0.3280959480640124,1.0,3.0,71.0
3,0.6163113016201941,1.0,25.0,49.0
4,0.9856837819242036,0.0,58.0,16.0
5,0.44136116451692275,1.0,7.0,67.0
6,0.9977519352661948,0.0,0.0,0.0
7,0.7647227852536819,0.0,34.0,40.0
8,0.9826568905119684,0.0,56.0,17.0
9,0.930934143077428,0.0,45.0,29.0
10,0.1757855016705955,0.0,1.0,73.0
11,0.6869834699683018,1.0,30.0,43.0
12,0.9724509340139458,0.0,52.0,22.0
13,0.549482998323409,1.0,17.0,56.0
14,0.9935794268043484,0.0,66.0,7.0
15,0.5337771998566638,1.0,16.0,58.0
16,0.7978342883806127,0.0,36.0,38.0
17,0.5841858402739047,1.0,21.0,53.0
18,0.9938681891229202,0.0,67.0,7.0
19,0.5294766075737045,1.0,15.0,59.0
20,0.9971130329366394,0.0,73.0,0.0
21,0.5415885809462553,1.0,17.0,57.0
22,0.5872434182934541,1.0,22.0,52.0
23,0.9925501796784428,0.0,65.0,9.0
24,0.44321059199043017,1.0,7.0,67.0
25,0.9701920185987356,0.0,51.0,23.0
26,0.9947721185994184,0.0,69.0,5.0
27,0.9946135529350008,0.0,68.0,5.0
28,0.9741180790278884,0.0,52.0,21.0
29,0.5765087991731126,1.0,20.0,54.0
30,0.8910705553623037,0.0,40.0,33.0
31,0.993802823683588,0.0,67.0,7.0
32,0.9854784318788046,0.0,58.0,16.0
33,0.4116238781596299,1.0,6.0,68.0
34,0.2535913467459737,0.0,2.0,72.0
35,0.9961081389853133,0.0,72.0,2.0
36,0.991520454278534,0.0,63.0,11.0
37,0.5788567702024978,1.0,20.0,54.0
38,0.3307503600190083,1.0,3.0,71.0
39,0.5309314089571668,1.0,15.0,58.0
40,0.9965051480004052,0.0,72.0,2.0
41,0.9700441473285558,0.0,51.0,23.0
42,0.9723025478833152,0.0,51.0,22.0
43,0.962769712766202,0.0,49.0,25.0
44,0.45309390498733265,1.0,8.0,66.0
45,0.8548005146220646,0.0,38.0,35.0
46,0.9952591076191,0.0,70.0,4.0
47,0.9879668031434744,0.0,60.0,14.0
48,0.8584353120552336,0.0,39.0,35.0
49,0.6185794606837459,0.0,25.0,49.0
50,0.9877725058248908,0.0,60.0,14.0
51,0.994634689197665,0.0,69.0,5.0
52,0.7605454185445363,0.0,34.0,40.0
53,0.8198866628433118,0.0,37.0,37.0
54,0.9291324071446604,0.0,44.0,30.0
55,0.5754040154431735,0.0,20.0,54.0
56,0.4302103270515135,0.0,7.0,67.0
57,0.9943684129416148,0.0,68.0,6.0
58,0.7198269650432519,1.0,32.0,42.0
59,0.3712735236735397,0.0,4.0,70.0
60,0.9858179072459754,0.0,58.0,16.0
61,0.9915797591834034,0.0,63.0,11.0
62,0.1501919432354584,0.0,1.0,73.0
63,0.8064130025183929,0.0,36.0,37.0
64,0.9291377442267104,0.0,44.0,30.0
65,0.6510682934651162,1.0,28.0,46.0
66,0.7799704106216406,1.0,35.0,39.0
67,0.99569287999951,0.0,71.0,3.0
68,0.983825337668652,0.0,57.0,17.0
69,0.9934844517493392,0.0,66.0,8.0
70,0.9555527820162946,0.0,47.0,27.0
71,0.9922996654094532,0.0,64.0,9.0
72,0.4464857236296805,0.0,7.0,66.0
73,0.547757641974374,1.0,17.0,57.0
74,0.2838155765435503,0.0,2.0,71.0
75,0.49681447153566066,1.0,12.0,61.0
76,0.7829928081562371,0.0,35.0,39.0
77,0.46284957556445866,1.0,9.0,65.0
78,0.9948863088735388,0.0,69.0,5.0
79,0.9897082770150918,0.0,61.0,12.0
80,0.47853079080090344,1.0,11.0,63.0
81,0.9412872695133296,0.0,46.0,28.0
82,0.995919587326314,0.0,71.0,3.0
83,0.4478915521695946,1.0,8.0,66.0
84,0.9105537335477292,0.0,42.0,31.0
85,0.6705335251066062,1.0,29.0,45.0
86,0.9953759789277534,0.0,70.0,4.0
87,0.9917229971725282,0.0,63.0,10.0
88,0.6211719929207857,0.0,26.0,48.0
89,0.8545354844824882,0.0,38.0,36.0
90,0.5967784893130785,1.0,22.0,51.0
91,0.49836935431712687,1.0,13.0,61.0
92,0.5162419480834379,1.0,14.0,60.0
93,0.994540980321915,0.0,68.0,5.0
94,0.728695760302756,0.0,32.0,41.0
95,0.6926800531650801,1.0,31.0,43.0
96,0.470791846452153,1.0,10.0,64.0
97,0.9764678750602585,0.0,53.0,21.0
98,0.7633732482813845,1.0,34.0,40.0
99,0.673382858310247,0.0,29.0,45.0
100,0.9656440670549118,0.0,49.0,25.0
101,0.9887704262641508,0.0,61.0,13.0
102,0.9920381559201884,0.0,64.0,10.0
103,0.9865994834009296,0.0,59.0,15.0
104,0.44117948886380665,1.0,7.0,67.0
105,0.9787581909165456,0.0,54.0,20.0
106,0.6030689880222383,1.0,23.0,50.0
107,0.9875367743251005,0.0,60.0,14.0
108,0.4689071708820419,1.0,10.0,64.0
109,0.790196824873762,1.0,35.0,38.0
110,0.37304329010842846,1.0,4.0,70.0
111,0.3859963438444803,1.0,4.0,69.0
112,0.9737146803216794,0.0,52.0,22.0
113,0.2414720841510173,0.0,2.0,72.0
