,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0238435515019966,2.0,53.0,0.03773584905660377
1,1.0,0.0238435515019966,0.048439036676156,2.0,33.0,0.06060606060606061
2,2.0,0.048439036676156,0.0677476766533852,1.0,33.0,0.030303030303030304
3,3.0,0.0677476766533852,0.1048837934401064,2.0,33.0,0.06060606060606061
4,4.0,0.1048837934401064,0.1501919432354584,0.0,33.0,0.0
5,5.0,0.1501919432354584,0.232903235166495,1.0,33.0,0.030303030303030304
6,6.0,0.232903235166495,0.34867205496122977,1.0,33.0,0.030303030303030304
7,7.0,0.34867205496122977,0.5040597133942517,5.0,33.0,0.15151515151515152
8,8.0,0.5040597133942517,0.6532336105451286,4.0,33.0,0.12121212121212122
9,9.0,0.6532336105451286,0.7626537867094434,6.0,33.0,0.18181818181818182
10,10.0,0.7626537867094434,0.8201344439097482,2.0,33.0,0.06060606060606061
11,11.0,0.8201344439097482,0.9106334471602076,2.0,33.0,0.06060606060606061
12,12.0,0.9106334471602076,0.9395063126614216,4.0,33.0,0.12121212121212122
13,13.0,0.9395063126614216,0.9606975779006046,4.0,33.0,0.12121212121212122
14,14.0,0.9606975779006046,0.9708005462144426,3.0,33.0,0.09090909090909091
15,15.0,0.9708005462144426,0.9779608781276412,2.0,33.0,0.06060606060606061
16,16.0,0.9779608781276412,0.98373935587671,3.0,33.0,0.09090909090909091
17,17.0,0.98373935587671,0.9882641385015314,1.0,33.0,0.030303030303030304
18,18.0,0.9882641385015314,0.991688987334952,2.0,33.0,0.06060606060606061
19,19.0,0.991688987334952,0.9935794268043484,0.0,33.0,0.0
20,20.0,0.9935794268043484,0.9949842813439852,4.0,33.0,0.12121212121212122
21,21.0,0.9949842813439852,0.9965051480004052,2.0,33.0,0.06060606060606061
