,y_pred,y_proba_0,y_proba_1
3,0,0.65270686,0.34729314
8,0,0.652691335,0.347308665
9,0,0.652667603,0.347332397
12,0,0.652681071,0.347318929
13,0,0.652702676,0.347297324
16,0,0.652733762,0.347266238
19,0,0.652711159,0.347288841
21,0,0.646314468,0.353685532
22,0,0.652318851,0.347681149
23,0,0.652669135,0.347330865
41,0,0.651832332,0.348167668
42,0,0.652397335,0.347602665
44,0,0.651024024,0.348975976
47,0,0.645129701,0.354870299
48,0,0.649600304,0.350399696
57,0,0.652674668,0.347325332
58,0,0.648695995,0.351304005
64,0,0.652466078,0.347533922
65,0,0.652371622,0.347628378
68,0,0.652728333,0.347271667
69,0,0.65259889,0.34740111
72,0,0.652732296,0.347267704
79,0,0.651861195,0.348138805
81,0,0.652711121,0.347288879
82,0,0.644962666,0.355037334
88,0,0.645561145,0.354438855
96,0,0.649039406,0.350960594
100,0,0.652397537,0.347602463
102,0,0.650897977,0.349102023
120,0,0.651725574,0.348274426
121,0,0.652077954,0.347922046
128,0,0.651146179,0.348853821
133,0,0.652695031,0.347304969
138,0,0.652733456,0.347266544
151,0,0.647484434,0.352515566
154,0,0.652722785,0.347277215
157,0,0.651740655,0.348259345
158,0,0.645811143,0.354188857
161,0,0.650817184,0.349182816
165,0,0.652478813,0.347521187
167,0,0.652634698,0.347365302
168,0,0.65012558,0.34987442
179,0,0.652706949,0.347293051
185,0,0.652483953,0.347516047
187,0,0.647999437,0.352000563
189,0,0.652714946,0.347285054
196,0,0.652696413,0.347303587
200,0,0.651940298,0.348059702
201,0,0.65202442,0.34797558
210,0,0.64884913,0.35115087
214,0,0.65273402,0.34726598
217,0,0.652721803,0.347278197
220,0,0.652615581,0.347384419
222,0,0.65270812,0.34729188
229,0,0.652669555,0.347330445
234,0,0.652729397,0.347270603
235,0,0.647492545,0.352507455
238,0,0.652492369,0.347507631
239,0,0.644722348,0.355277652
245,0,0.65260096,0.34739904
247,0,0.652695574,0.347304426
248,0,0.652716059,0.347283941
259,0,0.652709491,0.347290509
273,0,0.652702091,0.347297909
274,0,0.652704347,0.347295653
279,0,0.652725413,0.347274587
280,0,0.652720434,0.347279566
284,0,0.651859826,0.348140174
296,0,0.652484172,0.347515828
300,0,0.65269315,0.34730685
304,0,0.652728412,0.347271588
310,0,0.652584611,0.347415389
313,0,0.652607772,0.347392228
314,0,0.652658812,0.347341188
316,0,0.651112074,0.348887926
324,0,0.652625771,0.347374229
329,0,0.6527306,0.3472694
332,0,0.65270161,0.34729839
335,0,0.652723642,0.347276358
348,0,0.64894392,0.35105608
351,0,0.651546284,0.348453716
353,0,0.65250328,0.34749672
359,0,0.652726592,0.347273408
362,0,0.652734243,0.347265757
374,0,0.650186742,0.349813258
377,0,0.652648969,0.347351031
381,0,0.651867548,0.348132452
387,0,0.650924514,0.349075486
391,0,0.652480458,0.347519542
392,0,0.652124255,0.347875745
393,0,0.652708567,0.347291433
397,0,0.65061812,0.34938188
400,0,0.652730546,0.347269454
401,0,0.652717875,0.347282125
403,0,0.652710027,0.347289973
409,0,0.652295867,0.347704133
413,0,0.652715556,0.347284444
415,0,0.652642453,0.347357547
418,0,0.652317421,0.347682579
420,0,0.652593939,0.347406061
425,0,0.651352331,0.348647669
435,0,0.648328736,0.351671264
444,0,0.652716606,0.347283394
448,0,0.644709414,0.355290586
449,0,0.652432138,0.347567862
456,0,0.652370759,0.347629241
458,0,0.65241197,0.34758803
460,0,0.652494845,0.347505155
461,0,0.652706195,0.347293805
462,0,0.651142903,0.348857097
463,0,0.652564763,0.347435237
466,0,0.652486277,0.347513723
469,0,0.652321137,0.347678863
470,0,0.652728895,0.347271105
472,0,0.652695521,0.347304479
474,0,0.650387268,0.349612732
475,0,0.652215634,0.347784366
476,0,0.652113372,0.347886628
488,0,0.64472761,0.35527239
