,Bin (asc),Lower Bound,Upper Bound,RDG Count,Total Count,Frac
0,0.0,0.0,0.0153136417850166,2.0,26.0,0.07692307692307693
1,1.0,0.0153136417850166,0.0301370714196654,0.0,30.0,0.0
2,2.0,0.0301370714196654,0.0441622552767336,2.0,30.0,0.06666666666666667
3,3.0,0.0441622552767336,0.0683515755199032,1.0,30.0,0.03333333333333333
4,4.0,0.0683515755199032,0.0960627973562198,2.0,30.0,0.06666666666666667
5,5.0,0.0960627973562198,0.1454904594213959,0.0,30.0,0.0
6,6.0,0.1454904594213959,0.2034348091939374,0.0,30.0,0.0
7,7.0,0.2034348091939374,0.3172253204117348,5.0,30.0,0.16666666666666666
8,8.0,0.3172253204117348,0.4354812186818829,1.0,30.0,0.03333333333333333
9,9.0,0.4354812186818829,0.593556905511244,3.0,30.0,0.1
10,10.0,0.593556905511244,0.7583594091459881,8.0,30.0,0.26666666666666666
11,11.0,0.7583594091459881,0.8250379293036998,2.0,30.0,0.06666666666666667
12,12.0,0.8250379293036998,0.8925402988080448,0.0,30.0,0.0
13,13.0,0.8925402988080448,0.9307292774817274,4.0,30.0,0.13333333333333333
14,14.0,0.9307292774817274,0.9468457250064916,3.0,30.0,0.1
15,15.0,0.9468457250064916,0.9592148917057884,3.0,30.0,0.1
16,16.0,0.9592148917057884,0.972023885538574,3.0,30.0,0.1
17,17.0,0.972023885538574,0.978094554962391,3.0,30.0,0.1
18,18.0,0.978094554962391,0.9839542301176758,1.0,30.0,0.03333333333333333
19,19.0,0.9839542301176758,0.9882302914470604,3.0,30.0,0.1
20,20.0,0.9882302914470604,0.990078550300542,1.0,30.0,0.03333333333333333
21,21.0,0.990078550300542,0.9924356144169244,0.0,30.0,0.0
22,22.0,0.9924356144169244,0.9939337868232704,4.0,30.0,0.13333333333333333
23,23.0,0.9939337868232704,0.9951838497259607,0.0,30.0,0.0
24,24.0,0.9951838497259607,0.9971049023163108,2.0,30.0,0.06666666666666667
